City/Town,Ward,Pct,"Jim Condos","Ben Eastwood","Mary Alice Herbert",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Progressive,"Liberty Union"
Addison,,,348,70,59,0,0,477
Albany,,,189,58,36,0,0,283
Alburgh,,,418,65,64,0,0,547
Andover,,,120,31,25,0,0,176
Arlington,,,486,92,125,0,0,703
Athens,,,46,15,21,0,0,82
Bakersfield,,,254,51,28,0,0,333
Baltimore,,,31,14,16,0,0,61
Barnard,,,256,64,26,0,0,346
Barnet,,,384,89,64,0,0,537
"Barre City",,,"1,405",302,210,0,0,"1,917"
"Barre Town",,,"1,964",353,231,0,0,"2,548"
Barton,,,407,95,68,0,0,570
Belvidere,,,61,17,11,0,0,89
Bennington,-,"Bennington 2-1","1,270",202,200,0,0,"1,672"
Bennington,-,"Bennington 2-2","1,128",238,183,0,0,"1,549"
Benson,,,129,49,42,0,0,220
Berkshire,,,251,66,34,0,0,351
Berlin,,,604,98,55,0,0,757
Bethel,,,404,88,62,0,0,554
Bloomfield,,,26,15,11,0,0,52
Bolton,,,306,61,30,0,0,397
Bradford,,,412,85,61,0,0,558
Braintree,,,233,68,46,0,0,347
Brandon,,,816,185,121,0,0,"1,122"
Brattleboro,-,"Windham 2-1",746,127,112,0,0,985
Brattleboro,-,"Windham 2-2",605,110,136,0,0,851
Brattleboro,-,"Windham 2-3",712,125,109,0,0,946
Bridgewater,,,179,31,38,0,0,248
Bridport,,,282,59,41,0,0,382
Brighton,,,188,77,40,0,0,305
Bristol,,,972,249,136,0,0,"1,357"
Brookfield,,,313,76,36,0,0,425
Brookline,,,113,23,17,0,0,153
Brownington,,,185,71,48,0,0,304
Brunswick,,,24,5,2,0,0,31
Burke,,,269,80,54,0,0,403
Burlington,-,"Chittenden 6-1","2,110",201,146,0,0,"2,457"
Burlington,-,"Chittenden 6-2","1,089",177,47,0,0,"1,313"
Burlington,-,"Chittenden 6-3",909,319,75,0,0,"1,303"
Burlington,-,"Chittenden 6-4",778,152,50,3,89,"1,072"
Burlington,-,"Chittenden 6-5","2,025",246,94,11,252,"2,628"
Burlington,-,"Chittenden 6-6",279,35,18,2,43,377
Burlington,-,"Chittenden 6-7",4,19,14,0,4,41
Cabot,,,281,81,34,0,94,490
Calais,,,510,111,39,4,85,749
Cambridge,,,781,131,92,3,113,"1,120"
Canaan,,,110,35,22,0,26,193
Castleton,,,538,200,146,3,177,"1,064"
Cavendish,,,223,77,77,0,93,470
Charleston,,,153,48,42,2,43,288
Charlotte,,,"1,072",130,91,4,244,"1,541"
Chelsea,,,276,89,45,0,91,501
Chester,,,540,125,94,2,138,899
Chittenden,,,322,73,64,0,90,549
Clarendon,,,417,136,103,2,129,787
Colchester,-,"Chittenden 9-1","1,436",142,117,3,196,"1,894"
Colchester,-,"Chittenden 9-2","1,867",232,183,10,366,"2,658"
Concord,,,146,61,45,2,45,299
Corinth,,,250,91,53,1,69,464
Cornwall,,,339,53,34,0,71,497
Coventry,,,204,52,27,0,37,320
Craftsbury,,,273,81,27,1,61,443
Danby,,,216,92,58,3,73,442
Danville,,,551,131,65,1,96,844
Derby,,,864,214,135,12,0,"1,225"
Dorset,,,499,102,101,0,161,863
Dover,,,252,76,76,1,88,493
Dummerston,,,475,62,84,0,82,703
Duxbury,,,347,64,37,2,61,511
"E. Haven",,,42,13,10,0,15,80
"E. Montpelier",,,785,123,55,3,125,"1,091"
Eden,,,159,52,24,0,46,281
Elmore,,,240,52,25,1,40,358
Enosburgh,,,630,145,98,0,110,983
Essex,-,"Chittenden 8-1","1,764",218,171,16,384,"2,553"
Essex,-,"Chittenden 8-2","2,076",255,195,24,422,"2,972"
Essex,-,"Chittenden 8-3",613,72,63,3,133,884
"Fair Haven",,,375,112,102,8,98,695
Fairfax,,,927,166,142,9,178,"1,422"
Fairfield,,,459,63,45,3,73,643
Fairlee,,,239,53,23,1,41,357
Fayston,,,364,66,27,2,73,532
Ferrisburgh,,,667,115,85,4,159,"1,030"
Fletcher,,,242,58,33,1,41,375
Franklin,,,280,49,52,0,61,442
Georgia,,,897,178,135,6,195,"1,411"
Glover,,,279,67,44,0,52,442
Goshen,,,45,11,12,0,8,76
Grafton,,,134,27,31,0,38,230
Granby,,,15,5,3,0,5,28
"Grand Isle",,,645,92,76,9,102,924
