City/Town,Ward,Pct,"Virginia Lyons","Tim Ashe","Phil Baruth","Diane B. Snelling","David Zuckerman","Michael Sirotkin","Dawn Ellis","Joy Limoge","Paul Washburn","John Cisar","Christopher Coolidge","Travis Spencer","Ben Mayer","Glyn Wilkinson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic/Progressive,Democratic,Republican,Progressive,Democratic,Democratic,Republican,Libertarian,Libertarian,Libertarian,Libertarian,Libertarian,Libertarian
Bolton,,,244,240,221,215,224,174,204,133,49,54,49,47,35,31,0,0,"1,920"
Burlington,-,"Chittenden 6-1","1,591","1,588","1,703","1,359","1,412","1,349","1,433",908,215,175,199,160,235,208,0,0,"12,535"
Burlington,-,"Chittenden 6-2",947,984,974,540,903,824,886,333,68,65,87,53,90,67,0,0,"6,821"
Burlington,-,"Chittenden 6-3",966,"1,087",997,385,"1,021",856,913,191,99,86,106,94,119,105,0,0,"7,025"
Burlington,-,"Chittenden 6-4",730,779,746,305,769,658,658,157,49,52,59,41,67,52,0,0,"5,122"
Burlington,-,"Chittenden 6-5","1,791","1,844","1,823","1,010","1,654","1,593","1,505",534,145,125,145,108,159,146,0,0,"12,582"
Burlington,-,"Chittenden 6-6",235,250,252,134,220,211,207,75,30,25,27,24,36,29,0,0,"1,755"
Burlington,-,"Chittenden 6-7",27,33,26,12,30,18,23,4,2,1,2,1,2,4,0,0,185
Charlotte,,,846,787,814,849,809,676,599,522,138,105,117,109,103,90,0,0,"6,564"
Essex,-,"Chittenden 8-1","1,233","1,159","1,041","1,506","1,002",980,884,"1,252",302,503,254,257,268,192,0,0,"10,833"
Essex,-,"Chittenden 8-2","1,426","1,472","1,341","1,642","1,200","1,178","1,100","1,388",357,526,288,278,280,206,0,0,"12,682"
Essex,-,"Chittenden 8-3",459,431,419,507,396,373,320,400,73,144,87,87,80,54,0,0,"3,830"
Hinesburg,-,"Chittenden 4-1",11,11,10,6,11,10,9,2,1,0,0,1,1,1,0,0,74
Hinesburg,-,"Chittenden 4-2",924,854,834,921,"1,068",729,688,546,149,113,116,102,120,77,0,0,"7,241"
Jericho,,,"1,167","1,126","1,069","1,214","1,037",933,859,966,204,248,211,201,172,148,0,0,"9,555"
Milton,-,"Chittenden 10",954,909,811,"1,512",800,685,843,"1,288",291,295,287,512,269,227,0,0,"9,683"
Milton,-,"Grand Isle-Chittenden",164,154,126,262,130,98,111,217,49,62,59,84,35,37,0,0,"1,588"
Richmond,,,"1,048",991,924,892,930,798,753,568,165,146,132,139,128,109,0,0,"7,723"
Shelburne,-,"Chittenden 5-1",968,896,938,974,863,862,705,581,118,70,95,76,88,73,0,0,"7,307"
Shelburne,-,"Chittenden 5-2",698,604,646,822,585,579,500,602,98,67,81,71,83,60,0,0,"5,496"
"S. Burlington",-,"Chittenden 7-1",859,800,849,777,770,851,660,522,177,75,123,78,71,66,0,0,"6,678"
"S. Burlington",-,"Chittenden 7-2",854,826,833,926,777,852,679,699,245,111,217,101,109,87,0,0,"7,316"
"S. Burlington",-,"Chittenden 7-3",687,696,705,568,670,710,590,396,155,84,136,82,85,73,0,0,"5,637"
"S. Burlington",-,"Chittenden 7-4",718,676,669,733,660,662,521,573,239,112,202,114,116,100,0,0,"6,095"
"St. George",,,124,102,91,117,112,73,67,85,18,10,16,16,15,16,0,0,862
Underhill,,,706,657,702,703,666,604,551,536,117,125,104,123,95,87,0,0,"5,776"
Westford,,,383,407,353,481,360,311,297,369,97,118,83,117,89,63,0,0,"3,528"
Williston,,,"1,845","1,527","1,477","1,861","1,428","1,300","1,134","1,624",323,278,282,216,241,200,0,0,"13,736"
Winooski,,,883,900,823,622,853,791,733,382,140,121,130,113,119,98,0,0,"6,708"
TOTALS,,,"23,488","22,790","22,217","21,855","21,360","19,738","18,432","15,853","4,113","3,896","3,694","3,405","3,310","2,706",0,0,"186,857"
