City/Town,Ward,Pct,"Jeanette White","Becca Balint","Mary Hasson","Jerry Levy","Aaron Diamondstone",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Independent,"Liberty Union","Liberty Union"
Athens,,,56,34,36,11,14,0,0,151
Brattleboro,-,"Windham 2-1",796,679,144,73,73,0,0,"1,765"
Brattleboro,-,"Windham 2-2",658,652,88,70,71,0,0,"1,539"
Brattleboro,-,"Windham 2-3",748,719,110,99,65,0,0,"1,741"
Brookline,,,114,93,32,19,16,0,0,274
Dover,,,241,158,136,43,32,0,0,610
Dummerston,,,518,460,90,45,43,0,0,"1,156"
Grafton,,,116,88,69,27,14,0,0,314
Guilford,,,433,428,85,55,47,0,0,"1,048"
Halifax,,,131,106,45,20,12,0,0,314
Jamaica,,,150,104,53,16,22,0,0,345
Marlboro,,,254,235,36,28,43,0,0,596
Newfane,,,435,341,100,35,43,0,0,954
Putney,,,667,495,90,48,43,0,0,"1,343"
Rockingham,,,813,612,231,92,95,0,0,"1,843"
Stratton,,,29,26,28,9,7,1,66,166
Townshend,,,212,149,63,26,33,12,223,718
Vernon,,,261,198,137,38,28,6,464,"1,132"
Wardsboro,,,169,102,80,24,18,0,149,542
Westminster,-,"Windham 3",29,18,9,5,5,2,18,86
Westminster,-,"Windham 4",700,504,162,65,67,12,372,"1,882"
Whitingham,-,"Windham 6",167,106,102,35,24,6,240,680
Whitingham,-,Windham-Bennington,5,3,3,1,0,0,6,18
Windham,,,75,68,44,15,18,2,68,290
TOTALS,,,"7,777","6,378","1,973",899,833,41,"1,606","19,507"
