City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Alburgh,,,-,0,2,2
Baltimore,,,-,0,1,1
"Barre City",,,-,0,2,2
"Barre Town",,,-,0,1,1
Bennington,-,"Bennington 2-1",-,0,2,2
Bennington,-,"Bennington 2-2",-,1,3,4
Brandon,,,-,0,3,3
Brattleboro,-,"Windham 2-1",-,0,2,2
Brattleboro,-,"Windham 2-2",-,0,2,2
Brattleboro,-,"Windham 2-3",-,1,3,4
Brighton,,,-,0,1,1
Brownington,,,-,0,2,2
Burlington,-,"Chittenden 6-1",-,0,6,6
Burlington,-,"Chittenden 6-2",-,0,0,0
Burlington,-,"Chittenden 6-3",-,1,2,3
Burlington,-,"Chittenden 6-4",-,0,2,2
Burlington,-,"Chittenden 6-5",-,0,0,0
Burlington,-,"Chittenden 6-6",-,0,0,0
Burlington,-,"Chittenden 6-7",-,0,0,0
Canaan,,,-,0,2,2
Cavendish,,,-,0,4,4
Charleston,,,-,1,3,4
Chelsea,,,-,0,2,2
Chester,,,-,0,1,1
Colchester,-,"Chittenden 9-1",-,0,1,1
Colchester,-,"Chittenden 9-2",-,0,1,1
Coventry,,,-,0,1,1
Danby,,,-,0,1,1
Danville,,,-,0,1,1
Dorset,,,-,0,1,1
Dover,,,-,0,1,1
Dummerston,,,-,0,7,7
"E. Haven",,,-,0,1,1
"E. Montpelier",,,-,0,4,4
Eden,,,-,0,1,1
Enosburgh,,,-,0,1,1
Essex,-,"Chittenden 8-1",-,0,0,0
Essex,-,"Chittenden 8-2",-,0,1,1
Essex,-,"Chittenden 8-3",-,0,0,0
"Fair Haven",,,-,0,1,1
Fairfax,,,-,0,2,2
Fairfield,,,-,0,1,1
Goshen,,,-,5,0,5
"Grand Isle",,,-,0,5,5
Granville,,,-,0,1,1
Greensboro,,,-,0,1,1
Guilford,,,-,0,1,1
Hinesburg,-,"Chittenden 4-1",-,0,0,0
Hinesburg,-,"Chittenden 4-2",-,1,0,1
Huntington,,,-,0,1,1
"Hyde Park",,,-,0,1,1
Johnson,,,-,0,2,2
Lincoln,,,-,0,1,1
Ludlow,,,-,0,1,1
Marlboro,,,-,0,1,1
Marshfield,,,-,0,4,4
Middlebury,,,-,0,2,2
Middlesex,,,-,0,1,1
"Middletown Springs",,,-,0,1,1
Milton,-,"Chittenden 10",-,0,2,2
Milton,-,"Grand Isle-Chittenden",-,0,0,0
Montgomery,,,-,1,1,2
Montpelier,,,-,0,2,2
Newark,,,-,0,1,1
Newbury,,,-,0,2,2
"Newport City",,,-,0,1,1
"N. Hero",,,-,1,5,6
Norton,,,-,1,0,1
Norwich,,,-,0,1,1
Pawlet,,,-,0,1,1
Peacham,,,-,0,3,3
Peru,,,-,0,1,1
Plainfield,,,-,0,1,1
Pownal,,,-,1,1,2
Putney,,,-,0,2,2
Randolph,,,-,0,2,2
Richmond,,,-,0,1,1
Rockingham,,,-,0,1,1
Roxbury,,,-,0,1,1
Rupert,,,-,0,1,1
"Rutland City",-,"Rutland 5-1",-,0,1,1
"Rutland City",-,"Rutland 5-2",-,0,1,1
"Rutland City",-,"Rutland 5-3",-,0,0,0
"Rutland City",-,"Rutland 5-4",-,0,1,1
Sandgate,,,-,0,1,1
Shaftsbury,,,-,0,1,1
Shelburne,-,"Chittenden 5-1",-,0,0,0
Shelburne,-,"Chittenden 5-2",-,0,1,1
Shoreham,,,-,0,1,1
Springfield,-,"Windsor 3-1",-,0,0,0
Springfield,-,"Windsor 3-2",-,0,1,1
"St. Albans City",,,-,1,1,2
"St. Albans Town",-,"Franklin 3-1",-,0,0,0
"St. Albans Town",-,"Franklin 3-2",-,1,0,1
"St. Johnsbury",,,-,1,0,1
Stockbridge,,,-,0,1,1
Stratton,,,-,0,1,1
Thetford,,,-,0,3,3
Tinmouth,-,"Rutland 2",-,0,0,0
Tinmouth,-,Rutland-Bennington,-,1,0,1
Townshend,,,-,1,1,2
Underhill,,,-,0,2,2
Waitsfield,,,-,0,3,3
Wallingford,,,-,1,1,2
Warren,,,-,0,1,1
Waterbury,,,-,0,2,2
Waterford,,,-,0,1,1
Weathersfield,,,-,0,6,6
Wells,,,-,0,1,1
"W. Haven",,,-,0,4,4
"W. Rutland",,,-,0,1,1
Westfield,,,-,0,4,4
Westminster,-,"Windham 3",-,0,0,0
Westminster,-,"Windham 4",-,0,7,7
Wheelock,,,-,0,2,2
Williston,,,-,0,1,1
Windsor,,,-,0,1,1
Winooski,,,-,0,2,2
Woodstock,,,-,1,1,2
TOTALS,,,-,21,180,201
