City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Addison,,,-,0,80,80
Albany,,,-,2,51,53
Alburgh,,,-,18,82,100
Andover,,,-,0,18,18
Arlington,,,-,0,47,47
Athens,,,-,0,13,13
Bakersfield,,,-,2,25,27
Baltimore,,,-,0,6,6
Barnard,,,-,2,40,42
Barnet,,,-,6,184,190
"Barre City",,,-,14,250,264
"Barre Town",,,-,22,282,304
Barton,,,-,9,112,121
Belvidere,,,-,0,11,11
Bennington,-,"Bennington 2-1",-,3,93,96
Bennington,-,"Bennington 2-2",-,5,107,112
Benson,,,-,0,24,24
Berkshire,,,-,4,32,36
Berlin,,,-,7,82,89
Bethel,,,-,2,36,38
Bloomfield,,,-,1,20,21
Bolton,,,-,0,28,28
Bradford,,,-,4,35,39
Braintree,,,-,2,33,35
Brandon,,,-,9,382,391
Brattleboro,-,"Windham 2-1",-,2,24,26
Brattleboro,-,"Windham 2-2",-,2,25,27
Brattleboro,-,"Windham 2-3",-,1,17,18
Bridgewater,,,-,1,17,18
Bridport,,,-,8,44,52
Brighton,,,-,11,190,201
Bristol,,,-,0,65,65
Brookfield,,,-,2,33,35
Brookline,,,-,0,6,6
Brownington,,,-,1,118,119
Brunswick,,,-,0,11,11
Burke,,,-,0,41,41
Burlington,-,"Chittenden 6-1",-,15,297,312
Burlington,-,"Chittenden 6-2",-,2,118,120
Burlington,-,"Chittenden 6-3",-,3,32,35
Burlington,-,"Chittenden 6-4",-,3,32,35
Burlington,-,"Chittenden 6-5",-,5,98,103
Burlington,-,"Chittenden 6-6",-,0,13,13
Burlington,-,"Chittenden 6-7",-,0,1,1
Cabot,,,-,0,25,25
Calais,,,-,0,35,35
Cambridge,,,-,10,67,77
Canaan,,,-,3,70,73
Castleton,,,-,2,174,176
Cavendish,,,-,3,76,79
Charleston,,,-,2,48,50
Charlotte,,,-,0,69,69
Chelsea,,,-,4,52,56
Chester,,,-,0,62,62
Chittenden,,,-,2,43,45
Clarendon,,,-,2,47,49
Colchester,-,"Chittenden 9-1",-,3,143,146
Colchester,-,"Chittenden 9-2",-,2,258,260
Concord,,,-,5,59,64
Corinth,,,-,0,28,28
Cornwall,,,-,3,36,39
Coventry,,,-,9,84,93
Craftsbury,,,-,4,23,27
Danby,,,-,1,50,51
Danville,,,-,4,101,105
Derby,,,-,37,380,417
Dorset,,,-,1,67,68
Dover,,,-,0,23,23
Dummerston,,,-,1,24,25
Duxbury,,,-,4,41,45
"E. Haven",,,-,0,22,22
"E. Montpelier",,,-,4,71,75
Eden,,,-,4,26,30
Elmore,,,-,1,28,29
Enosburgh,,,-,16,65,81
Essex,-,"Chittenden 8-1",-,2,176,178
Essex,-,"Chittenden 8-2",-,7,210,217
Essex,-,"Chittenden 8-3",-,3,49,52
"Fair Haven",,,-,7,118,125
Fairfax,,,-,3,155,158
Fairfield,,,-,7,34,41
Fairlee,,,-,1,22,23
Fayston,,,-,2,18,20
Ferrisburgh,,,-,0,84,84
Fletcher,,,-,1,18,19
Franklin,,,-,5,48,53
Georgia,,,-,7,112,119
Glover,,,-,4,42,46
Goshen,,,-,3,12,15
Grafton,,,-,1,16,17
Granby,,,-,0,15,15
"Grand Isle",,,-,22,88,110
Granville,,,-,2,6,8
Greensboro,,,-,0,20,20
Groton,,,-,3,61,64
Guildhall,,,-,0,47,47
Guilford,,,-,2,28,30
Halifax,,,-,0,27,27
Hancock,,,-,0,5,5
Hardwick,,,-,2,39,41
Hartford,-,"Windsor 4-1",-,1,30,31
Hartford,-,"Windsor 4-2",-,0,87,87
Hartland,,,-,0,52,52
Highgate,,,-,17,70,87
Hinesburg,-,"Chittenden 4-1",-,0,0,0
Hinesburg,-,"Chittenden 4-2",-,0,68,68
Holland,,,-,1,36,37
Hubbardton,,,-,2,25,27
Huntington,,,-,0,30,30
"Hyde Park",,,-,6,68,74
Ira,,,-,1,8,9
Irasburg,,,-,4,57,61
"Isle La Motte",,,-,3,22,25
Jamaica,,,-,0,6,6
Jay,,,-,7,18,25
Jericho,,,-,4,138,142
Johnson,,,-,4,35,39
Killington,,,-,0,33,33
Kirby,,,-,0,17,17
Landgrove,,,-,1,8,9
Leicester,,,-,1,23,24
Lemington,,,-,1,13,14
Lincoln,,,-,1,44,45
Londonderry,,,-,1,24,25
Lowell,,,-,3,33,36
Ludlow,,,-,1,42,43
Lunenburg,,,-,20,90,110
Lyndon,,,-,3,128,131
Maidstone,,,-,11,15,26
Manchester,,,-,1,137,138
Marlboro,,,-,1,7,8
Marshfield,,,-,4,26,30
Mendon,,,-,1,49,50
Middlebury,,,-,3,98,101
Middlesex,,,-,5,38,43
"Middletown Springs",,,-,1,50,51
Milton,-,"Chittenden 10",-,9,266,275
Milton,-,"Grand Isle-Chittenden",-,0,59,59
Monkton,,,-,0,58,58
Montgomery,,,-,1,34,35
Montpelier,,,-,8,149,157
Moretown,,,-,2,42,44
Morgan,,,-,2,83,85
Morristown,,,-,9,96,105
"Mount Holly",,,-,0,40,40
"Mount Tabor",,,-,0,12,12
"New Haven",,,-,3,50,53
Newark,,,-,1,64,65
Newbury,,,-,0,51,51
Newfane,,,-,2,21,23
"Newport City",,,-,23,323,346
"Newport Town",,,-,5,87,92
"N. Hero",,,-,9,60,69
Northfield,,,-,3,112,115
Norton,,,-,5,27,32
Norwich,,,-,0,26,26
Orange,,,-,5,43,48
Orwell,,,-,4,44,48
Panton,,,-,0,25,25
Pawlet,,,-,3,132,135
Peacham,,,-,0,29,29
Peru,,,-,1,12,13
Pittsfield,,,-,0,15,15
Pittsford,,,-,6,73,79
Plainfield,,,-,1,19,20
Plymouth,,,-,3,18,21
Pomfret,,,-,1,32,33
Poultney,,,-,0,66,66
Pownal,,,-,1,43,44
Proctor,,,-,2,13,15
Putney,,,-,1,17,18
Randolph,,,-,6,125,131
Reading,,,-,0,17,17
Readsboro,,,-,0,12,12
Richford,,,-,1,33,34
Richmond,,,-,3,110,113
Ripton,,,-,1,10,11
Rochester,,,-,1,31,32
Rockingham,,,-,4,45,49
Roxbury,,,-,1,33,34
Royalton,,,-,1,34,35
Rupert,,,-,1,55,56
"Rutland City",-,"Rutland 5-1",-,7,103,110
"Rutland City",-,"Rutland 5-2",-,8,92,100
"Rutland City",-,"Rutland 5-3",-,0,40,40
"Rutland City",-,"Rutland 5-4",-,6,66,72
"Rutland Town",,,-,5,166,171
Ryegate,,,-,3,76,79
Salisbury,,,-,0,17,17
