City/Town,Ward,Pct,"William H. Sorrell","H. Brooke Paige",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,29,6,0,2,37
Albany,,,17,3,0,0,20
Alburgh,,,126,25,2,28,181
Andover,,,9,3,0,6,18
Arlington,,,25,13,1,4,43
Athens,,,10,1,0,6,17
Bakersfield,,,21,9,0,2,32
Baltimore,,,2,0,0,1,3
Barnard,,,17,5,0,3,25
Barnet,,,32,11,0,3,46
"Barre City",,,104,36,4,18,162
"Barre Town",,,52,18,3,2,75
Barton,,,19,7,1,2,29
Belvidere,,,7,1,0,1,9
Bennington,-,"Bennington 2-1",551,146,3,283,983
Bennington,-,"Bennington 2-2",264,94,2,92,452
Benson,,,13,2,0,3,18
Berkshire,,,15,9,0,5,29
Berlin,,,36,18,0,11,65
Bethel,,,29,2,0,2,33
Bloomfield,,,4,2,0,1,7
Bolton,,,14,7,0,1,22
Bradford,,,21,5,0,3,29
Braintree,,,10,1,0,0,11
Brandon,,,273,70,2,54,399
Brattleboro,-,"Windham 2-1",202,37,2,50,291
Brattleboro,-,"Windham 2-2",226,47,1,70,344
Brattleboro,-,"Windham 2-3",281,50,2,70,403
Bridgewater,,,9,6,1,1,17
Bridport,,,10,1,0,4,15
Brighton,,,20,4,0,16,40
Bristol,,,41,6,0,5,52
Brookfield,,,24,4,0,4,32
Brookline,,,33,12,0,18,63
Brownington,,,28,15,0,9,52
Brunswick,,,7,1,0,2,10
Burke,,,7,2,0,1,10
Burlington,-,"Chittenden 6-1",395,59,5,56,515
Burlington,-,"Chittenden 6-2",263,34,7,40,344
Burlington,-,"Chittenden 6-3",113,24,3,20,160
Burlington,-,"Chittenden 6-4",135,13,1,24,173
Burlington,-,"Chittenden 6-5",332,60,12,56,460
Burlington,-,"Chittenden 6-6",37,6,1,6,50
Burlington,-,"Chittenden 6-7",4,0,0,2,6
Cabot,,,19,10,0,4,33
Calais,,,36,6,0,11,53
Cambridge,,,46,17,2,9,74
Canaan,,,3,4,0,0,7
Castleton,,,35,12,0,3,50
Cavendish,,,54,21,0,20,95
Charleston,,,11,6,0,5,22
Charlotte,,,152,28,0,40,220
Chelsea,,,19,8,0,3,30
Chester,,,50,14,0,8,72
Chittenden,,,19,5,0,4,28
Clarendon,,,22,5,0,3,30
Colchester,-,"Chittenden 9-1",82,13,0,6,101
Colchester,-,"Chittenden 9-2",113,30,0,15,158
Concord,,,18,4,1,1,24
Corinth,,,33,6,0,0,39
Cornwall,,,44,5,0,6,55
Coventry,,,14,4,0,2,20
Craftsbury,,,42,5,3,9,59
Danby,,,32,17,0,6,55
Danville,,,49,17,0,9,75
Derby,,,133,37,0,17,187
Dorset,,,80,17,1,28,126
Dover,,,23,11,0,13,47
Dummerston,,,164,21,0,44,229
Duxbury,,,16,2,1,4,23
"E. Haven",,,9,3,0,0,12
"E. Montpelier",,,51,7,1,8,67
Eden,,,11,1,0,1,13
Elmore,,,23,4,0,6,33
Enosburgh,,,51,7,1,16,75
Essex,-,"Chittenden 8-1",86,6,2,12,106
Essex,-,"Chittenden 8-2",92,17,4,8,121
Essex,-,"Chittenden 8-3",28,3,0,3,34
"Fair Haven",,,25,10,0,5,40
Fairfax,,,53,15,1,8,77
Fairfield,,,38,9,0,3,50
Fairlee,,,13,4,1,4,22
Fayston,,,18,6,0,1,25
Ferrisburgh,,,35,8,0,1,44
Fletcher,,,13,5,0,1,19
Franklin,,,37,12,0,6,55
Georgia,,,20,6,1,2,29
Glover,,,37,9,2,5,53
Goshen,,,9,3,0,0,12
Grafton,,,29,11,0,24,64
Granby,,,2,1,0,0,3
"Grand Isle",,,177,39,2,28,246
Granville,,,12,1,0,0,13
Greensboro,,,42,7,1,12,62
Groton,,,9,6,0,2,17
Guildhall,,,4,3,0,1,8
Guilford,,,102,19,1,34,156
Halifax,,,18,5,0,5,28
Hancock,,,8,3,0,1,12
Hardwick,,,32,14,0,6,52
Hartford,-,"Windsor 4-1",15,6,0,5,26
Hartford,-,"Windsor 4-2",76,22,1,17,116
Hartland,,,56,11,0,7,74
Highgate,,,34,9,1,5,49
