City/Town,Ward,Pct,"Shane McCormack",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,8,0,71,81
Albany,,,12,0,40,53
Alburgh,,,25,0,75,100
Andover,,,4,0,14,18
Arlington,,,1,0,46,47
Athens,,,0,0,13,13
Bakersfield,,,2,0,25,27
Baltimore,,,1,0,5,6
Barnard,,,3,0,39,42
Barnet,,,9,0,181,190
"Barre City",,,36,0,228,264
"Barre Town",,,47,0,257,304
Barton,,,15,0,106,121
Belvidere,,,0,0,10,11
Bennington,-,"Bennington 2-1",10,0,86,96
Bennington,-,"Bennington 2-2",9,0,103,112
Benson,,,0,0,24,24
Berkshire,,,6,0,30,36
Berlin,,,13,0,76,89
Bethel,,,2,0,36,38
Bloomfield,,,1,0,20,21
Bolton,,,0,0,28,28
Bradford,,,4,0,35,39
Braintree,,,1,0,34,35
Brandon,,,16,0,377,393
Brattleboro,-,"Windham 2-1",2,0,24,26
Brattleboro,-,"Windham 2-2",5,0,22,27
Brattleboro,-,"Windham 2-3",3,0,15,18
Bridgewater,,,4,0,14,18
Bridport,,,11,0,40,52
Brighton,,,14,0,186,201
Bristol,,,5,0,60,65
Brookfield,,,3,0,32,35
Brookline,,,1,0,5,6
Brownington,,,4,0,114,120
Brunswick,,,0,0,11,11
Burke,,,1,0,41,42
Burlington,-,"Chittenden 6-1",59,0,253,312
Burlington,-,"Chittenden 6-2",26,0,94,120
Burlington,-,"Chittenden 6-3",6,0,29,35
Burlington,-,"Chittenden 6-4",9,0,26,35
Burlington,-,"Chittenden 6-5",20,0,83,103
Burlington,-,"Chittenden 6-6",4,0,9,13
Burlington,-,"Chittenden 6-7",0,0,1,1
Cabot,,,2,0,23,25
Calais,,,1,0,34,35
Cambridge,,,14,0,63,77
Canaan,,,2,0,71,73
Castleton,,,15,0,161,176
Cavendish,,,12,0,67,79
Charleston,,,3,0,47,50
Charlotte,,,4,0,65,69
Chelsea,,,5,0,51,56
Chester,,,9,0,53,62
Chittenden,,,8,0,37,45
Clarendon,,,3,0,45,49
Colchester,-,"Chittenden 9-1",15,0,132,148
Colchester,-,"Chittenden 9-2",15,0,245,260
Concord,,,9,0,55,64
Corinth,,,3,0,25,28
Cornwall,,,5,0,34,39
Coventry,,,16,0,77,94
Craftsbury,,,10,0,17,27
Danby,,,5,0,46,51
Danville,,,6,0,99,105
Derby,,,71,0,346,417
Dorset,,,4,0,64,68
Dover,,,0,0,23,23
Dummerston,,,2,0,23,25
Duxbury,,,7,0,38,45
"E. Haven",,,1,0,21,22
"E. Montpelier",,,6,0,69,75
Eden,,,10,0,20,30
Elmore,,,7,0,22,29
Enosburgh,,,19,0,62,81
Essex,-,"Chittenden 8-1",19,0,159,178
Essex,-,"Chittenden 8-2",77,0,140,217
Essex,-,"Chittenden 8-3",10,0,42,52
"Fair Haven",,,12,0,113,125
Fairfax,,,6,0,152,158
Fairfield,,,7,0,34,41
Fairlee,,,3,0,20,23
Fayston,,,2,0,18,20
Ferrisburgh,,,16,0,68,84
Fletcher,,,1,0,18,19
Franklin,,,11,0,41,53
Georgia,,,12,0,107,119
Glover,,,7,0,39,46
Goshen,,,2,0,13,15
Grafton,,,2,0,15,17
Granby,,,1,0,14,15
"Grand Isle",,,37,0,73,110
Granville,,,2,0,6,8
Greensboro,,,3,0,17,20
Groton,,,5,0,59,64
Guildhall,,,3,0,44,47
Guilford,,,7,0,23,30
Halifax,,,2,0,25,27
Hancock,,,0,0,5,5
Hardwick,,,4,0,37,41
Hartford,-,"Windsor 4-1",4,0,27,31
Hartford,-,"Windsor 4-2",4,0,83,87
Hartland,,,10,0,42,52
Highgate,,,21,0,66,87
Hinesburg,-,"Chittenden 4-1",0,0,0,0
Hinesburg,-,"Chittenden 4-2",8,0,60,68
Holland,,,3,0,34,37
