City/Town,Ward,Pct,"Peter Shumlin","H. Brooke Paige",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,26,5,3,3,37
Albany,,,12,4,1,3,20
Alburgh,,,107,40,20,14,181
Andover,,,15,1,1,1,18
Arlington,,,29,7,5,2,43
Athens,,,10,1,2,3,16
Bakersfield,,,19,5,4,4,32
Baltimore,,,3,0,0,0,3
Barnard,,,20,3,0,3,26
Barnet,,,34,8,0,3,45
"Barre City",,,108,21,21,12,162
"Barre Town",,,39,22,8,6,75
Barton,,,14,6,8,1,29
Belvidere,,,7,1,0,1,9
Bennington,-,"Bennington 2-1",667,150,8,158,983
Bennington,-,"Bennington 2-2",322,71,13,46,452
Benson,,,9,7,1,1,18
Berkshire,,,13,11,3,2,29
Berlin,,,29,17,6,13,65
Bethel,,,25,1,4,3,33
Bloomfield,,,6,1,0,0,7
Bolton,,,12,6,3,1,22
Bradford,,,24,1,3,1,29
Braintree,,,9,2,0,0,11
Brandon,,,268,88,18,25,399
Brattleboro,-,"Windham 2-1",229,27,9,26,291
Brattleboro,-,"Windham 2-2",281,28,9,26,344
Brattleboro,-,"Windham 2-3",335,35,5,27,402
Bridgewater,,,10,1,5,1,17
Bridport,,,9,3,2,1,15
Brighton,,,22,6,6,6,40
Bristol,,,27,14,8,3,52
Brookfield,,,19,7,2,4,32
Brookline,,,48,9,0,6,63
Brownington,,,32,14,2,3,51
Brunswick,,,7,0,1,2,10
Burke,,,4,3,2,1,10
Burlington,-,"Chittenden 6-1",347,91,28,49,515
Burlington,-,"Chittenden 6-2",257,37,21,29,344
Burlington,-,"Chittenden 6-3",118,16,9,17,160
Burlington,-,"Chittenden 6-4",133,12,6,22,173
Burlington,-,"Chittenden 6-5",316,52,49,43,460
Burlington,-,"Chittenden 6-6",34,4,9,3,50
Burlington,-,"Chittenden 6-7",3,1,1,1,6
Cabot,,,15,9,6,3,33
Calais,,,36,0,15,2,53
Cambridge,,,42,9,19,4,74
Canaan,,,3,3,0,1,7
Castleton,,,30,17,0,3,50
Cavendish,,,71,13,4,7,95
Charleston,,,10,7,4,1,22
Charlotte,,,131,31,20,38,220
Chelsea,,,21,4,3,2,30
Chester,,,59,5,4,4,72
Chittenden,,,20,6,1,1,28
Clarendon,,,20,4,4,2,30
Colchester,-,"Chittenden 9-1",66,13,9,0,88
Colchester,-,"Chittenden 9-2",110,31,4,13,158
Concord,,,17,5,2,0,24
Corinth,,,33,3,3,3,42
Cornwall,,,38,10,1,6,55
Coventry,,,9,9,1,1,20
Craftsbury,,,16,15,20,8,59
Danby,,,35,12,5,3,55
Danville,,,60,10,1,4,75
Derby,,,109,41,23,15,188
Dorset,,,91,15,6,14,126
Dover,,,30,15,1,1,47
Dummerston,,,203,18,0,8,229
Duxbury,,,13,6,3,1,23
"E. Haven",,,8,3,1,0,12
"E. Montpelier",,,46,8,8,5,67
Eden,,,7,2,2,2,13
Elmore,,,17,8,4,5,34
Enosburgh,,,49,9,9,8,75
Essex,-,"Chittenden 8-1",76,13,10,8,107
Essex,-,"Chittenden 8-2",86,15,10,10,121
Essex,-,"Chittenden 8-3",23,6,4,1,34
"Fair Haven",,,24,9,5,2,40
Fairfax,,,51,14,6,6,77
Fairfield,,,29,9,5,7,50
Fairlee,,,20,0,0,2,22
Fayston,,,18,2,3,2,25
Ferrisburgh,,,24,11,4,5,44
Fletcher,,,14,3,1,1,19
Franklin,,,22,16,10,7,55
Georgia,,,20,4,3,2,29
Glover,,,25,14,10,4,53
Goshen,,,11,1,0,0,12
Grafton,,,28,22,2,12,64
Granby,,,3,0,0,0,3
"Grand Isle",,,142,49,34,21,246
Granville,,,10,2,0,1,13
Greensboro,,,26,21,6,9,62
Groton,,,15,1,1,0,17
Guildhall,,,5,3,0,0,8
Guilford,,,128,13,3,12,156
Halifax,,,24,2,1,1,28
Hancock,,,10,1,1,0,12
Hardwick,,,28,11,10,3,52
Hartford,-,"Windsor 4-1",23,0,1,2,26
Hartford,-,"Windsor 4-2",97,4,8,7,116
Hartland,,,67,4,1,2,74
Highgate,,,27,11,5,6,49
Hinesburg,-,"Chittenden 4-1",2,0,0,0,2
Hinesburg,-,"Chittenden 4-2",85,9,10,9,113
Holland,,,5,3,0,0,8
Hubbardton,,,4,0,0,0,4
Huntington,,,47,16,13,9,85
"Hyde Park",,,45,18,10,10,83
Ira,,,8,4,0,0,12
Irasburg,,,7,3,2,1,13
"Isle La Motte",,,31,20,8,5,64
Jamaica,,,37,8,6,8,59
Jay,,,3,1,2,0,6
Jericho,,,86,18,15,12,131
Johnson,,,36,8,8,2,54
Killington,,,12,2,0,1,15
Kirby,,,0,0,0,1,1
Landgrove,,,8,4,0,1,13
Leicester,,,12,3,0,0,15
Lemington,,,2,0,0,0,2
Lincoln,,,35,4,2,7,48
Londonderry,,,25,3,6,3,37
Lowell,,,9,5,8,2,24
Ludlow,,,17,4,0,0,21
Lunenburg,,,10,3,1,0,14
Lyndon,,,30,9,3,2,44
Maidstone,,,3,0,1,0,4
Manchester,,,63,12,3,6,84
