City/Town,Ward,Pct,"Pete Diamondstone",Write-Ins,Blanks,"Total Votes Cast"
,,,
Alburgh,,,2,0,0,2
Baltimore,,,0,1,0,1
"Barre City",,,1,0,1,2
"Barre Town",,,0,1,0,1
Bennington,-,"Bennington 2-1",2,0,0,2
Bennington,-,"Bennington 2-2",4,0,0,4
Brandon,,,0,0,3,3
Brattleboro,-,"Windham 2-1",1,1,0,2
Brattleboro,-,"Windham 2-2",2,0,0,2
Brattleboro,-,"Windham 2-3",3,0,1,4
Brighton,,,1,0,0,1
Brownington,,,2,0,0,2
Burlington,-,"Chittenden 6-1",1,2,3,6
Burlington,-,"Chittenden 6-2",0,0,0,0
Burlington,-,"Chittenden 6-3",2,0,1,3
Burlington,-,"Chittenden 6-4",2,0,0,2
Burlington,-,"Chittenden 6-5",0,0,0,0
Burlington,-,"Chittenden 6-6",0,0,0,0
Burlington,-,"Chittenden 6-7",0,0,0,0
Canaan,,,1,0,1,2
Cavendish,,,4,0,0,4
Charleston,,,3,0,1,4
Chelsea,,,2,0,0,2
Chester,,,1,0,0,1
Colchester,-,"Chittenden 9-1",1,0,0,1
Colchester,-,"Chittenden 9-2",0,0,1,1
Coventry,,,0,0,1,1
Danby,,,1,0,0,1
Danville,,,1,0,0,1
Dorset,,,1,0,0,1
Dover,,,1,0,0,1
Dummerston,,,7,0,0,7
"E. Haven",,,0,0,1,1
"E. Montpelier",,,3,0,1,4
Eden,,,0,1,0,1
Enosburgh,,,1,0,0,1
Essex,-,"Chittenden 8-1",0,0,0,0
Essex,-,"Chittenden 8-2",0,0,1,1
Essex,-,"Chittenden 8-3",0,0,0,0
"Fair Haven",,,1,0,0,1
Fairfax,,,1,0,1,2
Fairfield,,,1,0,0,1
Goshen,,,4,0,1,5
"Grand Isle",,,2,1,2,5
Granville,,,1,0,0,1
Greensboro,,,1,0,0,1
Guilford,,,0,0,1,1
Hinesburg,-,"Chittenden 4-1",0,0,0,0
Hinesburg,-,"Chittenden 4-2",1,0,0,1
Huntington,,,1,0,0,1
"Hyde Park",,,1,0,0,1
Johnson,,,1,0,1,2
Lincoln,,,0,0,1,1
Ludlow,,,1,0,0,1
Marlboro,,,1,0,0,1
Marshfield,,,1,0,3,4
Middlebury,,,1,0,1,2
Middlesex,,,0,0,1,1
"Middletown Springs",,,1,0,0,1
Milton,-,"Chittenden 10",1,1,0,2
Milton,-,"Grand Isle-Chittenden",0,0,0,0
Montgomery,,,1,0,1,2
Montpelier,,,0,0,2,2
Newark,,,1,0,0,1
Newbury,,,1,0,1,2
"Newport City",,,0,1,0,1
"N. Hero",,,4,0,2,6
Norton,,,0,1,0,1
Norwich,,,0,0,1,1
Pawlet,,,1,0,0,1
Peacham,,,2,0,1,3
Peru,,,1,0,0,1
Plainfield,,,1,0,0,1
Pownal,,,1,0,1,2
Putney,,,1,0,1,2
Randolph,,,2,0,0,2
Richmond,,,1,0,0,1
Rockingham,,,1,0,0,1
Roxbury,,,1,0,0,1
Rupert,,,1,0,0,1
"Rutland City",-,"Rutland 5-1",1,0,0,1
"Rutland City",-,"Rutland 5-2",1,0,0,1
"Rutland City",-,"Rutland 5-3",0,0,0,0
"Rutland City",-,"Rutland 5-4",1,0,0,1
Sandgate,,,0,0,1,1
Shaftsbury,,,0,0,1,1
Shoreham,,,0,1,0,1
Springfield,-,"Windsor 3-1",0,0,0,0
Springfield,-,"Windsor 3-2",1,0,0,1
"St. Albans City",,,2,0,0,2
"St. Albans Town",-,"Franklin 3-1",0,0,0,0
"St. Albans Town",-,"Franklin 3-2",0,0,1,1
"St. Johnsbury",,,1,0,0,1
Stockbridge,,,0,1,0,1
Stratton,,,1,0,0,1
Thetford,,,0,1,2,3
Tinmouth,-,"Rutland 2",0,0,0,0
Tinmouth,-,Rutland-Bennington,1,0,0,1
Townshend,,,2,0,0,2
Underhill,,,2,0,0,2
Waitsfield,,,2,0,2,4
Wallingford,,,2,0,0,2
Warren,,,0,0,1,1
Waterbury,,,1,1,0,2
Weathersfield,,,2,2,2,6
Wells,,,1,0,0,1
"W. Haven",,,2,0,2,4
"W. Rutland",,,1,0,0,1
Westfield,,,4,0,0,4
Westminster,-,"Windham 3",0,0,0,0
Westminster,-,"Windham 4",7,0,0,7
Wheelock,,,1,0,1,2
Williston,,,1,0,0,1
Wilmington,,,1,0,0,1
Windsor,,,1,0,0,1
Winooski,,,1,0,1,2
Woodstock,,,2,0,0,2
TOTALS,,,133,16,52,201
