City/Town,Ward,Pct,"Dean Corren",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,5,0,32,38
Albany,,,5,0,15,20
Alburgh,,,41,0,140,181
Andover,,,6,0,12,18
Arlington,,,6,0,37,43
Athens,,,1,0,16,17
Bakersfield,,,9,0,23,32
Baltimore,,,2,0,1,3
Barnard,,,4,0,21,26
Barnet,,,12,0,34,46
"Barre City",,,65,0,97,162
"Barre Town",,,40,0,35,75
Barton,,,13,0,16,29
Belvidere,,,2,0,7,9
Bennington,-,"Bennington 2-1",92,0,891,983
Bennington,-,"Bennington 2-2",75,0,377,452
Benson,,,6,0,12,18
Berkshire,,,8,0,21,29
Berlin,,,34,0,31,65
Bethel,,,13,0,19,33
Bloomfield,,,1,0,6,7
Bolton,,,10,0,12,22
Bradford,,,12,0,17,29
Braintree,,,3,0,8,11
Brandon,,,54,0,345,400
Brattleboro,-,"Windham 2-1",67,0,224,291
Brattleboro,-,"Windham 2-2",106,0,238,344
Brattleboro,-,"Windham 2-3",129,0,274,403
Bridgewater,,,12,0,5,17
Bridport,,,9,0,6,15
Brighton,,,12,0,27,40
Bristol,,,20,0,30,50
Brookfield,,,9,0,23,32
Brookline,,,9,0,54,63
Brownington,,,7,0,45,52
Brunswick,,,8,0,2,10
Burke,,,1,0,9,10
Burlington,-,"Chittenden 6-1",145,0,370,515
Burlington,-,"Chittenden 6-2",120,0,224,344
Burlington,-,"Chittenden 6-3",84,0,76,160
Burlington,-,"Chittenden 6-4",91,0,82,173
Burlington,-,"Chittenden 6-5",238,0,222,460
Burlington,-,"Chittenden 6-6",28,0,22,50
Burlington,-,"Chittenden 6-7",4,0,2,6
Cabot,,,10,0,23,33
Calais,,,40,0,13,53
Cambridge,,,42,0,32,74
Canaan,,,4,0,3,7
Castleton,,,4,0,46,50
Cavendish,,,14,0,81,95
Charleston,,,7,0,15,22
Charlotte,,,64,0,156,220
Chelsea,,,12,0,16,30
Chester,,,12,0,60,72
Chittenden,,,10,0,18,28
Clarendon,,,9,0,21,30
Colchester,-,"Chittenden 9-1",0,0,0,0
Colchester,-,"Chittenden 9-2",45,0,111,158
Concord,,,9,0,15,24
Corinth,,,16,0,26,42
Cornwall,,,18,0,37,55
Coventry,,,7,0,13,20
Craftsbury,,,30,0,29,59
Danby,,,9,0,46,55
Danville,,,23,0,52,75
Derby,,,54,0,135,189
Dorset,,,16,0,110,126
Dover,,,0,0,47,47
Dummerston,,,60,0,168,229
Duxbury,,,7,0,16,23
"E. Haven",,,2,0,10,12
"E. Montpelier",,,34,0,33,67
Eden,,,7,0,6,13
Elmore,,,8,0,26,34
Enosburgh,,,32,0,43,75
Essex,-,"Chittenden 8-1",28,0,79,107
Essex,-,"Chittenden 8-2",32,0,89,121
Essex,-,"Chittenden 8-3",8,0,26,34
"Fair Haven",,,12,0,28,40
Fairfax,,,15,0,62,77
Fairfield,,,19,0,31,50
Fairlee,,,9,0,12,22
Fayston,,,6,0,19,25
Ferrisburgh,,,14,0,30,44
Fletcher,,,9,0,10,19
Franklin,,,22,0,33,55
Georgia,,,5,0,24,29
Glover,,,18,0,35,53
Goshen,,,2,0,10,12
Grafton,,,10,0,53,64
Granby,,,0,0,3,3
"Grand Isle",,,93,0,153,246
Granville,,,3,0,9,13
Greensboro,,,22,0,40,62
Groton,,,6,0,11,17
Guildhall,,,3,0,5,8
Guilford,,,46,0,110,156
Halifax,,,12,0,16,28
Hancock,,,7,0,5,12
Hardwick,,,29,0,23,52
Hartford,-,"Windsor 4-1",17,0,9,26
Hartford,-,"Windsor 4-2",69,0,47,116
Hartland,,,31,0,43,74
Highgate,,,18,0,31,49
Hinesburg,-,"Chittenden 4-1",2,0,0,2
Hinesburg,-,"Chittenden 4-2",58,0,55,113
Holland,,,1,0,7,8
Hubbardton,,,0,0,4,4
Huntington,,,34,0,51,85
"Hyde Park",,,19,0,64,83
Ira,,,7,0,5,12
Irasburg,,,4,0,9,13
"Isle La Motte",,,14,0,50,64
Jamaica,,,11,0,47,59
Jay,,,2,0,4,6
Jericho,,,59,0,72,131
Johnson,,,18,0,36,54
Killington,,,2,0,13,15
Kirby,,,0,0,1,1
Landgrove,,,4,0,9,13
Leicester,,,7,0,8,15
Lemington,,,1,0,1,2
Lincoln,,,25,0,24,49
Londonderry,,,15,0,22,37
Lowell,,,15,0,9,24
Ludlow,,,4,0,17,21
Lunenburg,,,7,0,7,14
Lyndon,,,14,0,30,44
Maidstone,,,1,0,3,4
Manchester,,,16,0,68,84
Marlboro,,,53,0,94,150
Marshfield,,,15,0,27,42
Mendon,,,2,0,17,19
Middlebury,,,206,0,467,674
Middlesex,,,38,0,20,58
"Middletown Springs",,,20,0,15,35
Milton,-,"Chittenden 10",12,0,93,105
Milton,-,"Grand Isle-Chittenden",3,0,18,21
Monkton,,,21,0,27,48
Montgomery,,,14,0,51,65
Montpelier,,,261,0,131,392
Moretown,,,11,0,19,30
Morgan,,,2,0,11,13
Morristown,,,45,0,93,138
"Mount Holly",,,12,0,19,31
"Mount Tabor",,,2,0,5,7
"New Haven",,,15,0,23,38
Newark,,,4,0,5,9
Newbury,,,12,0,27,41
Newfane,,,24,0,144,168
"Newport City",,,16,0,60,76
"Newport Town",,,11,0,12,24
"N. Hero",,,25,0,103,129
Northfield,,,18,0,35,53
Norton,,,3,0,4,8
Norwich,,,154,0,659,814
Orange,,,7,0,7,14
Orwell,,,11,0,18,29
Panton,,,4,0,13,17
Pawlet,,,6,0,33,39
Peacham,,,13,0,38,51
Peru,,,11,0,14,25
Pittsfield,,,11,0,5,16
Pittsford,,,13,0,26,39
Plainfield,,,28,0,13,41
Plymouth,,,0,0,5,5
Pomfret,,,13,0,27,40
Poultney,,,9,0,34,43
Pownal,,,12,0,118,130
Proctor,,,8,0,21,29
Putney,,,74,0,173,248
Randolph,,,26,0,55,81
Reading,,,2,0,24,27
Readsboro,,,3,0,15,18
Richford,,,5,0,22,27
Richmond,,,56,0,99,155
Ripton,,,19,0,39,58
Rochester,,,21,0,19,41
Rockingham,,,56,0,339,395
Roxbury,,,6,0,11,17
Royalton,,,7,0,18,25
Rupert,,,4,0,28,32
"Rutland City",-,"Rutland 5-1",24,0,64,88
"Rutland City",-,"Rutland 5-2",33,0,29,62
"Rutland City",-,"Rutland 5-3",7,0,32,39
"Rutland City",-,"Rutland 5-4",11,0,40,51
"Rutland Town",,,18,0,60,78
Ryegate,,,11,0,12,23
Salisbury,,,12,0,11,23
Sandgate,,,2,0,19,21
Searsburg,,,1,0,1,2
Shaftsbury,,,14,0,60,74
Sharon,,,38,0,82,120
Sheffield,,,5,0,7,12
Shelburne,-,"Chittenden 5-1",72,0,184,256
Shelburne,-,"Chittenden 5-2",25,0,77,102
Sheldon,,,13,0,7,20
Shoreham,,,15,0,67,82
Shrewsbury,,,15,0,33,49
"S. Burlington",-,"Chittenden 7-1",65,0,103,168
"S. Burlington",-,"Chittenden 7-2",56,0,73,129
"S. Burlington",-,"Chittenden 7-3",52,0,76,128
"S. Burlington",-,"Chittenden 7-4",44,0,118,162
"S. Hero",,,62,0,187,249
Springfield,-,"Windsor 3-1",0,0,2,2
Springfield,-,"Windsor 3-2",39,0,79,119
"St. Albans City",,,81,0,90,171
"St. Albans Town",-,"Franklin 3-1",7,0,33,40
"St. Albans Town",-,"Franklin 3-2",27,0,83,110
