City/Town,Ward,Pct,"Phil Scott",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,78,0,3,81
Albany,,,44,0,9,53
Alburgh,,,90,0,10,100
Andover,,,15,0,3,18
Arlington,,,40,0,7,47
Athens,,,12,0,1,13
Bakersfield,,,26,0,1,27
Baltimore,,,6,0,0,6
Barnard,,,35,1,6,42
Barnet,,,157,0,33,190
"Barre City",,,250,3,11,264
"Barre Town",,,299,0,5,304
Barton,,,112,1,8,121
Belvidere,,,11,0,0,11
Bennington,-,"Bennington 2-1",79,1,16,96
Bennington,-,"Bennington 2-2",89,2,21,112
Benson,,,22,0,2,24
Berkshire,,,33,0,3,36
Berlin,,,88,0,1,89
Bethel,,,34,0,4,38
Bloomfield,,,18,0,3,21
Bolton,,,27,0,1,28
Bradford,,,36,0,3,39
Braintree,,,33,0,2,35
Brandon,,,352,3,37,392
Brattleboro,-,"Windham 2-1",22,1,3,26
Brattleboro,-,"Windham 2-2",23,1,3,27
Brattleboro,-,"Windham 2-3",14,0,4,18
Bridgewater,,,14,0,4,18
Bridport,,,50,0,2,52
Brighton,,,160,2,39,201
Bristol,,,59,1,5,65
Brookfield,,,34,0,1,35
Brookline,,,6,0,0,6
Brownington,,,95,0,25,120
Brunswick,,,8,0,3,11
Burke,,,39,0,3,42
Burlington,-,"Chittenden 6-1",287,4,21,312
Burlington,-,"Chittenden 6-2",112,1,7,120
Burlington,-,"Chittenden 6-3",26,3,6,35
Burlington,-,"Chittenden 6-4",31,0,4,35
Burlington,-,"Chittenden 6-5",93,1,9,103
Burlington,-,"Chittenden 6-6",6,4,3,13
Burlington,-,"Chittenden 6-7",1,0,0,1
Cabot,,,25,0,0,25
Calais,,,34,0,1,35
Cambridge,,,70,4,3,77
Canaan,,,57,0,16,73
Castleton,,,156,1,19,176
Cavendish,,,66,2,11,79
Charleston,,,45,0,5,50
Charlotte,,,67,0,2,69
Chelsea,,,54,0,2,56
Chester,,,55,0,7,62
Chittenden,,,41,1,2,44
Clarendon,,,47,0,2,49
Colchester,-,"Chittenden 9-1",139,0,9,148
Colchester,-,"Chittenden 9-2",241,0,19,260
Concord,,,56,2,6,64
Corinth,,,22,1,5,28
Cornwall,,,34,1,4,39
Coventry,,,75,1,17,93
Craftsbury,,,26,0,1,27
Danby,,,47,0,4,51
Danville,,,91,1,13,105
Derby,,,351,5,61,417
Dorset,,,58,0,10,68
Dover,,,22,0,1,23
Dummerston,,,25,0,0,25
Duxbury,,,42,0,3,45
"E. Haven",,,13,0,9,22
"E. Montpelier",,,72,0,3,75
Eden,,,27,1,2,30
Elmore,,,29,0,0,29
Enosburgh,,,76,0,5,81
Essex,-,"Chittenden 8-1",158,1,19,178
Essex,-,"Chittenden 8-2",195,2,20,217
Essex,-,"Chittenden 8-3",47,1,4,52
"Fair Haven",,,108,0,17,125
Fairfax,,,136,1,21,158
Fairfield,,,34,2,5,41
Fairlee,,,22,0,1,23
Fayston,,,19,0,1,20
Ferrisburgh,,,76,0,8,84
Fletcher,,,19,0,0,19
Franklin,,,47,0,6,53
Georgia,,,115,0,4,119
Glover,,,44,1,1,46
Goshen,,,14,0,1,15
Grafton,,,17,0,0,17
Granby,,,14,0,1,15
"Grand Isle",,,102,2,6,110
Granville,,,8,0,0,8
Greensboro,,,17,0,3,20
Groton,,,58,0,6,64
Guildhall,,,36,1,10,47
Guilford,,,26,0,4,30
Halifax,,,23,0,4,27
Hancock,,,4,0,1,5
Hardwick,,,39,0,2,41
Hartford,-,"Windsor 4-1",27,0,4,31
Hartford,-,"Windsor 4-2",78,0,9,87
Hartland,,,47,0,5,52
Highgate,,,81,0,6,87
Hinesburg,-,"Chittenden 4-1",0,0,0,0
Hinesburg,-,"Chittenden 4-2",60,0,8,68
Holland,,,27,0,10,37
Hubbardton,,,26,0,1,27
Huntington,,,26,0,4,30
"Hyde Park",,,71,0,5,76
Ira,,,8,0,1,9
Irasburg,,,52,1,8,61
"Isle La Motte",,,25,0,0,25
Jamaica,,,5,0,1,6
Jay,,,19,1,5,25
Jericho,,,134,0,8,142
Johnson,,,36,1,2,39
Killington,,,31,0,2,33
Kirby,,,14,1,2,17
Landgrove,,,4,0,4,8
Leicester,,,24,0,1,25
Lemington,,,11,0,3,14
Lincoln,,,40,0,5,45
Londonderry,,,24,0,1,25
Lowell,,,31,0,5,36
Ludlow,,,39,1,3,43
Lunenburg,,,87,2,21,110
Lyndon,,,122,2,8,132
Maidstone,,,18,3,5,26
Manchester,,,117,1,22,140
Marlboro,,,7,0,1,8
Marshfield,,,29,1,0,30
Mendon,,,45,1,4,50
Middlebury,,,91,2,8,101
Middlesex,,,41,1,1,43
"Middletown Springs",,,44,0,7,51
Milton,-,"Chittenden 10",258,4,13,275
Milton,-,"Grand Isle-Chittenden",54,0,5,59
Monkton,,,55,0,3,58
Montgomery,,,32,0,3,35
Montpelier,,,146,4,7,157
Moretown,,,42,0,2,44
Morgan,,,68,0,17,85
Morristown,,,104,0,1,105
"Mount Holly",,,34,0,6,40
"Mount Tabor",,,12,0,0,12
"New Haven",,,47,2,4,53
Newark,,,44,0,21,65
Newbury,,,46,1,5,52
Newfane,,,20,0,3,23
"Newport City",,,297,2,48,347
"Newport Town",,,73,1,18,92
"N. Hero",,,66,0,3,69
Northfield,,,114,0,1,115
Norton,,,25,0,6,31
Norwich,,,19,0,7,26
Orange,,,48,0,0,48
Orwell,,,47,0,2,49
Panton,,,25,0,0,25
Pawlet,,,93,0,42,135
Peacham,,,26,0,3,29
Peru,,,10,1,2,13
Pittsfield,,,14,0,1,15
Pittsford,,,76,0,3,79
Plainfield,,,19,0,0,19
Plymouth,,,21,0,0,21
Pomfret,,,27,0,6,33
Poultney,,,60,0,6,66
Pownal,,,38,0,6,44
Proctor,,,14,0,1,15
Putney,,,11,3,4,18
Randolph,,,125,2,4,131
Reading,,,14,0,3,17
Readsboro,,,10,0,2,12
Richford,,,32,0,2,34
Richmond,,,108,1,4,113
Ripton,,,9,0,2,11
Rochester,,,30,1,2,33
Rockingham,,,43,1,5,49
Roxbury,,,30,1,3,34
Royalton,,,28,1,6,35
Rupert,,,42,0,14,56
"Rutland City",-,"Rutland 5-1",96,0,14,110
"Rutland City",-,"Rutland 5-2",92,0,8,100
"Rutland City",-,"Rutland 5-3",36,1,3,40
"Rutland City",-,"Rutland 5-4",66,0,16,82
"Rutland Town",,,162,1,8,171
Ryegate,,,68,0,11,79
Salisbury,,,15,0,2,17
Sandgate,,,8,0,3,11
Searsburg,,,7,0,0,7
Shaftsbury,,,42,0,7,49
Sharon,,,26,0,5,31
Sheffield,,,16,0,1,17
Shelburne,-,"Chittenden 5-1",119,0,7,126
Shelburne,-,"Chittenden 5-2",86,0,5,91
Sheldon,,,39,0,0,39
Shoreham,,,50,0,8,58
Shrewsbury,,,40,0,5,45
"S. Burlington",-,"Chittenden 7-1",75,0,5,80
"S. Burlington",-,"Chittenden 7-2",78,0,6,84
"S. Burlington",-,"Chittenden 7-3",54,0,2,56
"S. Burlington",-,"Chittenden 7-4",102,0,7,109
"S. Hero",,,59,0,7,66
Springfield,-,"Windsor 3-1",8,0,2,10
Springfield,-,"Windsor 3-2",106,1,5,112
"St. Albans City",,,145,1,15,161
"St. Albans Town",-,"Franklin 3-1",93,0,3,96
"St. Albans Town",-,"Franklin 3-2",162,0,8,170
"St. George",,,6,0,1,7
"St. Johnsbury",,,398,5,64,467
Stamford,,,2,0,1,3
Stannard,,,5,0,0,5
Starksboro,,,26,0,4,30
Stockbridge,,,17,0,0,17
Stowe,,,39,0,0,39
Strafford,,,18,0,3,21
Stratton,,,4,0,2,6
