City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,34,1,2,37
Albany,,,19,0,1,20
Alburgh,,,151,2,28,181
Andover,,,16,0,2,18
Arlington,,,40,1,2,43
Athens,,,13,0,4,17
Bakersfield,,,32,0,0,32
Baltimore,,,3,0,0,3
Barnard,,,24,0,2,26
Barnet,,,43,1,2,46
"Barre City",,,139,4,19,162
"Barre Town",,,64,2,9,75
Barton,,,27,0,2,29
Belvidere,,,9,0,0,9
Bennington,-,"Bennington 2-1",763,7,213,983
Bennington,-,"Bennington 2-2",371,7,74,452
Benson,,,18,0,0,18
Berkshire,,,25,1,3,29
Berlin,,,54,3,8,65
Bethel,,,33,0,0,33
Bloomfield,,,7,0,0,7
Bolton,,,20,0,1,21
Bradford,,,27,0,2,29
Braintree,,,11,0,0,11
Brandon,,,378,0,22,400
Brattleboro,-,"Windham 2-1",263,1,27,291
Brattleboro,-,"Windham 2-2",311,4,28,343
Brattleboro,-,"Windham 2-3",362,2,39,403
Bridgewater,,,15,2,0,17
Bridport,,,14,0,1,15
Brighton,,,34,0,6,40
Bristol,,,49,0,3,52
Brookfield,,,31,0,1,32
Brookline,,,53,0,10,63
Brownington,,,48,0,4,52
Brunswick,,,9,0,1,10
Burke,,,9,0,1,10
Burlington,-,"Chittenden 6-1",456,6,53,515
Burlington,-,"Chittenden 6-2",304,4,36,344
Burlington,-,"Chittenden 6-3",138,4,18,160
Burlington,-,"Chittenden 6-4",153,1,19,173
Burlington,-,"Chittenden 6-5",423,2,34,459
Burlington,-,"Chittenden 6-6",46,0,4,50
Burlington,-,"Chittenden 6-7",5,0,1,6
Cabot,,,30,0,3,33
Calais,,,48,1,4,53
Cambridge,,,62,4,8,74
Canaan,,,7,0,0,7
Castleton,,,44,2,4,50
Cavendish,,,81,3,11,95
Charleston,,,20,0,2,22
Charlotte,,,182,2,36,220
Chelsea,,,29,0,1,30
Chester,,,66,2,4,72
Chittenden,,,27,0,1,28
Clarendon,,,27,0,3,30
Colchester,-,"Chittenden 9-1",87,1,14,102
Colchester,-,"Chittenden 9-2",140,0,17,157
Concord,,,22,0,2,24
Corinth,,,41,0,1,42
Cornwall,,,53,0,2,55
Coventry,,,19,0,1,20
Craftsbury,,,50,3,6,59
Danby,,,50,0,5,55
Danville,,,68,1,6,75
Derby,,,173,3,13,189
Dorset,,,111,1,14,126
Dover,,,40,1,6,47
Dummerston,,,218,0,11,229
Duxbury,,,17,1,5,23
"E. Haven",,,11,0,1,12
"E. Montpelier",,,58,2,7,67
Eden,,,10,2,1,13
Elmore,,,28,0,6,34
Enosburgh,,,67,0,8,75
Essex,-,"Chittenden 8-1",95,1,11,107
Essex,-,"Chittenden 8-2",107,1,13,121
Essex,-,"Chittenden 8-3",33,0,1,34
"Fair Haven",,,37,1,2,40
Fairfax,,,65,2,10,77
Fairfield,,,50,0,0,50
Fairlee,,,21,1,0,22
Fayston,,,24,0,1,25
Ferrisburgh,,,40,0,4,44
Fletcher,,,17,1,1,19
Franklin,,,48,1,6,55
Georgia,,,27,1,1,29
Glover,,,51,0,2,53
Goshen,,,12,0,0,12
Grafton,,,48,0,16,64
Granby,,,3,0,0,3
"Grand Isle",,,200,4,42,246
Granville,,,13,0,0,13
Greensboro,,,53,0,9,62
Groton,,,17,0,0,17
Guildhall,,,7,0,1,8
Guilford,,,142,0,14,156
Halifax,,,26,1,1,28
Hancock,,,10,0,2,12
Hardwick,,,45,0,7,52
Hartford,-,"Windsor 4-1",25,0,1,26
Hartford,-,"Windsor 4-2",108,3,5,116
Hartland,,,71,1,2,74
Highgate,,,44,2,3,49
Hinesburg,-,"Chittenden 4-1",2,0,0,2
Hinesburg,-,"Chittenden 4-2",98,1,14,113
Holland,,,7,0,1,8
Hubbardton,,,4,0,0,4
Huntington,,,76,1,8,85
"Hyde Park",,,68,0,15,83
Ira,,,9,2,1,12
Irasburg,,,13,0,0,13
"Isle La Motte",,,53,1,10,64
Jamaica,,,51,1,7,59
Jay,,,6,0,0,6
Jericho,,,119,0,12,131
Johnson,,,49,0,5,54
Killington,,,14,0,1,15
Kirby,,,1,0,0,1
Landgrove,,,11,0,2,13
Leicester,,,14,0,1,15
Lemington,,,0,1,1,2
Lincoln,,,48,0,1,49
Londonderry,,,32,2,3,37
Lowell,,,21,0,3,24
Ludlow,,,21,0,0,21
Lunenburg,,,13,0,1,14
Lyndon,,,42,0,2,44
Maidstone,,,4,0,0,4
Manchester,,,74,0,10,84
Marlboro,,,140,0,9,149
Marshfield,,,37,3,2,42
Mendon,,,16,0,3,19
Middlebury,,,604,3,66,673
Middlesex,,,50,1,6,57
"Middletown Springs",,,32,0,3,35
Milton,-,"Chittenden 10",85,2,18,105
Milton,-,"Grand Isle-Chittenden",18,0,3,21
Monkton,,,46,0,2,48
Montgomery,,,48,0,3,51
Montpelier,,,347,3,42,392
Moretown,,,23,1,6,30
Morgan,,,13,0,0,13
Morristown,,,121,4,13,138
"Mount Holly",,,31,0,0,31
"Mount Tabor",,,7,0,0,7
"New Haven",,,38,0,0,38
Newark,,,8,1,0,9
Newbury,,,37,0,4,41
Newfane,,,144,1,23,168
"Newport City",,,72,1,3,76
"Newport Town",,,19,2,3,24
"N. Hero",,,108,2,19,129
Northfield,,,45,1,7,53
Norton,,,5,0,3,8
Norwich,,,731,5,78,814
Orange,,,11,0,3,14
Orwell,,,27,1,1,29
Panton,,,14,0,3,17
Pawlet,,,38,0,1,39
Peacham,,,49,0,2,51
Peru,,,25,0,0,25
Pittsfield,,,13,0,3,16
Pittsford,,,34,1,4,39
Plainfield,,,37,1,3,41
Plymouth,,,5,0,3,8
Pomfret,,,37,0,3,40
Poultney,,,41,0,2,43
Pownal,,,117,0,13,130
Proctor,,,26,0,3,29
Putney,,,226,0,22,248
Randolph,,,75,1,5,81
Reading,,,25,0,2,27
Readsboro,,,18,0,0,18
Richford,,,21,0,6,27
Richmond,,,140,0,15,155
Ripton,,,57,0,1,58
Rochester,,,36,2,3,41
Rockingham,,,333,2,60,395
Roxbury,,,15,0,2,17
Royalton,,,23,0,2,25
Rupert,,,30,0,2,32
"Rutland City",-,"Rutland 5-1",81,1,6,88
"Rutland City",-,"Rutland 5-2",52,5,5,62
"Rutland City",-,"Rutland 5-3",33,0,6,39
"Rutland City",-,"Rutland 5-4",46,1,4,51
"Rutland Town",,,66,1,11,78
