City/Town,Ward,Pct,"Mark Donka","Donald Russell","Donald W. Nolte",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Addison,,,41,19,5,3,12,80
Albany,,,5,4,32,1,11,53
Alburgh,,,13,28,27,13,19,100
Andover,,,12,3,2,0,1,18
Arlington,,,7,16,13,1,10,47
Athens,,,5,4,1,0,3,13
Bakersfield,,,8,7,8,0,4,27
Baltimore,,,3,3,0,0,0,6
Barnard,,,27,1,2,2,10,42
Barnet,,,33,27,74,4,52,190
"Barre City",,,67,67,57,2,64,257
"Barre Town",,,90,78,46,17,73,304
Barton,,,10,10,63,9,29,121
Belvidere,,,3,2,2,0,4,11
Bennington,-,"Bennington 2-1",13,29,22,2,30,96
Bennington,-,"Bennington 2-2",29,25,23,5,30,112
Benson,,,4,8,3,1,8,24
Berkshire,,,8,7,11,3,7,36
Berlin,,,21,22,15,4,27,89
Bethel,,,19,5,4,2,8,38
Bloomfield,,,0,2,14,1,4,21
Bolton,,,10,9,6,0,3,28
Bradford,,,22,5,4,2,6,39
Braintree,,,9,11,5,1,9,35
Brandon,,,62,133,54,7,136,392
Brattleboro,-,"Windham 2-1",8,5,6,1,6,26
Brattleboro,-,"Windham 2-2",9,4,6,2,6,27
Brattleboro,-,"Windham 2-3",3,5,4,2,4,18
Bridgewater,,,12,1,1,0,4,18
Bridport,,,25,11,2,7,4,49
Brighton,,,11,11,121,3,55,201
Bristol,,,24,18,9,2,12,65
Brookfield,,,16,11,3,1,4,35
Brookline,,,2,1,2,0,1,6
Brownington,,,11,9,68,2,30,120
Brunswick,,,1,0,5,1,4,11
Burke,,,5,4,24,0,9,42
Burlington,-,"Chittenden 6-1",51,128,31,10,92,312
Burlington,-,"Chittenden 6-2",14,65,7,0,34,120
Burlington,-,"Chittenden 6-3",15,6,7,1,6,35
Burlington,-,"Chittenden 6-4",10,16,5,0,4,35
Burlington,-,"Chittenden 6-5",23,46,6,4,24,103
Burlington,-,"Chittenden 6-6",3,5,1,0,4,13
Burlington,-,"Chittenden 6-7",0,0,1,0,0,1
Cabot,,,3,6,7,0,9,25
Calais,,,13,3,5,1,13,35
Cambridge,,,19,14,14,11,19,77
Canaan,,,9,5,36,4,19,73
Castleton,,,59,45,30,1,40,175
Cavendish,,,58,6,4,3,8,79
Charleston,,,4,3,36,0,7,50
Charlotte,,,9,35,7,0,18,69
Chelsea,,,20,5,12,3,16,56
Chester,,,42,6,7,1,6,62
Chittenden,,,17,16,6,1,5,45
Clarendon,,,14,17,8,2,8,49
Colchester,-,"Chittenden 9-1",50,51,13,3,30,147
Colchester,-,"Chittenden 9-2",57,101,27,3,72,260
Concord,,,13,5,22,8,16,64
Corinth,,,9,4,5,1,9,28
Cornwall,,,12,14,2,2,9,39
Coventry,,,3,7,47,11,25,93
Craftsbury,,,2,1,18,0,6,27
Danby,,,12,13,13,3,10,51
Danville,,,15,8,38,2,42,105
Derby,,,23,22,251,38,82,416
Dorset,,,9,22,5,5,27,68
Dover,,,9,5,8,0,1,23
Dummerston,,,8,8,7,0,2,25
Duxbury,,,10,6,5,3,21,45
"E. Haven",,,2,4,9,0,7,22
"E. Montpelier",,,16,21,12,4,22,75
Eden,,,9,1,10,3,7,30
Elmore,,,5,6,9,2,7,29
Enosburgh,,,13,16,21,10,0,60
Essex,-,"Chittenden 8-1",63,44,16,2,53,178
Essex,-,"Chittenden 8-2",125,39,10,7,36,217
Essex,-,"Chittenden 8-3",21,12,9,0,10,52
"Fair Haven",,,33,29,18,6,39,125
Fairfax,,,39,38,23,5,53,158
Fairfield,,,7,7,9,4,14,41
Fairlee,,,16,1,4,0,2,23
Fayston,,,1,10,4,0,5,20
Ferrisburgh,,,30,19,10,0,25,84
Fletcher,,,5,9,3,1,1,19
Franklin,,,11,6,10,6,20,53
Georgia,,,33,37,29,2,18,119
Glover,,,3,4,26,1,12,46
Goshen,,,3,6,2,0,4,15
Grafton,,,11,2,2,0,1,16
Granby,,,3,2,4,0,6,15
"Grand Isle",,,20,47,14,11,18,110
Granville,,,0,5,2,0,1,8
Greensboro,,,4,2,10,1,3,20
Groton,,,12,11,20,1,20,64
Guildhall,,,5,8,16,7,11,47
Guilford,,,8,11,6,0,5,30
Halifax,,,10,7,5,0,5,27
Hancock,,,0,1,2,0,2,5
Hardwick,,,8,4,15,2,12,41
Hartford,-,"Windsor 4-1",20,5,1,1,4,31
Hartford,-,"Windsor 4-2",73,4,4,2,5,88
Hartland,,,32,5,6,0,9,52
Highgate,,,16,29,21,13,8,87
Hinesburg,-,"Chittenden 4-1",0,0,0,0,0,0
Hinesburg,-,"Chittenden 4-2",12,27,5,2,22,68
Holland,,,4,0,23,2,8,37
Hubbardton,,,7,8,5,1,6,27
Huntington,,,4,13,5,0,8,30
"Hyde Park",,,18,15,22,2,18,75
Ira,,,4,2,1,0,2,9
Irasburg,,,7,3,28,5,18,61
"Isle La Motte",,,7,11,3,1,3,25
Jamaica,,,0,1,4,0,1,6
Jay,,,0,3,15,3,4,25
Jericho,,,38,48,22,1,32,141
Johnson,,,12,3,14,4,6,39
Killington,,,17,7,0,1,8,33
Kirby,,,5,1,8,0,3,17
Landgrove,,,3,1,0,1,4,9
Leicester,,,3,6,4,0,13,26
Lemington,,,1,0,12,0,1,14
Lincoln,,,11,14,5,0,15,45
Londonderry,,,7,5,5,1,7,25
Lowell,,,2,4,21,6,3,36
Ludlow,,,23,5,4,3,8,43
Lunenburg,,,19,8,48,14,21,110
Lyndon,,,25,11,66,4,26,132
Maidstone,,,1,2,15,5,3,26
Manchester,,,20,51,16,7,46,140
Marlboro,,,0,0,5,0,3,8
Marshfield,,,7,6,7,1,9,30
Mendon,,,17,16,8,1,8,50
Middlebury,,,17,39,9,4,32,101
Middlesex,,,13,12,5,4,9,43
"Middletown Springs",,,22,12,3,2,12,51
Milton,-,"Chittenden 10",61,92,44,5,73,275
Milton,-,"Grand Isle-Chittenden",11,21,18,0,9,59
Monkton,,,9,20,14,1,14,58
Montgomery,,,4,5,14,2,10,35
Montpelier,,,25,30,18,7,77,157
Moretown,,,13,11,9,0,11,44
Morgan,,,3,5,58,4,15,85
Morristown,,,22,14,34,10,25,105
"Mount Holly",,,20,5,6,0,9,40
"Mount Tabor",,,6,1,1,1,3,12
"New Haven",,,17,14,7,3,10,51
Newark,,,8,6,20,2,29,65
Newbury,,,22,8,11,2,9,52
Newfane,,,8,3,7,1,4,23
"Newport City",,,25,24,207,26,65,347
"Newport Town",,,5,1,61,3,22,92
"N. Hero",,,9,21,10,3,26,69
Northfield,,,28,25,19,3,40,115
Norton,,,6,1,9,3,12,31
Norwich,,,16,4,0,0,6,26
Orange,,,18,8,8,4,10,48
Orwell,,,10,14,11,4,11,50
Panton,,,3,14,4,1,3,25
Pawlet,,,29,32,16,1,57,135
Peacham,,,5,7,6,1,10,29
Peru,,,2,2,3,1,5,13
Pittsfield,,,9,3,0,0,3,15
Pittsford,,,17,24,14,4,20,79
Plainfield,,,3,4,0,1,12,20
Plymouth,,,17,0,1,3,0,21
Pomfret,,,19,2,1,1,10,33
Poultney,,,26,16,13,0,11,66
