City/Town,Ward,Pct,"Jim Condos",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,29,0,8,37
Albany,,,18,0,2,20
Alburgh,,,127,7,47,181
Andover,,,13,1,4,18
Arlington,,,36,1,6,43
Athens,,,9,0,8,17
Bakersfield,,,28,0,4,32
Baltimore,,,2,0,1,3
Barnard,,,21,0,5,26
Barnet,,,40,0,6,46
"Barre City",,,128,1,33,162
"Barre Town",,,61,1,13,75
Barton,,,24,0,5,29
Belvidere,,,7,0,2,9
Bennington,-,"Bennington 2-1",631,4,348,983
Bennington,-,"Bennington 2-2",308,4,140,452
Benson,,,14,0,4,18
Berkshire,,,23,0,6,29
Berlin,,,52,4,9,65
Bethel,,,27,0,6,33
Bloomfield,,,7,0,0,7
Bolton,,,20,0,2,22
Bradford,,,25,0,4,29
Braintree,,,11,0,0,11
Brandon,,,300,3,97,400
Brattleboro,-,"Windham 2-1",208,1,82,291
Brattleboro,-,"Windham 2-2",246,2,96,344
Brattleboro,-,"Windham 2-3",298,4,101,403
Bridgewater,,,12,2,3,17
Bridport,,,12,0,3,15
Brighton,,,24,0,16,40
Bristol,,,44,0,8,52
Brookfield,,,29,0,3,32
Brookline,,,47,0,16,63
Brownington,,,37,0,15,52
Brunswick,,,9,0,1,10
Burke,,,9,0,1,10
Burlington,-,"Chittenden 6-1",409,4,102,515
Burlington,-,"Chittenden 6-2",276,1,67,344
Burlington,-,"Chittenden 6-3",118,8,34,160
Burlington,-,"Chittenden 6-4",137,4,32,173
Burlington,-,"Chittenden 6-5",367,5,88,460
Burlington,-,"Chittenden 6-6",43,0,7,50
Burlington,-,"Chittenden 6-7",3,0,3,6
Cabot,,,24,0,9,33
Calais,,,43,2,8,53
Cambridge,,,53,3,18,74
Canaan,,,7,0,0,7
Castleton,,,39,0,11,50
Cavendish,,,67,0,28,95
Charleston,,,15,2,5,22
Charlotte,,,158,0,62,220
Chelsea,,,23,1,6,30
Chester,,,62,0,10,72
Chittenden,,,23,0,5,28
Clarendon,,,24,2,4,30
Colchester,-,"Chittenden 9-1",82,1,19,102
Colchester,-,"Chittenden 9-2",128,0,30,158
Concord,,,20,0,4,24
Corinth,,,33,1,8,42
Cornwall,,,44,0,11,55
Coventry,,,16,0,4,20
Craftsbury,,,42,4,13,59
Danby,,,46,0,9,55
Danville,,,60,0,15,75
Derby,,,150,2,37,189
Dorset,,,93,0,33,126
Dover,,,35,0,12,47
Dummerston,,,168,6,55,229
Duxbury,,,13,0,10,23
"E. Haven",,,10,0,2,12
"E. Montpelier",,,50,1,16,67
Eden,,,10,0,3,13
Elmore,,,29,0,5,34
Enosburgh,,,57,1,17,75
Essex,-,"Chittenden 8-1",93,1,13,107
Essex,-,"Chittenden 8-2",98,0,23,121
Essex,-,"Chittenden 8-3",27,0,7,34
"Fair Haven",,,31,0,9,40
Fairfax,,,64,1,12,77
Fairfield,,,43,0,7,50
Fairlee,,,17,1,4,22
Fayston,,,21,1,3,25
Ferrisburgh,,,37,0,7,44
Fletcher,,,14,0,5,19
Franklin,,,45,1,9,55
Georgia,,,22,1,6,29
Glover,,,42,1,10,53
Goshen,,,10,0,2,12
Grafton,,,38,0,26,64
Granby,,,3,0,0,3
"Grand Isle",,,188,5,53,246
Granville,,,11,0,2,13
Greensboro,,,45,1,16,62
Groton,,,15,0,2,17
Guildhall,,,7,0,1,8
Guilford,,,115,1,39,155
Halifax,,,17,0,11,28
Hancock,,,12,0,0,12
Hardwick,,,42,3,7,52
Hartford,-,"Windsor 4-1",20,0,6,26
Hartford,-,"Windsor 4-2",93,1,22,116
Hartland,,,65,2,7,74
Highgate,,,38,3,8,49
Hinesburg,-,"Chittenden 4-1",2,0,0,2
Hinesburg,-,"Chittenden 4-2",87,1,25,113
Holland,,,6,0,2,8
Hubbardton,,,2,0,2,4
Huntington,,,63,1,21,85
"Hyde Park",,,55,1,27,83
Ira,,,11,1,0,12
Irasburg,,,10,1,2,13
"Isle La Motte",,,45,1,18,64
Jamaica,,,40,1,18,59
Jay,,,4,0,2,6
Jericho,,,110,3,18,131
Johnson,,,47,0,7,54
Killington,,,12,0,3,15
Kirby,,,1,0,0,1
Landgrove,,,10,0,3,13
Leicester,,,13,0,2,15
Lemington,,,2,0,0,2
Lincoln,,,43,0,6,49
Londonderry,,,25,3,9,37
Lowell,,,19,0,5,24
Ludlow,,,18,0,3,21
Lunenburg,,,12,1,1,14
Lyndon,,,41,0,3,44
Maidstone,,,4,0,0,4
Manchester,,,66,2,16,84
Marlboro,,,110,1,39,150
Marshfield,,,34,1,7,42
Mendon,,,13,0,6,19
Middlebury,,,517,4,153,674
Middlesex,,,46,3,9,58
"Middletown Springs",,,30,0,5,35
Milton,-,"Chittenden 10",88,0,17,105
Milton,-,"Grand Isle-Chittenden",18,0,3,21
Monkton,,,39,0,9,48
Montgomery,,,39,1,11,51
Montpelier,,,316,6,70,392
Moretown,,,16,2,12,30
Morgan,,,11,0,2,13
Morristown,,,103,1,34,138
"Mount Holly",,,26,0,5,31
"Mount Tabor",,,6,0,1,7
"New Haven",,,37,0,1,38
Newark,,,7,0,2,9
Newbury,,,30,1,10,41
Newfane,,,119,1,48,168
"Newport City",,,60,1,15,76
"Newport Town",,,18,0,6,24
"N. Hero",,,97,0,32,129
Northfield,,,37,1,15,53
Norton,,,4,0,4,8
Norwich,,,562,1,251,814
Orange,,,9,0,5,14
Orwell,,,25,0,4,29
Panton,,,13,0,4,17
Pawlet,,,32,0,7,39
Peacham,,,37,0,14,51
Peru,,,18,1,6,25
Pittsfield,,,12,1,3,16
Pittsford,,,32,0,0,32
Plainfield,,,33,3,5,41
Plymouth,,,5,0,0,5
Pomfret,,,33,0,7,40
Poultney,,,34,1,8,43
Pownal,,,105,0,25,130
Proctor,,,23,0,6,29
Putney,,,188,1,59,248
Randolph,,,71,1,9,81
Reading,,,19,0,8,27
Readsboro,,,16,0,2,18
Richford,,,21,1,5,27
Richmond,,,126,0,29,155
Ripton,,,47,1,10,58
Rochester,,,31,4,6,41
Rockingham,,,294,1,100,395
Roxbury,,,14,1,2,17
Royalton,,,20,0,5,25
Rupert,,,28,0,4,32
"Rutland City",-,"Rutland 5-1",65,0,23,88
"Rutland City",-,"Rutland 5-2",40,3,19,62
"Rutland City",-,"Rutland 5-3",30,0,9,39
"Rutland City",-,"Rutland 5-4",39,0,12,51
"Rutland Town",,,58,0,20,78
Ryegate,,,22,0,1,23
Salisbury,,,20,0,3,23
Sandgate,,,19,0,2,21
Searsburg,,,2,0,0,2
Shaftsbury,,,55,0,19,74
Sharon,,,92,0,28,120
Sheffield,,,8,0,4,12
Shelburne,-,"Chittenden 5-1",233,1,22,256
Shelburne,-,"Chittenden 5-2",81,3,18,102
Sheldon,,,14,0,5,19
Shoreham,,,61,0,21,82
Shrewsbury,,,43,1,5,49
"S. Burlington",-,"Chittenden 7-1",131,2,35,168
"S. Burlington",-,"Chittenden 7-2",111,4,14,129
"S. Burlington",-,"Chittenden 7-3",102,3,23,128
"S. Burlington",-,"Chittenden 7-4",127,2,33,162
"S. Hero",,,196,1,52,249
Springfield,-,"Windsor 3-1",2,0,0,2
Springfield,-,"Windsor 3-2",91,0,28,119
"St. Albans City",,,150,3,18,171
"St. Albans Town",-,"Franklin 3-1",39,0,1,40
"St. Albans Town",-,"Franklin 3-2",86,0,24,110
"St. George",,,6,0,0,6
"St. Johnsbury",,,81,2,15,98
Stamford,,,11,0,7,18
Stannard,,,19,0,8,27
Starksboro,,,33,0,5,38
Stockbridge,,,5,0,3,8
Stowe,,,59,0,28,87
Strafford,,,163,2,56,221
Stratton,,,4,0,3,7
Sudbury,,,6,0,2,8
Sunderland,-,"Bennington 3",5,0,2,7
Sunderland,-,"Bennington 4",5,0,1,6
Sutton,,,7,0,0,7
Swanton,,,62,2,12,76
Thetford,,,415,2,185,602
Tinmouth,-,"Rutland 2",4,0,0,4
Tinmouth,-,Rutland-Bennington,16,0,0,16
Topsham,,,6,0,0,6
Townshend,,,76,0,49,125
Troy,-,"Orleans 2",2,0,0,2
Troy,-,Orleans-Lamoille,12,0,5,17
Tunbridge,,,29,0,5,34
Underhill,,,73,0,19,92
Vergennes,,,34,0,5,39
Vernon,,,49,0,20,69
Vershire,,,20,3,4,27
Victory,,,1,0,0,1
Waitsfield,,,85,0,26,111
Walden,,,16,0,6,22
Wallingford,,,39,0,8,47
Waltham,,,7,0,1,8
Wardsboro,,,24,2,8,34
Warren,,,34,1,6,41
Washington,,,17,0,3,20
Waterbury,,,58,0,19,77
Waterford,,,9,0,5,14
Waterville,,,13,1,5,19
Weathersfield,,,269,3,71,343
Wells,,,20,0,4,24
"W. Fairlee",,,10,1,3,14
"W. Haven",,,14,0,3,17
"W. Rutland",,,15,0,5,20
"W. Windsor",,,22,0,4,26
Westfield,,,16,2,2,20
Westford,,,38,0,16,54
Westminster,-,"Windham 3",6,0,2,8
Westminster,-,"Windham 4",225,4,84,313
Westmore,,,3,0,3,6
Weston,,,20,0,3,23
Weybridge,,,35,1,4,40
Wheelock,,,14,0,0,14
Whiting,,,14,0,2,16
Whitingham,-,"Windham 6",29,2,9,40
Whitingham,-,Windham-Bennington,1,0,0,1
Williamstown,,,37,1,10,48
Williston,,,140,2,24,166
Wilmington,,,24,1,12,37
Windham,,,34,0,26,60
Windsor,,,44,0,6,50
Winhall,,,5,0,4,9
Winooski,,,335,4,130,469
Wolcott,,,48,0,11,59
Woodbury,,,24,0,0,24
Woodford,,,11,3,1,15
Woodstock,,,77,1,15,93
Worcester,,,43,2,3,48
TOTALS,,,"16,598",227,"4,934","21,759"
