City/Town,Ward,Pct,"Claire Ayer","Christopher A. Bray",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,-,"Addison 3",32,28,0,15,0
Bridport,-,"Addison 5",12,12,1,5,0
Bristol,-,"Addison 4",48,41,0,15,0
Cornwall,-,"Addison 2",48,43,0,19,0
Ferrisburgh,-,"Addison 3",30,33,2,23,0
Goshen,-,"Addison 2",12,5,0,7,0
Granville,-,Orange-Washington-Addison,11,5,0,10,0
Hancock,-,"Addison 2",11,8,0,5,0
Huntington,-,Washington-Chittenden,70,62,2,36,0
Leicester,-,"Addison 2",13,13,0,4,0
Lincoln,-,"Addison 4",45,41,0,12,0
Middlebury,-,"Addison 1",576,481,3,288,0
Monkton,-,"Addison 4",46,46,0,4,0
"New Haven",-,"Addison 5",36,36,0,4,0
Orwell,-,Addison-Rutland,24,20,1,13,0
Panton,-,"Addison 3",15,13,0,6,0
Ripton,-,"Addison 2",55,41,0,20,0
Salisbury,-,"Addison 2",19,19,0,8,0
Shoreham,-,Addison-Rutland,66,52,0,46,0
Starksboro,-,"Addison 4",32,32,1,11,0
Vergennes,-,"Addison 3",35,32,0,11,0
Waltham,-,"Addison 3",7,7,0,2,0
Weybridge,-,"Addison 5",38,36,1,5,0
Whiting,-,Addison-Rutland,15,8,0,9,0
TOTALS,,,"1,296","1,114",11,578,"2,999"
