City/Town,Ward,Pct,"Dick Sears","Brian Campion",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,-,"Bennington 4",39,34,1,12,0
Bennington,-,"Bennington 2-1",747,624,8,587,"1,966"
Bennington,-,"Bennington 2-2",354,337,5,208,904
Dorset,-,Bennington-Rutland,96,73,1,82,0
Landgrove,-,Bennington-Rutland,10,7,0,9,0
Manchester,-,"Bennington 4",73,51,2,42,0
Peru,-,Bennington-Rutland,18,16,0,16,0
Pownal,-,"Bennington 1",104,75,0,81,0
Readsboro,-,Windham-Bennington,14,9,1,12,0
Rupert,-,Rutland-Bennington,29,20,0,15,0
Sandgate,-,"Bennington 4",17,16,0,9,0
Searsburg,-,Windham-Bennington,1,2,0,1,0
Shaftsbury,-,"Bennington 3",59,53,2,34,0
Stamford,-,Windham-Bennington,15,11,0,10,0
Sunderland,-,"Bennington 3",4,6,0,4,14
Sunderland,-,"Bennington 4",5,4,0,3,12
Wilmington,-,"Windham 6",34,15,0,25,0
Winhall,-,Windham-Bennington-Windsor,5,4,0,9,0
Woodford,-,"Bennington 1",13,11,1,5,0
TOTALS,,,"1,637","1,368",21,"1,164","4,190"
