City/Town,Ward,Pct,"Jane Kitchel","Mike Heath",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Barnet,-,"Caledonia 1",38,26,2,26,0
Bradford,-,"Orange 2",26,15,1,16,0
Burke,-,"Caledonia 4",8,5,0,7,0
Danville,-,Caledonia-Washington,68,29,1,52,0
Fairlee,-,"Orange 2",20,15,0,9,0
Groton,-,Orange-Caledonia,14,8,0,12,0
Hardwick,-,"Caledonia 2",43,32,0,29,0
Kirby,-,Essex-Caledonia,1,0,0,1,0
Lyndon,-,"Caledonia 4",40,21,3,24,0
Newark,-,Essex-Caledonia-Orleans,9,3,2,4,0
Newbury,-,Orange-Caledonia,32,20,0,30,0
Orange,-,"Orange 1",2,10,0,16,0
Peacham,-,Caledonia-Washington,43,23,0,36,0
Ryegate,-,"Caledonia 1",18,15,1,12,0
Sheffield,-,Orleans-Caledonia,8,4,1,11,0
"St. Johnsbury",-,"Caledonia 3",35,51,15,49,0
Stannard,-,"Caledonia 2",18,11,1,24,0
Sutton,-,"Caledonia 4",7,3,1,3,0
Topsham,-,Orange-Caledonia,5,4,0,3,0
Walden,-,"Caledonia 2",16,8,2,18,0
Waterford,-,"Caledonia 1",12,4,1,11,0
"W. Fairlee",-,"Orange 2",12,5,0,11,0
Wheelock,-,Orleans-Caledonia,13,10,2,3,0
TOTALS,,,488,322,33,407,"1,250"
