City/Town,Ward,Pct,"John S. Rodgers","Robert A. Starr",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Albany,-,Orleans-Caledonia,16,15,0,9,0
Barton,-,Orleans-Caledonia,29,18,0,11,0
Bloomfield,-,Essex-Caledonia-Orleans,4,4,1,5,0
Brighton,-,Essex-Caledonia-Orleans,20,18,0,42,0
Brownington,-,"Orleans 1",39,28,1,36,0
Brunswick,-,Essex-Caledonia,8,4,1,7,0
Canaan,-,Essex-Caledonia-Orleans,3,4,0,7,0
Charleston,-,"Orleans 1",13,14,0,17,0
Concord,-,Essex-Caledonia,17,17,0,14,0
Coventry,-,"Orleans 2",17,14,0,9,0
Craftsbury,-,Orleans-Caledonia,52,45,1,19,0
Derby,-,"Orleans 1",141,153,6,76,0
"E. Haven",-,Essex-Caledonia-Orleans,9,5,0,10,0
Glover,-,Orleans-Caledonia,51,41,0,14,0
Granby,-,Essex-Caledonia,2,3,0,1,0
Greensboro,-,Orleans-Caledonia,55,35,1,33,0
Guildhall,-,Essex-Caledonia,5,5,0,6,0
Holland,-,"Orleans 1",4,6,0,6,0
Irasburg,-,"Orleans 2",12,12,0,2,0
Jay,-,Orleans-Lamoille,2,4,0,6,0
Lemington,-,Essex-Caledonia-Orleans,1,1,0,2,0
Lowell,-,Orleans-Lamoille,15,19,1,13,0
Lunenburg,-,Essex-Caledonia,13,7,1,7,0
Maidstone,-,Essex-Caledonia,4,2,0,2,0
Montgomery,-,"Franklin 7",25,37,0,40,0
Morgan,-,"Orleans 1",13,11,0,2,0
"Newport City",-,"Orleans 2",54,60,2,36,0
"Newport Town",-,"Orleans 2",12,18,3,15,0
Norton,-,Essex-Caledonia-Orleans,3,3,1,9,0
Richford,-,"Franklin 5",17,19,1,17,0
Troy,-,"Orleans 2",1,2,0,1,4
Troy,-,Orleans-Lamoille,10,14,0,9,33
Victory,-,Essex-Caledonia,0,1,0,1,0
Westfield,-,Orleans-Lamoille,15,17,1,7,0
Westmore,-,Essex-Caledonia-Orleans,6,3,0,3,0
Wolcott,-,"Lamoille 2",40,33,0,45,0
TOTALS,,,728,692,21,539,"1,980"
