City/Town,Ward,Pct,"Sara Branon Kittell","William Alan Roberts",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,-,"Grand Isle-Chittenden",116,93,10,143,0
Bakersfield,-,"Franklin 6",23,17,1,23,0
Berkshire,-,"Franklin 5",19,15,2,22,0
Enosburgh,-,"Franklin 7",48,36,13,53,0
Fairfax,-,"Franklin 2",57,36,3,58,0
Fairfield,-,"Franklin 6",38,19,10,33,0
Fletcher,-,"Franklin 6",16,12,0,10,0
Franklin,-,"Franklin 5",38,25,10,37,0
Georgia,-,"Franklin 1",20,23,2,13,0
Highgate,-,"Franklin 5",31,27,12,28,0
Sheldon,-,"Franklin 4",13,10,8,9,0
"St. Albans City",-,"Franklin 3-1",123,118,33,68,0
"St. Albans Town",-,"Franklin 3-1",25,30,1,24,80
"St. Albans Town",-,"Franklin 3-2",73,61,18,68,220
Swanton,-,"Franklin 4",53,44,14,41,0
TOTALS,,,693,566,137,630,"2,026"
