City/Town,Ward,Pct,"Mark A. Macdonald",Write-Ins,Blanks,"Total Votes Cast"
,,,
Braintree,-,Orange-Washington-Addison,11,0,0,0
Brookfield,-,Orange-Washington-Addison,25,3,4,0
Chelsea,-,"Orange 1",28,1,1,0
Corinth,-,"Orange 1",39,1,2,0
Randolph,-,Orange-Washington-Addison,74,2,5,0
Strafford,-,"Windsor-Orange 2",177,5,38,0
Thetford,-,"Windsor-Orange 2",482,7,110,0
Tunbridge,-,"Windsor-Orange 1",31,1,2,0
Vershire,-,"Orange 1",23,1,3,0
Washington,-,"Orange 1",15,0,5,0
Williamstown,-,"Orange 1",34,8,4,0
TOTALS,,,939,29,174,"1,142"
