City/Town,Ward,Pct,"William Tracy Carris","Eldred French","Anissa Delauri",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Benson,-,Addison-Rutland,14,11,10,2,17,0
Brandon,-,"Rutland 6",236,165,184,18,596,0
Castleton,-,"Rutland 3",37,29,28,1,55,0
Chittenden,-,"Rutland-Windsor 1",21,21,17,0,25,0
Clarendon,-,"Rutland 2",20,22,16,7,25,0
Danby,-,Bennington-Rutland,35,30,29,5,66,0
"Fair Haven",-,"Rutland 3",26,16,21,3,54,0
Hubbardton,-,"Rutland 3",3,2,1,0,6,0
Ira,-,"Rutland 1",7,8,5,3,13,0
Killington,-,"Rutland-Windsor 1",9,6,6,0,24,0
Mendon,-,"Rutland-Windsor 1",11,11,11,0,24,0
"Middletown Springs",-,Rutland-Bennington,26,23,18,1,37,0
"Mount Tabor",-,Bennington-Rutland,7,6,6,0,2,0
Pawlet,-,Rutland-Bennington,25,17,16,0,59,0
Pittsfield,-,Windsor-Rutland,12,9,10,1,16,0
Pittsford,-,"Rutland 6",31,22,24,9,31,0
Poultney,-,"Rutland 1",39,21,16,0,53,0
Proctor,-,"Rutland 2",20,15,17,2,32,0
"Rutland City",-,"Rutland 5-1",60,47,45,13,99,264
"Rutland City",-,"Rutland 5-2",34,31,35,21,65,186
"Rutland City",-,"Rutland 5-3",22,15,20,7,53,117
"Rutland City",-,"Rutland 5-4",40,31,32,7,43,153
"Rutland Town",-,"Rutland 4",45,42,36,7,104,0
Shrewsbury,-,"Rutland-Windsor 2",31,39,29,0,48,0
Sudbury,-,"Rutland 6",7,6,4,0,7,0
Tinmouth,-,"Rutland 2",3,4,3,0,2,12
Tinmouth,-,Rutland-Bennington,6,15,7,1,19,48
Wallingford,-,"Rutland 2",27,34,23,12,43,0
Wells,-,Rutland-Bennington,18,12,13,0,29,0
"W. Haven",-,"Rutland 3",10,9,9,0,23,0
"W. Rutland",-,"Rutland 2",14,13,13,1,19,0
TOTALS,,,896,732,704,121,"1,689","4,142"
