City/Town,Ward,Pct,"Anthony Pollina","Ann Cummings","Sandra Gaffney",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"Barre City",-,"Washington 3",113,116,93,11,153,0
"Barre Town",-,"Washington 2",46,53,37,19,70,0
Berlin,-,"Washington 1",49,52,38,8,48,0
Cabot,-,Caledonia-Washington,17,21,12,1,48,0
Calais,-,"Washington 6",45,39,31,4,40,0
Duxbury,-,"Washington 7",17,19,11,1,21,0
"E. Montpelier",-,"Washington 5",60,54,42,2,43,0
Fayston,-,"Washington 7",22,21,14,1,17,0
Marshfield,-,"Washington 6",34,31,24,3,34,0
Middlesex,-,"Washington 5",41,45,29,15,44,0
Montpelier,-,"Washington 4",315,296,228,28,309,0
Moretown,-,"Washington 7",18,18,11,2,41,0
Northfield,-,"Washington 1",35,34,26,2,62,0
Plainfield,-,"Washington 6",39,33,27,3,21,0
Roxbury,-,Orange-Washington-Addison,10,11,8,0,22,0
Waitsfield,-,"Washington 7",73,79,44,4,133,0
Warren,-,"Washington 7",28,33,22,1,39,0
Waterbury,-,Washington-Chittenden,63,64,46,2,56,0
Woodbury,-,Lamoille-Washington,22,21,20,0,9,0
Worcester,-,Lamoille-Washington,41,37,33,4,29,0
TOTALS,,,"1,088","1,077",796,111,"1,239","4,311"
