City/Town,Ward,Pct,"Jeanette White","Becca Balint","Roger Allbee","Joan Bowman",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,
Athens,-,"Windham 3",9,4,10,2,0,9,0
Brattleboro,-,"Windham 2-1",217,191,74,32,1,67,582
Brattleboro,-,"Windham 2-2",238,238,87,43,3,79,688
Brattleboro,-,"Windham 2-3",296,270,107,53,0,78,804
Brookline,-,"Windham 3",35,20,45,3,0,23,0
Dover,-,Windham-Bennington,27,22,15,5,0,25,0
Dummerston,-,"Windham 4",180,155,62,18,1,41,0
Grafton,-,"Windham 3",22,14,45,8,0,39,0
Guilford,-,"Windham 1",113,119,37,11,1,31,0
Halifax,-,"Windham 6",18,8,14,5,0,11,0
Jamaica,-,Windham-Bennington-Windsor,35,13,43,5,0,22,0
Marlboro,-,"Windham 5",115,114,30,4,1,36,0
Newfane,-,"Windham 5",98,53,99,28,0,58,0
Putney,-,"Windham 4",211,130,63,53,0,39,0
Rockingham,-,"Windham 3",258,128,159,68,1,176,0
Stratton,-,Windham-Bennington-Windsor,6,1,6,0,0,1,0
Townshend,-,"Windham 5",56,28,100,12,1,53,0
Vernon,-,"Windham 1",30,27,36,9,1,33,0
Wardsboro,-,Windham-Bennington,17,10,24,4,0,13,0
Westminster,-,"Windham 3",7,4,3,0,0,0,14
Westminster,-,"Windham 4",230,113,117,60,1,105,626
Whitingham,-,"Windham 6",26,15,19,7,0,13,80
Whitingham,-,Windham-Bennington,1,0,0,1,0,0,2
Windham,-,"Windham 3",15,7,45,15,0,38,0
TOTALS,,,"2,260","1,684","1,240",446,11,990,"6,631"
