City/Town,Ward,Pct,"Richard McCormack","John Campbell","Alice W. Nitka",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Andover,-,"Windsor 3-1",9,11,14,0,20,0
Baltimore,-,"Windsor 3-1",2,2,2,0,3,0
Barnard,-,"Windsor 4-1",16,15,14,0,33,0
Bethel,-,Windsor-Rutland,29,25,23,0,22,0
Bridgewater,-,"Rutland-Windsor 1",13,13,13,1,11,0
Cavendish,-,"Windsor 2",64,61,79,2,79,0
Chester,-,"Windsor 3-1",56,54,58,0,48,0
Hartford,-,"Windsor 4-1",22,21,21,0,14,78
Hartford,-,"Windsor 4-2",89,102,86,1,70,348
Hartland,-,"Windsor 1",63,61,62,0,36,0
Londonderry,-,Windham-Bennington-Windsor,23,20,27,0,41,0
Ludlow,-,"Rutland-Windsor 2",18,17,19,0,9,0
"Mount Holly",-,"Rutland-Windsor 2",22,25,28,2,16,0
Norwich,-,"Windsor-Orange 2",558,568,521,3,791,0
Plymouth,-,"Windsor 5",4,4,5,0,2,0
Pomfret,-,"Windsor 4-1",35,31,33,2,19,0
Reading,-,"Windsor 5",17,18,17,0,29,0
Rochester,-,Windsor-Rutland,32,27,26,0,38,0
Royalton,-,"Windsor-Orange 1",18,17,14,0,26,0
Sharon,-,"Windsor-Orange 2",94,99,88,1,78,0
Springfield,-,"Windsor 3-1",1,1,2,0,2,6
Springfield,-,"Windsor 3-2",86,86,94,0,88,354
Stockbridge,-,Windsor-Rutland,5,4,4,0,11,0
Weathersfield,-,"Windsor 2",226,224,234,1,344,0
"W. Windsor",-,"Windsor 1",22,24,20,0,12,0
Weston,-,Windham-Bennington-Windsor,16,15,22,0,16,0
Windsor,-,"Windsor 1",48,43,45,0,14,0
Woodstock,-,"Windsor 5",73,66,73,0,67,0
TOTALS,,,"1,661","1,654","1,644",13,"1,939","6,911"
