City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Brandon,-,"Rutland 6",-,0,9,0
Danby,-,Bennington-Rutland,-,0,3,0
"Fair Haven",-,"Rutland 3",-,0,3,0
"Middletown Springs",-,Rutland-Bennington,-,0,3,0
Pawlet,-,Rutland-Bennington,-,0,3,0
"Rutland City",-,"Rutland 5-1",-,0,3,3
"Rutland City",-,"Rutland 5-2",-,0,3,3
"Rutland City",-,"Rutland 5-3",-,0,0,0
"Rutland City",-,"Rutland 5-4",-,0,3,3
Tinmouth,-,"Rutland 2",-,0,0,0
Tinmouth,-,Rutland-Bennington,-,1,2,3
Wallingford,-,"Rutland 2",-,3,3,0
Wells,-,Rutland-Bennington,-,0,3,0
"W. Haven",-,"Rutland 3",-,0,12,0
"W. Rutland",-,"Rutland 2",-,0,3,0
TOTALS,,,-,4,53,57
