City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
"Barre City",-,"Washington 3",-,0,6,0
"Barre Town",-,"Washington 2",-,2,1,0
"E. Montpelier",-,"Washington 5",-,0,12,0
Marshfield,-,"Washington 6",-,0,12,0
Middlesex,-,"Washington 5",-,0,3,0
Montpelier,-,"Washington 4",-,0,6,0
Plainfield,-,"Washington 6",-,0,3,0
Roxbury,-,Orange-Washington-Addison,-,0,3,0
Waitsfield,-,"Washington 7",-,0,12,0
Warren,-,"Washington 7",-,0,3,0
Waterbury,-,Washington-Chittenden,-,0,6,0
TOTALS,,,-,2,67,69
