City/Town,Ward,Pct,"Aaron Diamondstone","Jerry Levy",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brattleboro,-,"Windham 2-1",2,2,0,0,4
Brattleboro,-,"Windham 2-2",2,1,0,1,4
Brattleboro,-,"Windham 2-3",2,2,0,4,8
Dover,-,Windham-Bennington,1,1,0,0,0
Dummerston,-,"Windham 4",7,6,0,1,0
Guilford,-,"Windham 1",0,0,2,0,0
Marlboro,-,"Windham 5",1,1,0,0,0
Putney,-,"Windham 4",1,1,0,2,0
Rockingham,-,"Windham 3",1,1,0,0,0
Stratton,-,Windham-Bennington-Windsor,1,1,0,2,0
Townshend,-,"Windham 5",2,2,0,0,0
Westminster,-,"Windham 3",0,0,0,0,0
Westminster,-,"Windham 4",3,5,1,5,14
TOTALS,,,23,23,3,15,64
