City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Addison,-,"Addison 3",-,0,2,0
Bristol,-,"Addison 4",-,0,6,0
Cornwall,-,"Addison 2",-,1,3,0
Granville,-,Orange-Washington-Addison,-,0,2,0
Huntington,-,Washington-Chittenden,-,0,6,0
Leicester,-,"Addison 2",-,0,2,0
Lincoln,-,"Addison 4",-,0,2,0
Middlebury,-,"Addison 1",-,1,5,0
Monkton,-,"Addison 4",-,2,0,0
Panton,-,"Addison 3",-,0,2,0
Shoreham,-,Addison-Rutland,-,0,4,0
Weybridge,-,"Addison 5",-,0,2,0
Whiting,-,Addison-Rutland,-,1,0,0
TOTALS,,,-,5,36,41
