City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Bakersfield,-,"Franklin 6",-,0,4,0
Enosburgh,-,"Franklin 7",-,6,18,0
Fairfax,-,"Franklin 2",-,0,4,0
Fairfield,-,"Franklin 6",-,1,1,0
Fletcher,-,"Franklin 6",-,0,4,0
Franklin,-,"Franklin 5",-,0,2,0
Highgate,-,"Franklin 5",-,0,2,0
Sheldon,-,"Franklin 4",-,3,3,0
"St. Albans City",-,"Franklin 3-1",-,0,4,0
"St. Albans Town",-,"Franklin 3-1",-,0,2,2
"St. Albans Town",-,"Franklin 3-2",-,3,3,6
Swanton,-,"Franklin 4",-,0,2,0
TOTALS,,,-,13,49,62
