City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
"Barre City",-,"Washington 3",-,0,3,0
"Barre Town",-,"Washington 2",-,3,3,0
Berlin,-,"Washington 1",-,1,2,0
Calais,-,"Washington 6",-,2,4,0
Duxbury,-,"Washington 7",-,0,3,0
"E. Montpelier",-,"Washington 5",-,0,3,0
Fayston,-,"Washington 7",-,0,3,0
Marshfield,-,"Washington 6",-,5,7,0
Middlesex,-,"Washington 5",-,13,11,0
Montpelier,-,"Washington 4",-,17,40,0
Plainfield,-,"Washington 6",-,3,6,0
Roxbury,-,Orange-Washington-Addison,-,1,2,0
Waitsfield,-,"Washington 7",-,0,3,0
Waterbury,-,Washington-Chittenden,-,1,2,0
Woodbury,-,Lamoille-Washington,-,0,3,0
TOTALS,,,-,46,95,141
