City/Town,Ward,Pct,"Warren H. Roaf",Write-Ins,Blanks,"Total Votes Cast"
,,,
Arlington,-,"Bennington 4",33,1,60,0
Bennington,-,"Bennington 2-1",72,6,118,196
Bennington,-,"Bennington 2-2",77,14,133,224
Dorset,-,Bennington-Rutland,40,5,91,0
Landgrove,-,Bennington-Rutland,4,0,14,0
Manchester,-,"Bennington 4",77,11,191,0
Peru,-,Bennington-Rutland,10,1,15,0
Pownal,-,"Bennington 1",33,1,10,0
Readsboro,-,Windham-Bennington,4,1,19,0
Rupert,-,Rutland-Bennington,27,0,85,0
Sandgate,-,"Bennington 4",6,1,4,0
Searsburg,-,Windham-Bennington,6,0,8,0
Shaftsbury,-,"Bennington 3",41,3,54,0
Stamford,-,Windham-Bennington,1,0,5,0
Sunderland,-,"Bennington 3",1,0,5,6
Sunderland,-,"Bennington 4",9,0,15,24
Wilmington,-,"Windham 6",20,2,40,0
Winhall,-,Windham-Bennington-Windsor,11,2,27,0
Woodford,-,"Bennington 1",2,0,2,0
TOTALS,,,474,48,896,"1,418"
