City/Town,Ward,Pct,"Joe Benning",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnet,-,"Caledonia 1",150,4,226,0
Bradford,-,"Orange 2",28,1,49,0
Burke,-,"Caledonia 4",40,0,44,0
Danville,-,Caledonia-Washington,76,4,130,0
Fairlee,-,"Orange 2",18,2,26,0
Groton,-,Orange-Caledonia,45,4,79,0
Hardwick,-,"Caledonia 2",27,2,53,0
Kirby,-,Essex-Caledonia,16,0,18,0
Lyndon,-,"Caledonia 4",118,9,137,0
Newark,-,Essex-Caledonia-Orleans,47,5,78,0
Newbury,-,Orange-Caledonia,34,4,66,0
Orange,-,"Orange 1",34,6,56,0
Peacham,-,Caledonia-Washington,21,2,34,0
Ryegate,-,"Caledonia 1",64,6,88,0
Sheffield,-,Orleans-Caledonia,12,3,19,0
"St. Johnsbury",-,"Caledonia 3",375,40,518,0
Stannard,-,"Caledonia 2",3,1,6,0
Sutton,-,"Caledonia 4",31,5,24,0
Topsham,-,Orange-Caledonia,15,1,30,0
Walden,-,"Caledonia 2",18,2,24,0
Waterford,-,"Caledonia 1",114,6,160,0
"W. Fairlee",-,"Orange 2",11,0,15,0
Wheelock,-,Orleans-Caledonia,24,1,32,0
TOTALS,,,"1,321",108,"1,912","3,341"
