City/Town,Ward,Pct,"Marcia Horne",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,-,Orleans-Caledonia,36,12,58,0
Barton,-,Orleans-Caledonia,60,35,147,0
Bloomfield,-,Essex-Caledonia-Orleans,16,1,25,0
Brighton,-,Essex-Caledonia-Orleans,89,28,285,0
Brownington,-,"Orleans 1",57,15,167,0
Brunswick,-,Essex-Caledonia,4,1,17,0
Canaan,-,Essex-Caledonia-Orleans,38,7,101,0
Charleston,-,"Orleans 1",35,6,59,0
Concord,-,Essex-Caledonia,36,7,85,0
Coventry,-,"Orleans 2",48,29,109,0
Craftsbury,-,Orleans-Caledonia,18,9,27,0
Derby,-,"Orleans 1",204,120,510,0
"E. Haven",-,Essex-Caledonia-Orleans,10,1,33,0
Glover,-,Orleans-Caledonia,23,15,54,0
Granby,-,Essex-Caledonia,8,1,21,0
Greensboro,-,Orleans-Caledonia,10,5,25,0
Guildhall,-,Essex-Caledonia,25,1,68,0
Holland,-,"Orleans 1",21,4,49,0
Irasburg,-,"Orleans 2",24,22,76,0
Jay,-,Orleans-Lamoille,16,15,19,0
Lemington,-,Essex-Caledonia-Orleans,11,1,16,0
Lowell,-,Orleans-Lamoille,12,17,43,0
Lunenburg,-,Essex-Caledonia,64,20,136,0
Maidstone,-,Essex-Caledonia,12,11,29,0
Montgomery,-,"Franklin 7",25,0,45,0
Morgan,-,"Orleans 1",44,16,110,0
"Newport City",-,"Orleans 2",185,89,420,0
"Newport Town",-,"Orleans 2",46,24,114,0
Norton,-,Essex-Caledonia-Orleans,16,8,40,0
Richford,-,"Franklin 5",20,2,46,0
Troy,-,"Orleans 2",1,2,15,18
Troy,-,Orleans-Lamoille,22,25,53,100
Victory,-,Essex-Caledonia,9,0,23,0
Westfield,-,Orleans-Lamoille,16,4,32,0
Westmore,-,Essex-Caledonia-Orleans,20,4,38,0
Wolcott,-,"Lamoille 2",19,4,49,0
TOTALS,,,"1,300",561,"3,144","5,005"
