City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Andover,-,"Windsor 3-1",-,9,45,0
Baltimore,-,"Windsor 3-1",-,0,18,0
Barnard,-,"Windsor 4-1",-,6,120,0
Bethel,-,Windsor-Rutland,-,8,106,0
Bridgewater,-,"Rutland-Windsor 1",-,3,51,0
Cavendish,-,"Windsor 2",-,27,210,0
Chester,-,"Windsor 3-1",-,15,171,0
Hartford,-,"Windsor 4-1",-,3,90,93
Hartford,-,"Windsor 4-2",-,9,252,261
Hartland,-,"Windsor 1",-,5,151,0
Londonderry,-,Windham-Bennington-Windsor,-,3,72,0
Ludlow,-,"Rutland-Windsor 2",-,6,123,0
"Mount Holly",-,"Rutland-Windsor 2",-,1,119,0
Norwich,-,"Windsor-Orange 2",-,1,77,0
Plymouth,-,"Windsor 5",-,7,56,0
Pomfret,-,"Windsor 4-1",-,7,92,0
Reading,-,"Windsor 5",-,0,51,0
Rochester,-,Windsor-Rutland,-,4,95,0
Royalton,-,"Windsor-Orange 1",-,10,95,0
Sharon,-,"Windsor-Orange 2",-,10,83,0
Springfield,-,"Windsor 3-1",-,0,30,30
Springfield,-,"Windsor 3-2",-,21,312,333
Stockbridge,-,Windsor-Rutland,-,5,46,0
Weathersfield,-,"Windsor 2",-,14,739,0
"W. Windsor",-,"Windsor 1",-,8,97,0
Weston,-,Windham-Bennington-Windsor,-,2,55,0
Windsor,-,"Windsor 1",-,4,101,0
Woodstock,-,"Windsor 5",-,5,223,0
TOTALS,,,-,193,"3,680","3,873"
