City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Addison,,,-,3,77,80
Albany,,,-,3,50,53
Alburgh,,,-,18,82,100
Andover,,,-,0,18,18
Arlington,,,-,1,46,47
Athens,,,-,0,13,13
Bakersfield,,,-,4,23,27
Baltimore,,,-,0,6,6
Barnard,,,-,2,40,42
Barnet,,,-,7,183,190
"Barre City",,,-,18,246,264
"Barre Town",,,-,31,273,304
Barton,,,-,11,110,121
Belvidere,,,-,2,9,11
Bennington,-,"Bennington 2-1",-,6,90,96
Bennington,-,"Bennington 2-2",-,9,103,112
Benson,,,-,0,24,24
Berkshire,,,-,4,32,36
Berlin,,,-,8,81,89
Bethel,,,-,4,34,38
Bloomfield,,,-,2,19,21
Bolton,,,-,0,28,28
Bradford,,,-,6,33,39
Braintree,,,-,3,32,35
Brandon,,,-,13,376,389
Brattleboro,-,"Windham 2-1",-,1,25,26
Brattleboro,-,"Windham 2-2",-,2,25,27
Brattleboro,-,"Windham 2-3",-,2,16,18
Bridgewater,,,-,1,17,18
Bridport,,,-,8,44,52
Brighton,,,-,10,187,197
Bristol,,,-,1,64,65
Brookfield,,,-,3,32,35
Brookline,,,-,1,5,6
Brownington,,,-,4,115,119
Brunswick,,,-,1,10,11
Burke,,,-,0,42,42
Burlington,-,"Chittenden 6-1",-,17,295,312
Burlington,-,"Chittenden 6-2",-,2,118,120
Burlington,-,"Chittenden 6-3",-,2,33,35
Burlington,-,"Chittenden 6-4",-,3,32,35
Burlington,-,"Chittenden 6-5",-,7,96,103
Burlington,-,"Chittenden 6-6",-,1,12,13
Burlington,-,"Chittenden 6-7",-,0,1,1
Cabot,,,-,0,25,25
Calais,,,-,2,33,35
Cambridge,,,-,12,65,77
Canaan,,,-,6,67,73
Castleton,,,-,3,173,176
Cavendish,,,-,6,73,79
Charleston,,,-,4,46,50
Charlotte,,,-,4,65,69
Chelsea,,,-,2,54,56
Chester,,,-,3,59,62
Chittenden,,,-,4,41,45
Clarendon,,,-,4,45,49
Colchester,-,"Chittenden 9-1",-,10,138,148
Colchester,-,"Chittenden 9-2",-,8,251,259
Concord,,,-,8,56,64
Corinth,,,-,3,25,28
Cornwall,,,-,4,35,39
Coventry,,,-,14,79,93
Craftsbury,,,-,5,22,27
Danby,,,-,5,46,51
Danville,,,-,7,98,105
Derby,,,-,45,372,417
Dorset,,,-,1,67,68
Dover,,,-,0,22,22
Dummerston,,,-,2,23,25
Duxbury,,,-,4,41,45
"E. Haven",,,-,0,22,22
"E. Montpelier",,,-,2,73,75
Eden,,,-,7,23,30
Elmore,,,-,2,27,29
Enosburgh,,,-,17,64,81
Essex,-,"Chittenden 8-1",-,6,172,178
Essex,-,"Chittenden 8-2",-,12,205,217
Essex,-,"Chittenden 8-3",-,4,48,52
"Fair Haven",,,-,8,117,125
Fairfax,,,-,2,156,158
Fairfield,,,-,4,37,41
Fairlee,,,-,1,22,23
Fayston,,,-,1,19,20
Ferrisburgh,,,-,1,83,84
Fletcher,,,-,1,18,19
Franklin,,,-,6,46,52
Georgia,,,-,9,110,119
Glover,,,-,5,41,46
Goshen,,,-,4,11,15
