City/Town,Ward,Pct,"Doug Hoffer","Dan Feliciano","Marina Brown",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Progressive,Republican,"Liberty Union"
Addison,,,286,427,26,0,49,788
Albany,,,207,176,44,0,32,459
Alburgh,,,402,386,47,1,70,906
Andover,,,153,134,19,0,29,335
Arlington,,,600,508,74,0,108,"1,292"
Athens,,,68,62,23,0,14,167
Bakersfield,,,270,248,32,0,55,605
Baltimore,,,52,62,7,0,8,129
Barnard,,,273,198,35,0,70,576
Barnet,,,446,373,62,2,89,973
"Barre City",,,"1,589","1,297",181,0,223,"3,290"
"Barre Town",,,"1,677","2,160",161,2,287,"4,290"
Barton,,,444,431,114,0,101,"1,090"
Belvidere,,,50,84,10,0,18,162
Bennington,-,"Bennington 2-1","1,238","1,002",199,3,680,"3,122"
Bennington,-,"Bennington 2-2","1,464",994,217,2,372,"3,049"
Benson,,,192,241,29,2,47,512
Berkshire,,,267,297,22,0,32,618
Berlin,,,661,555,62,0,110,"1,388"
Bethel,,,517,346,53,1,104,"1,021"
Bloomfield,,,38,45,12,1,16,112
Bolton,,,353,247,26,0,57,683
Bradford,,,566,460,70,2,123,"1,221"
Braintree,,,282,242,22,1,58,605
Brandon,,,847,783,95,0,176,"1,904"
Brattleboro,-,"Windham 2-1","1,320",500,107,1,240,"2,168"
Brattleboro,-,"Windham 2-2","1,291",239,145,0,210,"1,885"
Brattleboro,-,"Windham 2-3","1,297",279,134,0,242,"1,952"
Bridgewater,,,238,206,33,0,49,526
Bridport,,,261,327,19,0,56,663
Brighton,,,197,230,75,0,61,563
Bristol,,,"1,012",705,97,0,138,"1,952"
Brookfield,,,363,303,42,0,56,764
Brookline,,,165,84,14,0,33,296
Brownington,,,153,159,39,0,49,400
Brunswick,,,19,26,4,0,9,58
Burke,,,343,370,53,0,67,833
Burlington,-,"Chittenden 6-1","2,826","1,103",134,5,431,"4,501"
Burlington,-,"Chittenden 6-2","1,587",382,89,0,258,"2,316"
Burlington,-,"Chittenden 6-3","2,585",371,196,10,500,"3,662"
Burlington,-,"Chittenden 6-4","1,698",249,88,4,391,"2,431"
Burlington,-,"Chittenden 6-5","3,491",759,141,8,571,"4,970"
Burlington,-,"Chittenden 6-6",752,150,50,5,168,"1,125"
Burlington,-,"Chittenden 6-7",86,18,6,1,14,125
Cabot,,,406,256,49,0,88,799
Calais,,,654,243,46,1,88,"1,033"
Cambridge,,,"1,005",700,91,2,155,"1,953"
Canaan,,,136,204,37,0,58,436
Castleton,,,672,860,102,0,167,"1,801"
Cavendish,,,281,285,54,0,83,703
Charleston,,,159,178,85,0,48,471
Charlotte,,,"1,440",786,61,0,335,"2,623"
Chelsea,,,272,302,32,0,65,672
Chester,,,752,576,107,1,129,"1,565"
Chittenden,,,292,358,36,0,81,767
Clarendon,,,439,650,64,0,108,"1,262"
Colchester,-,"Chittenden 9-1","1,653","1,291",94,5,346,"3,389"
Colchester,-,"Chittenden 9-2","2,172","1,762",120,3,526,"4,591"
Concord,,,196,291,26,0,63,577
Corinth,,,307,284,38,0,59,688
Cornwall,,,443,229,17,0,59,748
Coventry,,,208,199,55,0,55,517
Craftsbury,,,370,176,48,0,104,698
Danby,,,245,309,45,0,59,658
Danville,,,639,573,35,1,98,"1,348"
Derby,,,846,945,221,1,212,"2,226"
Dorset,,,559,458,57,0,135,"1,209"
Dover,,,336,317,51,0,90,794
Dummerston,,,733,275,65,0,90,"1,164"
Duxbury,,,411,266,36,0,86,799
"E. Haven",,,43,73,18,0,15,149
"E. Montpelier",,,993,454,53,1,130,"1,631"
Eden,,,233,246,28,0,61,568
Elmore,,,299,181,20,0,52,552
Enosburgh,,,580,466,79,0,96,"1,221"
Essex,-,"Chittenden 8-1","2,145","2,181",104,2,375,"4,807"
Essex,-,"Chittenden 8-2","2,335","2,178",127,5,478,"5,123"
Essex,-,"Chittenden 8-3",638,656,24,0,109,"1,427"
"Fair Haven",,,445,552,64,0,107,"1,168"
Fairfax,,,"1,000","1,138",94,1,196,"2,431"
Fairfield,,,486,372,25,0,78,961
Fairlee,,,305,190,25,0,53,573
Fayston,,,470,235,29,0,97,831
