City/Town,Ward,Pct,"T.J. Donovan","Deborah ""Deb"" Bucknam","Rosemarie Jackowski",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Liberty Union"
Addison,,,434,307,16,0,31,788
Albany,,,261,158,20,0,20,459
Alburgh,,,544,294,30,0,38,906
Andover,,,183,120,11,0,21,335
Arlington,,,647,465,100,0,80,"1,292"
Athens,,,76,62,17,0,12,167
Bakersfield,,,369,180,21,0,35,605
Baltimore,,,65,54,4,0,6,129
Barnard,,,327,169,16,1,63,576
Barnet,,,499,394,31,1,47,973
"Barre City",,,"2,074",976,92,3,145,"3,290"
"Barre Town",,,"2,528","1,517",65,2,175,"4,290"
Barton,,,566,418,41,0,65,"1,090"
Belvidere,,,80,69,6,0,7,162
Bennington,-,"Bennington 2-1","1,585",844,449,2,242,"3,122"
Bennington,-,"Bennington 2-2","1,459",866,477,0,247,"3,049"
Benson,,,265,189,26,1,30,512
Berkshire,,,345,238,14,0,21,618
Berlin,,,874,403,43,1,67,"1,388"
Bethel,,,633,289,33,0,66,"1,021"
Bloomfield,,,54,43,7,0,8,112
Bolton,,,474,164,17,0,28,683
Bradford,,,730,376,41,3,71,"1,221"
Braintree,,,340,210,23,0,32,605
Brandon,,,"1,100",643,60,0,100,"1,904"
Brattleboro,-,"Windham 2-1","1,385",490,114,1,177,"2,168"
Brattleboro,-,"Windham 2-2","1,348",238,135,0,163,"1,885"
Brattleboro,-,"Windham 2-3","1,385",265,131,0,171,"1,952"
Bridgewater,,,304,161,20,0,41,526
Bridport,,,363,250,6,1,43,663
Brighton,,,278,221,27,0,37,563
Bristol,,,"1,267",525,76,0,84,"1,952"
Brookfield,,,454,256,28,0,25,764
Brookline,,,175,81,13,0,27,296
Brownington,,,198,166,4,0,32,400
Brunswick,,,29,24,1,0,4,58
Burke,,,401,369,27,0,36,833
Burlington,-,"Chittenden 6-1","3,497",648,120,6,228,"4,501"
Burlington,-,"Chittenden 6-2","1,806",256,86,5,161,"2,316"
Burlington,-,"Chittenden 6-3","2,806",267,219,8,362,"3,662"
Burlington,-,"Chittenden 6-4","1,885",166,90,1,288,"2,431"
