City/Town,Ward,Pct,"Phil Scott","Sue Minter","Bill ""Spaceman"" Lee",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,"Liberty Union"
Addison,,,578,196,11,0,3,788
Albany,,,320,114,22,1,2,459
Alburgh,,,583,278,31,0,14,906
Andover,,,187,134,9,0,5,335
Arlington,,,666,543,47,0,35,"1,292"
Athens,,,79,71,13,1,3,167
Bakersfield,,,386,186,25,0,8,605
Baltimore,,,81,44,3,0,1,129
Barnard,,,273,268,21,0,14,576
Barnet,,,553,367,37,2,14,973
"Barre City",,,"2,115","1,043",83,3,46,"3,290"
"Barre Town",,,"3,282",909,59,3,33,"4,290"
Barton,,,732,299,38,1,19,"1,090"
Belvidere,,,115,40,6,0,1,162
Bennington,-,"Bennington 2-1","1,280","1,627",130,4,81,"3,122"
Bennington,-,"Bennington 2-2","1,366","1,490",113,2,78,"3,049"
Benson,,,329,166,13,1,2,512
Berkshire,,,444,148,20,0,6,618
Berlin,,,945,406,25,0,12,"1,388"
Bethel,,,555,423,31,1,11,"1,021"
Bloomfield,,,70,36,2,3,1,112
Bolton,,,353,312,11,0,7,683
Bradford,,,660,514,29,2,16,"1,221"
Braintree,,,329,253,20,0,3,605
Brandon,,,"1,168",671,47,1,16,"1,904"
Brattleboro,-,"Windham 2-1",625,"1,417",72,3,50,"2,168"
Brattleboro,-,"Windham 2-2",327,"1,418",85,2,53,"1,885"
Brattleboro,-,"Windham 2-3",369,"1,451",76,1,55,"1,952"
Bridgewater,,,260,227,21,1,17,526
Bridport,,,442,204,10,0,7,663
Brighton,,,388,137,26,1,11,563
Bristol,,,"1,022",858,49,1,22,"1,952"
Brookfield,,,442,287,23,1,11,764
Brookline,,,114,166,4,0,12,296
Brownington,,,273,109,13,0,5,400
Brunswick,,,47,10,1,0,0,58
Burke,,,546,256,22,1,8,833
Burlington,-,"Chittenden 6-1","1,827","2,476",118,7,71,"4,501"
Burlington,-,"Chittenden 6-2",641,"1,558",63,2,52,"2,316"
Burlington,-,"Chittenden 6-3",634,"2,729",173,8,118,"3,662"
Burlington,-,"Chittenden 6-4",416,"1,837",79,0,99,"2,431"
Burlington,-,"Chittenden 6-5","1,254","3,451",136,9,120,"4,970"
Burlington,-,"Chittenden 6-6",232,802,37,2,52,"1,125"
Burlington,-,"Chittenden 6-7",24,93,4,1,3,125
Cabot,,,432,333,29,0,5,799
Calais,,,443,552,28,1,9,"1,033"
Cambridge,,,"1,068",808,56,2,19,"1,953"
Canaan,,,277,127,13,0,18,436
Castleton,,,"1,147",543,78,0,32,"1,801"
Cavendish,,,387,269,24,0,23,703
Charleston,,,308,136,24,0,3,471
Charlotte,,,"1,207","1,346",36,1,33,"2,623"
Chelsea,,,457,200,10,0,3,672
Chester,,,801,691,50,2,21,"1,565"
Chittenden,,,479,246,22,2,17,767
Clarendon,,,861,361,26,0,12,"1,262"
Colchester,-,"Chittenden 9-1","1,901","1,353",63,5,65,"3,389"
Colchester,-,"Chittenden 9-2","2,577","1,831",114,6,62,"4,591"
Concord,,,408,130,28,0,11,577
Corinth,,,394,265,23,1,5,688
Cornwall,,,347,383,12,1,5,748
Coventry,,,366,135,9,0,7,517
Craftsbury,,,379,259,43,0,15,698
Danby,,,415,206,27,0,10,658
Danville,,,897,411,23,1,16,"1,348"
Derby,,,"1,591",527,64,2,39,"2,226"
Dorset,,,662,506,23,0,18,"1,209"
Dover,,,394,357,28,0,15,794
Dummerston,,,349,754,40,2,18,"1,164"
Duxbury,,,464,305,19,0,11,799
"E. Haven",,,106,34,5,0,4,149
"E. Montpelier",,,796,794,25,2,14,"1,631"
Eden,,,402,141,20,0,5,568
Elmore,,,281,254,15,0,2,552
Enosburgh,,,787,375,44,0,15,"1,221"
Essex,-,"Chittenden 8-1","2,644","2,022",80,5,55,"4,807"
Essex,-,"Chittenden 8-2","2,709","2,260",94,5,53,"5,123"
Essex,-,"Chittenden 8-3",816,582,16,1,12,"1,427"
"Fair Haven",,,741,361,38,2,26,"1,168"
Fairfax,,,"1,571",775,57,3,25,"2,431"
Fairfield,,,649,277,22,0,13,961
