City/Town,Ward,Pct,"David Zuckerman","Randy Brock","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive/Democratic,Republican,"Liberty Union"
Addison,,,261,492,16,0,18,788
Albany,,,186,252,13,0,8,459
Alburgh,,,347,512,16,1,30,906
Andover,,,153,157,7,0,18,335
Arlington,,,601,580,40,1,67,"1,292"
Athens,,,75,70,9,0,13,167
Bakersfield,,,231,343,11,0,20,605
Baltimore,,,51,73,2,0,3,129
Barnard,,,296,236,7,1,36,576
Barnet,,,436,471,25,3,37,973
"Barre City",,,"1,485","1,632",77,1,95,"3,290"
"Barre Town",,,"1,408","2,691",72,1,112,"4,290"
Barton,,,410,613,22,2,43,"1,090"
Belvidere,,,56,95,2,1,8,162
Bennington,-,"Bennington 2-1","1,709","1,085",114,8,206,"3,122"
Bennington,-,"Bennington 2-2","1,569","1,128",116,3,233,"3,049"
Benson,,,204,281,9,1,17,512
Berkshire,,,181,419,8,0,10,618
Berlin,,,597,717,28,2,44,"1,388"
Bethel,,,534,434,23,0,30,"1,021"
Bloomfield,,,41,61,4,0,6,112
Bolton,,,383,275,8,2,15,683
Bradford,,,590,496,74,6,55,"1,221"
Braintree,,,289,286,5,2,23,605
Brandon,,,870,933,40,0,60,"1,904"
Brattleboro,-,"Windham 2-1","1,418",569,46,1,133,"2,168"
Brattleboro,-,"Windham 2-2","1,410",293,72,0,110,"1,885"
Brattleboro,-,"Windham 2-3","1,433",329,67,3,120,"1,952"
Bridgewater,,,235,206,51,1,33,526
Bridport,,,236,397,8,1,21,663
Brighton,,,197,323,18,0,25,563
Bristol,,,984,870,45,0,53,"1,952"
Brookfield,,,357,373,12,3,19,764
Brookline,,,177,87,6,0,26,296
Brownington,,,148,230,4,0,17,400
Brunswick,,,18,36,0,0,4,58
Burke,,,326,454,22,2,28,833
Burlington,-,"Chittenden 6-1","2,695","1,525",79,18,184,"4,501"
Burlington,-,"Chittenden 6-2","1,623",517,58,8,109,"2,316"
Burlington,-,"Chittenden 6-3","2,905",435,100,14,208,"3,662"
Burlington,-,"Chittenden 6-4","1,797",346,74,13,200,"2,431"
Burlington,-,"Chittenden 6-5","3,523","1,032",107,25,283,"4,970"
Burlington,-,"Chittenden 6-6",799,186,33,7,100,"1,125"
Burlington,-,"Chittenden 6-7",99,14,3,1,8,125
Cabot,,,414,339,13,2,31,799
Calais,,,661,327,20,2,23,"1,033"
Cambridge,,,"1,038",818,38,7,52,"1,953"
Canaan,,,155,229,12,1,38,436
Castleton,,,692,973,52,3,80,"1,801"
Cavendish,,,309,327,19,1,47,703
Charleston,,,203,235,15,2,16,471
Charlotte,,,"1,481","1,003",35,6,96,"2,623"
Chelsea,,,265,377,9,0,19,672
Chester,,,788,656,51,1,69,"1,565"
Chittenden,,,301,410,22,1,33,767
Clarendon,,,443,759,20,2,38,"1,262"
Colchester,-,"Chittenden 9-1","1,609","1,564",47,6,161,"3,389"
Colchester,-,"Chittenden 9-2","2,129","2,194",56,8,203,"4,591"
Concord,,,198,339,22,0,17,577
Corinth,,,291,321,57,0,19,688
Cornwall,,,441,277,6,1,23,748
Coventry,,,204,276,10,0,27,517
Craftsbury,,,372,266,18,1,41,698
Danby,,,252,350,30,0,26,658
Danville,,,526,740,23,1,57,"1,348"
Derby,,,814,"1,284",39,2,84,"2,226"
Dorset,,,536,583,28,0,62,"1,209"
Dover,,,361,360,27,0,46,794
Dummerston,,,765,314,25,3,56,"1,164"
Duxbury,,,381,366,19,2,31,799
"E. Haven",,,53,81,8,0,7,149
"E. Montpelier",,,926,616,30,14,45,"1,631"
Eden,,,232,311,6,0,19,568
Elmore,,,301,227,7,0,14,552
Enosburgh,,,468,706,19,0,28,"1,221"
Essex,-,"Chittenden 8-1","2,382","2,195",71,11,148,"4,807"
Essex,-,"Chittenden 8-2","2,550","2,304",61,20,187,"5,123"
Essex,-,"Chittenden 8-3",687,678,9,5,48,"1,427"
"Fair Haven",,,456,627,36,2,47,"1,168"
Fairfax,,,924,"1,401",39,0,65,"2,431"
Fairfield,,,341,587,8,0,25,961
Fairlee,,,307,211,29,0,26,573
Fayston,,,482,295,11,4,39,831
Ferrisburgh,,,748,828,13,1,43,"1,635"
Fletcher,,,317,357,14,2,19,709
Franklin,,,161,455,7,0,14,637
Georgia,,,767,"1,588",18,2,72,"2,449"
Glover,,,263,305,18,0,13,600
Goshen,,,72,48,1,0,4,125
Grafton,,,172,192,11,1,23,399
Granby,,,17,24,0,0,2,43
"Grand Isle",,,500,637,23,1,39,"1,201"
Granville,,,87,49,4,1,8,149
Greensboro,,,235,165,11,2,17,430
Groton,,,136,293,41,1,27,498
Guildhall,,,48,87,4,1,5,148
Guilford,,,764,317,34,1,61,"1,177"
Halifax,,,216,176,14,0,31,437
Hancock,,,75,70,8,0,9,162
Hardwick,,,625,698,37,1,48,"1,410"
Hartford,-,"Windsor 4-1",645,508,31,0,70,"1,254"
Hartford,-,"Windsor 4-2","2,270","1,348",116,3,217,"3,955"
Hartland,,,"1,070",735,46,3,92,"1,951"
Highgate,,,344,"1,016",17,0,24,"1,402"
Hinesburg,-,"Chittenden 4-1",14,5,0,0,0,19
Hinesburg,-,"Chittenden 4-2","1,603",945,36,11,92,"2,687"
Holland,,,102,183,6,0,12,303
Hubbardton,,,173,198,7,0,10,389
Huntington,,,804,385,23,8,32,"1,252"
"Hyde Park",,,755,728,23,3,53,"1,562"
Ira,,,89,146,3,0,7,245
Irasburg,,,183,356,9,0,20,568
"Isle La Motte",,,114,178,5,0,13,310
Jamaica,,,291,180,17,0,28,516
Jay,,,117,111,5,0,13,246
Jericho,,,"1,767","1,421",32,6,117,"3,343"
Johnson,,,734,519,27,1,54,"1,335"
Killington,,,290,324,22,0,34,670
Kirby,,,119,133,3,0,11,266
Landgrove,,,45,50,1,0,9,105
Leicester,,,198,270,14,0,19,502
