City/Town,Ward,Pct,"Jim Condos","Mary Alice ""Mal"" Herbert",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,"Liberty Union"
Addison,,,640,65,0,82,788
Albany,,,372,51,0,35,459
Alburgh,,,718,100,2,86,906
Andover,,,255,44,1,35,335
Arlington,,,"1,008",148,0,134,"1,292"
Athens,,,110,41,0,16,167
Bakersfield,,,480,56,0,69,605
Baltimore,,,104,18,0,7,129
Barnard,,,448,43,0,84,576
Barnet,,,790,80,3,100,973
"Barre City",,,"2,732",291,12,255,"3,290"
"Barre Town",,,"3,660",269,10,343,"4,290"
Barton,,,866,110,2,112,"1,090"
Belvidere,,,117,20,1,24,162
Bennington,-,"Bennington 2-1","2,321",373,4,424,"3,122"
Bennington,-,"Bennington 2-2","2,237",393,3,416,"3,049"
Benson,,,378,80,2,52,512
Berkshire,,,529,46,1,42,618
Berlin,,,"1,158",100,0,128,"1,388"
Bethel,,,813,99,6,102,"1,021"
Bloomfield,,,80,18,0,14,112
Bolton,,,582,50,0,50,683
Bradford,,,956,122,2,141,"1,221"
Braintree,,,492,48,1,64,605
Brandon,,,"1,520",183,1,197,"1,904"
Brattleboro,-,"Windham 2-1","1,546",368,3,250,"2,168"
Brattleboro,-,"Windham 2-2","1,280",398,2,205,"1,885"
Brattleboro,-,"Windham 2-3","1,351",344,0,256,"1,952"
Bridgewater,,,394,81,0,51,526
Bridport,,,533,64,1,65,663
Brighton,,,420,84,1,56,563
Bristol,,,"1,584",204,5,158,"1,952"
Brookfield,,,608,87,1,68,764
Brookline,,,206,47,0,43,296
Brownington,,,305,40,1,54,400
Brunswick,,,43,5,0,10,58
Burke,,,673,68,3,89,833
Burlington,-,"Chittenden 6-1","3,765",308,10,418,"4,501"
Burlington,-,"Chittenden 6-2","1,859",198,10,249,"2,316"
Burlington,-,"Chittenden 6-3","2,679",450,16,517,"3,662"
Burlington,-,"Chittenden 6-4","1,850",208,2,371,"2,431"
Burlington,-,"Chittenden 6-5","4,039",354,17,560,"4,970"
Burlington,-,"Chittenden 6-6",825,112,4,184,"1,125"
Burlington,-,"Chittenden 6-7",100,13,1,11,125
Cabot,,,621,71,1,106,799
Calais,,,846,86,3,98,"1,033"
Cambridge,,,"1,632",166,7,148,"1,953"
Canaan,,,311,54,0,70,436
Castleton,,,"1,381",211,4,204,"1,801"
Cavendish,,,489,110,2,102,703
Charleston,,,353,62,1,53,471
Charlotte,,,"2,150",134,3,336,"2,623"
Chelsea,,,524,57,1,89,672
Chester,,,"1,186",221,2,156,"1,565"
Chittenden,,,588,76,1,102,767
Clarendon,,,991,136,3,128,"1,262"
Colchester,-,"Chittenden 9-1","2,851",194,9,330,"3,389"
Colchester,-,"Chittenden 9-2","3,809",260,6,510,"4,591"
Concord,,,438,72,1,65,577
Corinth,,,518,82,3,84,688
Cornwall,,,645,43,0,60,748
Coventry,,,410,48,2,56,517
Craftsbury,,,533,58,0,107,698
Danby,,,505,78,0,75,658
Danville,,,"1,114",96,1,137,"1,348"
Derby,,,"1,776",202,3,245,"2,226"
Dorset,,,956,101,1,151,"1,209"
Dover,,,573,120,0,101,794
Dummerston,,,877,193,1,92,"1,164"
Duxbury,,,665,54,2,78,799
"E. Haven",,,99,30,1,19,149
"E. Montpelier",,,"1,391",107,1,132,"1,631"
Eden,,,434,61,1,71,568
Elmore,,,454,43,0,55,552
Enosburgh,,,997,119,1,104,"1,221"
Essex,-,"Chittenden 8-1","4,028",292,19,468,"4,807"
Essex,-,"Chittenden 8-2","4,306",307,18,492,"5,123"
Essex,-,"Chittenden 8-3","1,234",61,2,130,"1,427"
"Fair Haven",,,911,147,2,108,"1,168"
Fairfax,,,"1,974",214,1,238,"2,431"
Fairfield,,,810,71,1,79,961
Fairlee,,,456,54,0,62,573
Fayston,,,692,48,0,91,831
Ferrisburgh,,,"1,369",108,4,153,"1,635"
Fletcher,,,589,60,0,60,709
Franklin,,,525,55,1,56,637
Georgia,,,"2,052",153,6,236,"2,449"
Glover,,,478,66,0,55,600
Goshen,,,96,13,0,16,125
Grafton,,,281,59,0,59,399
Granby,,,32,5,0,6,43
"Grand Isle",,,"1,030",78,2,91,"1,201"
Granville,,,120,15,0,14,149
Greensboro,,,356,32,1,41,430
Groton,,,382,44,1,71,498
Guildhall,,,118,12,0,18,148
Guilford,,,852,205,3,117,"1,177"
Halifax,,,289,67,2,79,437
Hancock,,,120,25,0,17,162
Hardwick,,,"1,131",119,1,159,"1,410"
Hartford,-,"Windsor 4-1",963,115,3,172,"1,254"
Hartford,-,"Windsor 4-2","3,048",449,13,443,"3,955"
Hartland,,,"1,520",194,2,232,"1,951"
Highgate,,,"1,162",126,4,110,"1,402"
Hinesburg,-,"Chittenden 4-1",13,3,0,3,19
Hinesburg,-,"Chittenden 4-2","2,211",171,2,303,"2,687"
Holland,,,232,33,0,38,303
Hubbardton,,,296,48,1,44,389
Huntington,,,"1,041",92,0,118,"1,252"
"Hyde Park",,,"1,300",118,4,140,"1,562"
Ira,,,196,18,0,31,245
Irasburg,,,459,41,0,68,568
"Isle La Motte",,,241,31,1,37,310
Jamaica,,,393,67,0,56,516
Jay,,,193,22,0,31,246
Jericho,,,"2,800",182,10,350,"3,343"
Johnson,,,"1,044",145,0,146,"1,335"
Killington,,,503,80,0,87,670
Kirby,,,230,12,0,24,266
Landgrove,,,90,6,0,9,105
Leicester,,,397,48,0,56,502
Lemington,,,44,6,0,7,57
Lincoln,,,664,56,0,83,803
Londonderry,,,720,120,2,110,953
Lowell,,,329,52,0,57,440
Ludlow,,,822,151,2,134,"1,109"
Lunenburg,,,406,80,2,74,562
Lyndon,,,"1,682",190,6,207,"2,085"
Maidstone,,,92,8,0,18,118
Manchester,,,"1,839",224,7,374,"2,446"
Marlboro,,,454,65,0,61,581
Marshfield,,,681,95,0,102,879
Mendon,,,530,55,2,67,654
Middlebury,,,"3,022",277,5,418,"3,723"
Middlesex,,,934,81,4,112,"1,134"
"Middletown Springs",,,374,56,0,0,492
Milton,-,"Chittenden 10","3,546",364,12,512,"4,434"
Milton,-,"Grand Isle-Chittenden",582,58,4,92,736
Monkton,,,"1,011",89,5,123,"1,228"
Montgomery,,,517,71,0,78,671
Montpelier,,,"4,107",303,6,417,"4,834"
Moretown,,,872,57,1,119,"1,049"
Morgan,,,278,30,0,33,342
Morristown,,,"2,252",231,2,280,"2,767"
"Mount Holly",,,583,102,2,89,777
"Mount Tabor",,,73,12,0,10,95
"New Haven",,,896,102,0,99,"1,099"
Newark,,,217,48,0,42,307
Newbury,,,855,113,0,123,"1,091"
Newfane,,,750,147,2,116,"1,016"
