City/Town,Ward,Pct,"Dick Sears","Brian Campion",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Arlington,,,942,829,15,794,"2,584"
Bennington,-,"Bennington 2-1","2,283","2,168",47,"1,746","6,244"
Bennington,-,"Bennington 2-2","2,234","1,963",38,"1,863","6,098"
Dorset,,,832,691,10,881,"2,418"
Landgrove,,,75,61,0,74,210
Manchester,,,"1,625","1,421",44,"1,802","4,892"
Peru,,,179,158,1,139,478
Pownal,,,"1,198",886,11,"1,211","3,306"
Readsboro,,,268,186,4,315,774
Rupert,,,271,201,5,318,796
Sandgate,,,150,135,5,148,438
Searsburg,,,37,24,0,56,118
Shaftsbury,,,"1,397","1,278",30,999,"3,706"
Stamford,,,317,189,9,444,962
Sunderland,-,"Bennington 3",88,64,0,86,238
Sunderland,-,"Bennington 4",285,232,1,296,816
Wilmington,,,674,625,9,818,"2,126"
Winhall,,,332,291,9,421,"1,062"
Woodford,,,146,105,0,115,366
TOTALS,,,"13,333","11,507",238,"12,526","37,632"
