City/Town,Ward,Pct,"Doug Hoffer",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Addison,,,87,0,20,0,107
Albany,,,66,0,25,0,91
Alburgh,,,128,0,40,0,168
Andover,,,63,0,15,0,78
Arlington,,,182,0,31,0,213
Athens,,,18,1,15,0,34
Bakersfield,,,100,4,23,0,127
Baltimore,,,22,1,3,0,26
Barnard,,,108,1,41,0,150
Barnet,,,142,0,37,0,179
"Barre City",,,517,2,111,0,630
"Barre Town",,,520,6,69,0,595
Barton,,,120,1,24,1,146
Belvidere,,,17,0,4,0,21
Bennington,-,"Bennington 2-1",530,2,233,0,765
Bennington,-,"Bennington 2-2",385,1,127,0,513
Benson,,,53,1,12,0,66
Berkshire,,,69,0,12,0,81
Berlin,,,220,4,59,0,283
Bethel,,,207,0,48,1,256
Bloomfield,,,19,0,6,0,25
Bolton,,,139,0,25,0,164
Bradford,,,192,0,45,0,237
Braintree,,,93,0,26,0,119
Brandon,,,286,0,87,1,374
Brattleboro,-,"Windham 2-1",395,5,164,0,564
Brattleboro,-,"Windham 2-2",405,3,161,0,569
Brattleboro,-,"Windham 2-3",481,0,167,0,648
Bridgewater,,,93,0,23,0,116
Bridport,,,91,0,30,0,121
Brighton,,,50,0,14,0,64
Bristol,,,385,0,100,0,485
Brookfield,,,152,1,31,0,184
Brookline,,,68,0,11,1,80
Brownington,,,45,0,10,0,55
Brunswick,,,7,0,4,0,11
Burke,,,79,0,25,0,104
Burlington,-,"Chittenden 6-1","1,112",9,243,1,"1,365"
Burlington,-,"Chittenden 6-2",680,1,170,0,851
Burlington,-,"Chittenden 6-3",781,6,264,0,"1,051"
Burlington,-,"Chittenden 6-4",588,4,191,0,783
Burlington,-,"Chittenden 6-5","1,429",6,381,0,"1,816"
Burlington,-,"Chittenden 6-6",206,2,65,0,273
Burlington,-,"Chittenden 6-7",30,0,10,0,40
Cabot,,,144,0,53,0,197
Calais,,,293,2,100,0,395
Cambridge,,,248,1,83,0,332
Canaan,,,28,0,8,0,36
Castleton,,,188,0,68,0,256
Cavendish,,,115,0,24,1,140
Charleston,,,62,0,15,0,77
Charlotte,,,570,0,171,1,742
Chelsea,,,95,1,24,0,120
Chester,,,368,1,99,0,468
Chittenden,,,108,0,29,0,137
Clarendon,,,114,0,31,0,145
Colchester,-,"Chittenden 9-1",437,1,86,0,524
Colchester,-,"Chittenden 9-2",652,1,160,0,813
Concord,,,59,1,18,0,78
Corinth,,,127,2,41,0,170
Cornwall,,,184,0,58,0,242
Coventry,,,52,0,8,0,60
Craftsbury,,,117,0,52,0,169
Danby,,,95,0,28,0,123
Danville,,,221,1,46,1,269
Derby,,,255,1,60,0,316
Dorset,,,206,0,74,0,280
Dover,,,85,1,31,0,117
Dummerston,,,305,1,79,0,385
Duxbury,,,152,1,63,0,216
"E. Haven",,,22,0,6,0,28
"E. Montpelier",,,473,3,148,0,624
Eden,,,62,0,21,0,83
Elmore,,,153,1,36,0,190
Enosburgh,,,138,0,32,0,170
Essex,-,"Chittenden 8-1",656,5,156,0,817
Essex,-,"Chittenden 8-2",755,6,178,0,939
Essex,-,"Chittenden 8-3",245,2,50,0,297
"Fair Haven",,,102,1,34,0,137
Fairfax,,,274,1,41,0,316
Fairfield,,,142,0,33,0,175
Fairlee,,,89,1,28,0,118
Fayston,,,141,1,47,0,189
Ferrisburgh,,,289,0,52,1,342
Fletcher,,,119,1,28,0,148
Franklin,,,62,2,15,0,79
Georgia,,,206,1,41,0,248
Glover,,,100,0,29,0,129
Goshen,,,31,0,9,0,40
Grafton,,,77,0,51,0,128
Granby,,,4,0,0,0,4
"Grand Isle",,,253,1,53,0,307
Granville,,,38,0,10,0,48
Greensboro,,,106,0,32,1,139
Groton,,,54,0,22,0,76
Guildhall,,,23,0,7,0,30
Guilford,,,268,4,65,0,337
Halifax,,,112,0,68,0,180
Hancock,,,31,0,11,0,42
Hardwick,,,204,1,56,0,261
Hartford,-,"Windsor 4-1",186,1,66,0,253
Hartford,-,"Windsor 4-2",793,1,218,1,"1,013"
Hartland,,,548,0,168,0,716
Highgate,,,145,1,34,0,180
Hinesburg,-,"Chittenden 4-1",6,0,2,0,8
Hinesburg,-,"Chittenden 4-2",596,5,162,0,763
Holland,,,23,0,9,0,32
Hubbardton,,,43,1,8,0,52
Huntington,,,314,0,72,0,386
"Hyde Park",,,275,1,80,1,357
Ira,,,35,0,8,0,43
Irasburg,,,63,0,19,0,82
"Isle La Motte",,,58,0,25,0,83
Jamaica,,,104,2,22,0,128
Jay,,,26,0,10,0,36
Jericho,,,695,1,136,0,832
Johnson,,,193,1,52,0,246
Killington,,,76,0,21,0,97
Kirby,,,53,0,21,0,74
Landgrove,,,34,0,8,0,42
Leicester,,,64,0,19,0,83
Lemington,,,3,0,0,0,3
Lincoln,,,237,0,57,0,294
Londonderry,,,137,1,40,0,178
Lowell,,,47,0,14,0,61
Ludlow,,,168,2,68,0,238
Lunenburg,,,43,1,14,0,58
Lyndon,,,157,1,39,0,197
Maidstone,,,20,0,6,0,26
Manchester,,,272,1,106,0,379
Marlboro,,,179,0,70,0,249
Marshfield,,,144,1,54,2,201
Mendon,,,72,0,23,0,95
Middlebury,,,"1,004",3,269,0,"1,276"
Middlesex,,,345,2,101,0,448
"Middletown Springs",,,84,0,20,2,106
Milton,-,"Chittenden 10",442,0,83,0,525
Milton,-,"Grand Isle-Chittenden",94,0,19,0,113
Monkton,,,245,1,53,0,299
Montgomery,,,106,0,31,0,137
Montpelier,,,"1,646",7,453,0,"2,106"
Moretown,,,205,0,70,0,275
Morgan,,,33,0,4,0,37
Morristown,,,594,7,172,0,773
"Mount Holly",,,102,1,43,0,146
"Mount Tabor",,,10,0,2,0,12
"New Haven",,,214,0,40,1,255
Newark,,,50,1,17,0,68
Newbury,,,179,1,45,0,225
Newfane,,,293,0,110,0,403
"Newport City",,,204,2,47,0,253
"Newport Town",,,66,0,15,0,81
"N. Hero",,,147,0,41,0,188
Northfield,,,304,2,80,0,386
Norton,,,10,0,2,0,12
Norwich,,,653,3,315,0,971
Orange,,,60,2,20,0,82
Orwell,,,89,0,13,0,102
Panton,,,53,0,9,0,62
Pawlet,,,128,0,32,0,160
Peacham,,,122,0,31,0,153
Peru,,,45,0,6,0,51
Pittsfield,,,41,0,20,0,61
Pittsford,,,170,0,48,0,218
Plainfield,,,175,1,61,0,237
Plymouth,,,46,1,26,0,73
Pomfret,,,172,0,33,1,206
Poultney,,,146,0,42,0,188
Pownal,,,149,0,38,0,187
Proctor,,,89,0,26,0,115
Putney,,,320,0,112,0,432
Randolph,,,418,3,119,2,542
Reading,,,87,3,45,1,136
Readsboro,,,40,0,21,0,61
Richford,,,104,0,14,0,118
Richmond,,,707,1,179,0,887
Ripton,,,100,0,28,0,128
Rochester,,,155,0,42,1,198
Rockingham,,,444,0,126,1,571
Roxbury,,,64,0,21,0,85
Royalton,,,239,1,76,0,316
Rupert,,,81,0,15,1,97
"Rutland City",-,"Rutland 5-1",274,0,101,2,377
"Rutland City",-,"Rutland 5-2",205,0,53,2,260
"Rutland City",-,"Rutland 5-3",109,0,36,0,145
"Rutland City",-,"Rutland 5-4",189,0,55,6,250
"Rutland Town",,,268,2,76,0,346
Ryegate,,,89,0,14,1,104
Salisbury,,,102,0,20,0,122
Sandgate,,,41,0,8,0,49
Searsburg,,,3,0,0,0,3
Shaftsbury,,,214,0,75,0,289
Sharon,,,184,0,51,0,235
Sheffield,,,38,1,12,0,51
Shelburne,-,"Chittenden 5-1",742,2,180,0,924
Shelburne,-,"Chittenden 5-2",422,2,103,4,531
Sheldon,,,79,1,10,0,90
Shoreham,,,117,0,49,0,166
Shrewsbury,,,124,0,17,0,141
"S. Burlington",-,"Chittenden 7-1",663,0,169,0,832
"S. Burlington",-,"Chittenden 7-2",624,3,152,1,780
"S. Burlington",-,"Chittenden 7-3",551,2,102,0,655
"S. Burlington",-,"Chittenden 7-4",518,1,114,0,633
"S. Hero",,,390,0,99,0,489
Springfield,-,"Windsor 3-1",29,1,6,0,36
Springfield,-,"Windsor 3-2",657,5,122,1,785
"St. Albans City",,,394,2,0,67,463
"St. Albans Town",-,"Franklin 3-1",120,2,13,0,135
"St. Albans Town",-,"Franklin 3-2",258,3,37,0,298
"St. George",,,54,0,18,1,73
"St. Johnsbury",,,403,3,71,0,477
Stamford,,,39,0,18,0,57
Stannard,,,26,0,6,0,32
Starksboro,,,234,0,39,0,273
Stockbridge,,,71,2,21,0,94
Stowe,,,480,1,175,0,656
Strafford,,,223,0,81,0,304
Stratton,,,9,0,5,0,14
Sudbury,,,49,0,15,0,64
Sunderland,-,"Bennington 3",16,0,0,0,16
Sunderland,-,"Bennington 4",43,0,11,0,54
Sutton,,,48,0,21,0,69
Swanton,,,304,1,30,0,335
Thetford,,,474,1,165,1,641
Tinmouth,-,"Rutland 2",13,0,3,0,16
Tinmouth,-,Rutland-Bennington,51,0,7,0,58
Topsham,,,58,0,11,0,69
Townshend,,,118,0,39,0,157
Troy,-,"Orleans 2",15,1,3,0,19
Troy,-,Orleans-Lamoille,78,1,21,0,100
Tunbridge,,,135,0,39,0,174
Underhill,,,429,0,90,0,519
Vergennes,,,223,1,57,0,281
Vernon,,,144,1,63,0,208
Vershire,,,72,0,16,0,88
Victory,,,7,0,0,0,7
Waitsfield,,,263,3,89,0,355
Walden,,,86,0,29,0,115
Wallingford,,,150,0,40,0,190
Waltham,,,61,0,9,0,70
Wardsboro,,,69,0,8,0,77
Warren,,,203,3,89,0,295
Washington,,,66,0,19,0,85
Waterbury,,,779,1,206,0,986
Waterford,,,51,0,14,0,65
Waterville,,,48,0,21,0,69
Weathersfield,,,278,1,54,0,333
Wells,,,55,0,12,0,67
"W. Fairlee",,,34,0,12,0,46
"W. Haven",,,15,0,5,0,20
"W. Rutland",,,90,2,17,0,109
"W. Windsor",,,145,0,77,0,222
Westfield,,,60,2,14,0,76
Westford,,,173,0,51,0,224
Westminster,-,"Windham 3",12,0,5,0,17
Westminster,-,"Windham 4",368,0,113,0,481
Westmore,,,26,0,10,0,36
Weston,,,95,0,43,0,138
Weybridge,,,148,0,41,0,189
Wheelock,,,58,0,15,0,73
Whiting,,,28,0,6,0,34
Whitingham,-,"Windham 6",62,1,16,0,79
Whitingham,-,Windham-Bennington,3,0,1,0,4
Williamstown,,,152,2,48,2,204
Williston,,,974,2,229,1,"1,206"
Wilmington,,,140,0,40,0,180
Windham,,,68,0,27,0,95
Windsor,,,406,1,96,0,503
Winhall,,,78,2,22,0,102
Winooski,,,669,3,190,0,862
Wolcott,,,125,3,29,0,157
Woodbury,,,115,1,33,0,149
Woodford,,,21,0,10,0,31
Woodstock,,,572,4,230,0,806
Worcester,,,217,1,48,0,266
TOTALS,,,"57,135",241,"15,673",113,"73,162"
