City/Town,Ward,Pct,"Dan Feliciano",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Addison,,,151,2,44,0,197
Albany,,,67,1,38,0,106
Alburgh,,,95,4,39,0,138
Andover,,,43,0,24,0,67
Arlington,,,97,0,47,0,144
Athens,,,15,0,4,0,19
Bakersfield,,,55,5,27,0,87
Baltimore,,,11,1,7,0,19
Barnard,,,44,0,24,0,68
Barnet,,,108,0,72,0,180
"Barre City",,,475,14,226,0,715
"Barre Town",,,872,24,333,0,"1,229"
Barton,,,118,6,64,0,188
Belvidere,,,23,0,11,0,34
Bennington,-,"Bennington 2-1",135,1,85,0,221
Bennington,-,"Bennington 2-2",128,0,80,0,208
Benson,,,54,0,26,1,81
Berkshire,,,76,0,34,0,110
Berlin,,,213,10,174,0,397
Bethel,,,91,2,57,0,150
Bloomfield,,,11,0,3,0,14
Bolton,,,82,0,38,0,120
Bradford,,,85,4,61,0,150
Braintree,,,76,1,41,0,118
Brandon,,,222,1,112,1,336
Brattleboro,-,"Windham 2-1",57,1,41,0,99
Brattleboro,-,"Windham 2-2",42,0,14,0,56
Brattleboro,-,"Windham 2-3",46,0,24,0,70
Bridgewater,,,42,1,21,0,64
Bridport,,,100,1,34,0,135
Brighton,,,82,1,39,0,122
Bristol,,,219,1,65,0,285
Brookfield,,,99,1,55,0,155
Brookline,,,15,0,11,0,26
Brownington,,,37,1,18,0,56
Brunswick,,,7,0,10,0,17
Burke,,,75,1,64,0,140
Burlington,-,"Chittenden 6-1",359,5,199,0,563
Burlington,-,"Chittenden 6-2",113,3,75,0,191
Burlington,-,"Chittenden 6-3",54,1,39,0,94
Burlington,-,"Chittenden 6-4",47,2,28,0,77
Burlington,-,"Chittenden 6-5",208,1,126,0,335
Burlington,-,"Chittenden 6-6",24,1,21,0,46
Burlington,-,"Chittenden 6-7",1,0,2,0,3
Cabot,,,76,1,60,0,137
Calais,,,98,7,49,0,154
Cambridge,,,184,5,115,0,304
Canaan,,,44,1,20,0,65
Castleton,,,285,2,93,0,380
Cavendish,,,79,0,28,0,107
Charleston,,,55,2,31,0,88
Charlotte,,,215,4,159,1,379
Chelsea,,,95,5,51,1,152
Chester,,,133,1,47,1,182
Chittenden,,,103,0,50,0,153
Clarendon,,,178,3,76,0,257
Colchester,-,"Chittenden 9-1",298,3,159,0,460
Colchester,-,"Chittenden 9-2",474,3,258,0,735
Concord,,,78,4,55,0,137
Corinth,,,56,0,41,1,98
Cornwall,,,74,1,36,1,112
Coventry,,,63,2,48,0,113
Craftsbury,,,46,3,52,0,101
Danby,,,100,1,40,0,141
Danville,,,150,2,108,0,260
Derby,,,263,7,125,0,395
Dorset,,,108,0,84,0,192
Dover,,,61,0,32,0,93
Dummerston,,,65,0,29,0,94
Duxbury,,,81,6,65,0,152
"E. Haven",,,26,0,10,0,36
"E. Montpelier",,,171,6,90,0,267
Eden,,,49,3,53,1,106
Elmore,,,54,0,31,0,85
Enosburgh,,,108,4,62,0,174
Essex,-,"Chittenden 8-1",466,8,160,1,635
Essex,-,"Chittenden 8-2",537,5,187,0,729
Essex,-,"Chittenden 8-3",141,2,63,0,206
"Fair Haven",,,161,1,68,0,230
Fairfax,,,301,0,158,0,459
Fairfield,,,93,4,65,0,162
Fairlee,,,37,0,30,0,67
Fayston,,,69,1,57,0,127
Ferrisburgh,,,203,0,98,1,302
Fletcher,,,69,0,47,0,116
Franklin,,,80,2,47,0,129
Georgia,,,320,3,152,0,475
Glover,,,59,5,44,0,108
Goshen,,,17,1,8,0,26
Grafton,,,27,0,15,0,42
Granby,,,11,0,8,0,19
"Grand Isle",,,139,8,58,0,205
Granville,,,14,2,9,0,25
Greensboro,,,24,0,25,0,49
Groton,,,66,1,55,0,122
Guildhall,,,21,0,15,0,36
