City/Town,Ward,Pct,"T.J. Donovan","H. Brooke Paige",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Addison,,,67,22,0,18,0,107
Albany,,,59,10,1,21,0,91
Alburgh,,,119,23,1,25,0,168
Andover,,,38,21,0,19,0,78
Arlington,,,123,59,0,31,0,213
Athens,,,16,7,0,11,0,34
Bakersfield,,,96,14,3,14,0,127
Baltimore,,,15,8,2,1,0,26
Barnard,,,77,30,0,43,0,150
Barnet,,,114,31,2,32,0,179
"Barre City",,,430,139,2,59,0,630
"Barre Town",,,414,129,6,46,0,595
Barton,,,96,23,3,23,1,146
Belvidere,,,18,0,0,2,1,21
Bennington,-,"Bennington 2-1",444,130,2,189,0,765
Bennington,-,"Bennington 2-2",323,97,0,93,0,513
Benson,,,46,10,1,9,0,66
Berkshire,,,61,11,0,9,0,81
Berlin,,,172,63,2,46,0,283
Bethel,,,161,59,0,36,0,256
Bloomfield,,,13,6,0,5,1,25
Bolton,,,123,26,0,15,0,164
Bradford,,,133,64,1,39,0,237
Braintree,,,77,26,0,16,0,119
Brandon,,,255,70,1,48,0,374
Brattleboro,-,"Windham 2-1",281,116,5,162,0,564
Brattleboro,-,"Windham 2-2",301,107,2,159,0,569
Brattleboro,-,"Windham 2-3",350,125,0,173,0,648
Bridgewater,,,68,25,0,23,0,116
Bridport,,,83,17,0,21,0,121
Brighton,,,42,8,0,14,0,64
Bristol,,,333,70,0,82,0,485
Brookfield,,,117,40,0,27,0,184
Brookline,,,39,27,0,14,0,80
Brownington,,,33,10,2,10,0,55
Brunswick,,,6,2,0,3,0,11
Burke,,,62,20,0,22,0,104
Burlington,-,"Chittenden 6-1","1,126",113,2,123,1,"1,365"
Burlington,-,"Chittenden 6-2",666,81,3,101,0,851
Burlington,-,"Chittenden 6-3",739,123,2,187,0,"1,051"
Burlington,-,"Chittenden 6-4",594,66,2,121,0,783
Burlington,-,"Chittenden 6-5","1,452",139,8,217,0,"1,816"
Burlington,-,"Chittenden 6-6",215,19,2,37,0,273
Burlington,-,"Chittenden 6-7",26,5,1,8,0,40
Cabot,,,118,41,0,38,0,197
Calais,,,239,60,0,96,0,395
Cambridge,,,246,44,0,42,0,332
Canaan,,,18,8,0,10,0,36
Castleton,,,159,53,1,43,0,256
Cavendish,,,85,30,0,25,0,140
Charleston,,,51,15,1,10,0,77
Charlotte,,,591,57,2,92,0,742
Chelsea,,,66,30,1,23,0,120
Chester,,,260,111,1,96,0,468
Chittenden,,,79,33,0,25,0,137
Clarendon,,,98,30,0,17,0,145
Colchester,-,"Chittenden 9-1",431,50,2,40,1,524
Colchester,-,"Chittenden 9-2",646,86,2,79,0,813
Concord,,,51,17,0,10,0,78
Corinth,,,101,38,1,30,0,170
Cornwall,,,167,26,0,49,0,242
Coventry,,,42,13,1,4,0,60
Craftsbury,,,106,23,0,40,0,169
Danby,,,70,28,2,23,0,123
Danville,,,191,42,2,34,0,269
Derby,,,220,52,2,42,0,316
Dorset,,,138,73,0,69,0,280
Dover,,,62,22,0,33,0,117
Dummerston,,,209,76,1,99,0,385
Duxbury,,,136,39,1,40,0,216
"E. Haven",,,15,7,2,4,0,28
"E. Montpelier",,,369,135,3,117,0,624
Eden,,,64,7,0,12,0,83
Elmore,,,106,51,2,31,0,190
Enosburgh,,,120,21,0,29,0,170
Essex,-,"Chittenden 8-1",657,87,2,71,0,817
Essex,-,"Chittenden 8-2",763,91,2,83,0,939
Essex,-,"Chittenden 8-3",232,19,1,45,0,297
"Fair Haven",,,92,32,0,13,0,137
Fairfax,,,241,47,0,28,0,316
Fairfield,,,136,18,1,20,0,175
Fairlee,,,67,26,0,25,0,118
Fayston,,,112,38,0,39,0,189
Ferrisburgh,,,267,36,0,38,1,342
Fletcher,,,106,24,1,17,0,148
Franklin,,,63,7,1,8,0,79
Georgia,,,195,39,0,14,0,248
Glover,,,76,29,1,23,0,129
Goshen,,,22,11,0,7,0,40
Grafton,,,57,26,1,44,0,128
Granby,,,4,0,0,0,0,4
"Grand Isle",,,247,27,1,32,0,307
Granville,,,29,12,0,7,0,48
Greensboro,,,88,24,1,26,0,139
Groton,,,36,24,0,16,0,76
Guildhall,,,22,3,1,4,0,30
Guilford,,,176,80,4,75,2,337
Halifax,,,69,49,1,61,0,180
Hancock,,,33,4,0,5,0,42
Hardwick,,,167,48,1,45,0,261
Hartford,-,"Windsor 4-1",139,47,1,66,0,253
Hartford,-,"Windsor 4-2",584,219,3,207,0,"1,013"
Hartland,,,404,147,1,164,0,716
Highgate,,,139,20,1,18,2,180
Hinesburg,-,"Chittenden 4-1",7,0,0,1,0,8
Hinesburg,-,"Chittenden 4-2",601,64,3,93,2,763
Holland,,,25,4,0,3,0,32
Hubbardton,,,30,19,0,3,0,52
Huntington,,,300,46,0,40,0,386
"Hyde Park",,,235,74,1,47,0,357
Ira,,,29,7,0,7,0,43
Irasburg,,,54,16,2,10,0,82
"Isle La Motte",,,64,8,0,11,0,83
Jamaica,,,71,38,0,19,0,128
Jay,,,22,5,0,9,0,36
Jericho,,,670,88,1,73,0,832
Johnson,,,159,41,1,45,0,246
Killington,,,58,19,0,20,0,97
Kirby,,,50,11,0,13,0,74
Landgrove,,,19,12,0,11,0,42
Leicester,,,63,6,0,14,0,83
Lemington,,,0,3,0,0,0,3
Lincoln,,,189,37,0,68,0,294
Londonderry,,,93,40,0,45,0,178
Lowell,,,38,12,1,10,0,61
Ludlow,,,139,50,0,49,0,238
Lunenburg,,,34,14,1,9,0,58
Lyndon,,,124,41,4,28,0,197
Maidstone,,,14,8,0,4,0,26
Manchester,,,209,77,1,92,0,379
Marlboro,,,113,47,0,89,0,249
Marshfield,,,115,42,0,43,1,201
Mendon,,,63,16,0,16,0,95
Middlebury,,,829,185,1,261,0,"1,276"
Middlesex,,,283,82,1,82,0,448
"Middletown Springs",,,64,19,0,22,1,106
Milton,-,"Chittenden 10",409,79,0,37,0,525
Milton,-,"Grand Isle-Chittenden",93,13,0,7,0,113
Monkton,,,226,36,0,37,0,299
Montgomery,,,87,23,0,27,0,137
Montpelier,,,"1,370",342,6,388,0,"2,106"
Moretown,,,187,43,1,44,0,275
Morgan,,,28,6,0,3,0,37
Morristown,,,490,145,9,129,0,773
"Mount Holly",,,88,26,1,31,0,146
"Mount Tabor",,,9,1,0,2,0,12
"New Haven",,,175,36,0,44,0,255
Newark,,,36,13,2,17,0,68
Newbury,,,129,61,1,34,0,225
Newfane,,,216,83,0,104,0,403
"Newport City",,,165,55,1,32,0,253
"Newport Town",,,59,13,1,8,0,81
"N. Hero",,,141,22,0,25,0,188
Northfield,,,256,76,1,53,0,386
Norton,,,9,1,0,2,0,12
Norwich,,,459,170,2,340,0,971
Orange,,,43,24,0,15,0,82
Orwell,,,73,19,0,10,0,102
Panton,,,45,10,1,6,0,62
Pawlet,,,85,37,0,37,1,160
Peacham,,,92,26,0,35,0,153
Peru,,,32,10,0,9,0,51
Pittsfield,,,38,9,1,13,0,61
Pittsford,,,142,37,1,38,0,218
Plainfield,,,135,50,0,52,0,237
Plymouth,,,28,20,1,24,0,73
Pomfret,,,135,34,0,37,0,206
Poultney,,,106,52,0,30,0,188
Pownal,,,106,50,0,31,0,187
Proctor,,,75,22,1,17,0,115
Putney,,,204,99,1,128,0,432
Randolph,,,323,141,1,77,0,542
Reading,,,60,33,2,40,1,136
Readsboro,,,30,19,0,12,0,61
Richford,,,85,22,0,11,0,118
Richmond,,,683,105,0,99,0,887
Ripton,,,86,11,0,31,0,128
Rochester,,,118,41,0,39,0,198
Rockingham,,,340,118,0,112,1,571
Roxbury,,,48,18,1,18,0,85
Royalton,,,190,77,0,49,0,316
Rupert,,,45,33,0,19,0,97
"Rutland City",-,"Rutland 5-1",280,47,0,50,0,377
"Rutland City",-,"Rutland 5-2",196,34,0,29,1,260
"Rutland City",-,"Rutland 5-3",102,24,0,19,0,145
"Rutland City",-,"Rutland 5-4",159,51,0,39,1,250
"Rutland Town",,,229,62,2,53,0,346
Ryegate,,,61,27,0,15,1,104
Salisbury,,,93,9,0,20,0,122
Sandgate,,,23,19,0,7,0,49
Searsburg,,,2,1,0,0,0,3
Shaftsbury,,,155,71,0,63,0,289
Sharon,,,136,54,0,45,0,235
Sheffield,,,26,13,1,11,0,51
Shelburne,-,"Chittenden 5-1",738,76,1,109,0,924
Shelburne,-,"Chittenden 5-2",453,28,1,49,0,531
Sheldon,,,70,11,0,9,0,90
Shoreham,,,108,22,0,36,0,166
Shrewsbury,,,100,24,0,17,0,141
"S. Burlington",-,"Chittenden 7-1",711,41,0,80,0,832
"S. Burlington",-,"Chittenden 7-2",652,47,1,79,1,780
"S. Burlington",-,"Chittenden 7-3",547,54,1,52,1,655
"S. Burlington",-,"Chittenden 7-4",506,72,0,55,0,633
"S. Hero",,,384,49,1,55,0,489
Springfield,-,"Windsor 3-1",18,14,0,4,0,36
Springfield,-,"Windsor 3-2",521,158,3,103,0,785
"St. Albans City",,,365,64,1,0,33,463
"St. Albans Town",-,"Franklin 3-1",111,17,0,7,0,135
"St. Albans Town",-,"Franklin 3-2",228,40,3,26,1,298
"St. George",,,57,6,0,9,1,73
"St. Johnsbury",,,339,83,1,54,0,477
Stamford,,,31,8,1,16,1,57
Stannard,,,22,4,0,6,0,32
Starksboro,,,194,41,0,38,0,273
Stockbridge,,,50,22,2,20,0,94
Stowe,,,395,132,0,129,0,656
Strafford,,,159,71,0,74,0,304
Stratton,,,7,3,0,4,0,14
Sudbury,,,43,6,0,15,0,64
Sunderland,-,"Bennington 3",10,5,0,1,0,16
Sunderland,-,"Bennington 4",28,14,0,12,0,54
Sutton,,,33,17,1,18,0,69
Swanton,,,273,43,0,19,0,335
Thetford,,,332,125,2,182,0,641
Tinmouth,-,"Rutland 2",9,5,0,2,0,16
Tinmouth,-,Rutland-Bennington,41,10,0,7,0,58
Topsham,,,37,21,0,11,0,69
Townshend,,,79,38,0,40,0,157
Troy,-,"Orleans 2",15,2,0,2,0,19
Troy,-,Orleans-Lamoille,66,17,3,14,0,100
Tunbridge,,,106,37,1,30,0,174
Underhill,,,402,59,0,58,0,519
Vergennes,,,201,35,1,44,0,281
Vernon,,,114,35,0,59,0,208
Vershire,,,49,25,0,14,0,88
Victory,,,4,1,1,1,0,7
Waitsfield,,,205,82,0,68,0,355
Walden,,,65,26,1,23,0,115
Wallingford,,,123,45,0,22,0,190
Waltham,,,51,12,0,7,0,70
Wardsboro,,,48,20,2,7,0,77
Warren,,,154,63,0,78,0,295
Washington,,,63,13,0,9,0,85
Waterbury,,,659,171,0,155,1,986
Waterford,,,48,13,0,4,0,65
Waterville,,,46,9,0,14,0,69
Weathersfield,,,208,75,3,47,0,333
Wells,,,47,12,0,8,0,67
"W. Fairlee",,,25,11,0,10,0,46
"W. Haven",,,13,4,0,3,0,20
"W. Rutland",,,74,20,0,15,0,109
"W. Windsor",,,105,56,1,59,1,222
Westfield,,,48,11,2,14,1,76
Westford,,,165,31,0,28,0,224
Westminster,-,"Windham 3",9,4,0,4,0,17
Westminster,-,"Windham 4",242,111,0,128,0,481
Westmore,,,21,9,0,6,0,36
Weston,,,66,23,1,48,0,138
Weybridge,,,122,28,0,39,0,189
Wheelock,,,43,18,0,12,0,73
Whiting,,,24,6,0,4,0,34
Whitingham,-,"Windham 6",30,28,0,20,1,79
Whitingham,-,Windham-Bennington,2,1,0,1,0,4
Williamstown,,,122,53,2,26,1,204
Williston,,,957,124,2,123,0,"1,206"
Wilmington,,,88,44,0,48,0,180
Windham,,,52,19,1,23,0,95
Windsor,,,308,113,0,82,0,503
Winhall,,,53,28,1,20,0,102
Winooski,,,630,112,2,118,0,862
Wolcott,,,107,26,3,21,0,157
Woodbury,,,85,34,1,29,0,149
Woodford,,,13,11,0,7,0,31
Woodstock,,,428,162,0,216,0,806
Worcester,,,155,60,4,47,0,266
TOTALS,,,"49,017","11,917",214,"11,951",63,"73,162"
