City/Town,Ward,Pct,"Deborah ""Deb"" Bucknam",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Addison,,,149,6,42,0,197
Albany,,,75,2,29,0,106
Alburgh,,,94,19,25,0,138
Andover,,,51,0,16,0,67
Arlington,,,112,1,30,1,144
Athens,,,11,0,8,0,19
Bakersfield,,,45,17,25,0,87
Baltimore,,,16,0,3,0,19
Barnard,,,51,1,16,0,68
Barnet,,,134,2,44,0,180
"Barre City",,,481,43,191,0,715
"Barre Town",,,821,106,302,0,"1,229"
Barton,,,122,19,47,0,188
Belvidere,,,21,1,12,0,34
Bennington,-,"Bennington 2-1",143,5,73,0,221
Bennington,-,"Bennington 2-2",142,1,65,0,208
Benson,,,56,1,23,1,81
Berkshire,,,81,7,22,0,110
Berlin,,,219,26,152,0,397
Bethel,,,112,6,32,0,150
Bloomfield,,,10,0,3,1,14
Bolton,,,88,0,32,0,120
Bradford,,,102,12,36,0,150
Braintree,,,78,4,36,0,118
Brandon,,,240,13,83,0,336
Brattleboro,-,"Windham 2-1",61,2,36,0,99
Brattleboro,-,"Windham 2-2",40,4,12,0,56
Brattleboro,-,"Windham 2-3",48,0,22,0,70
Bridgewater,,,43,2,19,0,64
Bridport,,,99,4,32,0,135
Brighton,,,82,2,38,0,122
Bristol,,,219,9,56,1,285
Brookfield,,,100,6,49,0,155
Brookline,,,17,1,8,0,26
Brownington,,,38,3,14,1,56
Brunswick,,,10,2,5,0,17
Burke,,,95,2,43,0,140
Burlington,-,"Chittenden 6-1",348,25,190,0,563
Burlington,-,"Chittenden 6-2",118,6,67,0,191
Burlington,-,"Chittenden 6-3",59,3,32,0,94
Burlington,-,"Chittenden 6-4",45,3,29,0,77
Burlington,-,"Chittenden 6-5",195,8,132,0,335
Burlington,-,"Chittenden 6-6",28,0,18,0,46
Burlington,-,"Chittenden 6-7",1,1,1,0,3
Cabot,,,91,3,43,0,137
Calais,,,95,6,53,0,154
Cambridge,,,191,10,103,0,304
Canaan,,,48,2,15,0,65
Castleton,,,289,3,88,0,380
Cavendish,,,79,1,27,0,107
Charleston,,,63,2,22,1,88
Charlotte,,,220,8,150,1,379
Chelsea,,,91,9,51,1,152
Chester,,,140,4,38,0,182
Chittenden,,,115,1,37,0,153
Clarendon,,,189,3,65,0,257
Colchester,-,"Chittenden 9-1",277,9,174,0,460
Colchester,-,"Chittenden 9-2",455,21,258,1,735
Concord,,,101,7,29,0,137
Corinth,,,58,8,32,0,98
Cornwall,,,82,4,26,0,112
Coventry,,,80,1,32,0,113
Craftsbury,,,56,1,44,0,101
Danby,,,97,6,38,0,141
Danville,,,188,2,70,0,260
Derby,,,287,13,95,0,395
Dorset,,,125,0,67,0,192
Dover,,,67,0,26,0,93
Dummerston,,,70,0,24,0,94
Duxbury,,,82,15,55,0,152
"E. Haven",,,31,1,4,0,36
"E. Montpelier",,,179,10,78,0,267
Eden,,,59,7,40,0,106
Elmore,,,53,3,29,0,85
Enosburgh,,,117,7,50,0,174
Essex,-,"Chittenden 8-1",437,10,188,0,635
Essex,-,"Chittenden 8-2",508,9,212,0,729
Essex,-,"Chittenden 8-3",132,6,68,0,206
"Fair Haven",,,176,8,46,0,230
Fairfax,,,318,7,133,1,459
Fairfield,,,95,11,56,0,162
Fairlee,,,45,1,21,0,67
Fayston,,,75,4,48,0,127
Ferrisburgh,,,216,2,84,0,302
Fletcher,,,78,2,36,0,116
Franklin,,,82,8,39,0,129
Georgia,,,325,10,137,3,475
Glover,,,71,7,30,0,108
Goshen,,,18,3,5,0,26
Grafton,,,26,0,16,0,42
Granby,,,14,0,5,0,19
"Grand Isle",,,141,11,53,0,205
Granville,,,14,3,8,0,25
Greensboro,,,33,1,15,0,49
Groton,,,81,1,40,0,122
Guildhall,,,26,0,10,0,36
Guilford,,,58,3,14,0,75
Halifax,,,60,0,33,0,93
Hancock,,,13,0,9,0,22
Hardwick,,,183,4,55,0,242
Hartford,-,"Windsor 4-1",85,2,28,1,116
