City/Town,Ward,Pct,"Sue Minter","Matt Dunne","Peter W. Galbraith","Cris Ericson","H. Brooke Paige",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,,,
Addison,,,53,41,7,1,0,3,2,0,107
Albany,,,28,38,19,0,0,3,3,0,91
Alburgh,,,76,61,12,3,1,11,4,0,168
Andover,,,25,42,8,1,0,1,1,0,78
Arlington,,,101,83,17,7,1,0,4,0,213
Athens,,,10,11,10,1,0,1,1,0,34
Bakersfield,,,49,47,13,3,1,11,3,0,127
Baltimore,,,3,19,1,2,0,1,0,0,26
Barnard,,,50,82,12,1,0,1,4,0,150
Barnet,,,73,72,23,1,3,3,4,0,179
"Barre City",,,279,232,59,3,12,26,19,0,630
"Barre Town",,,257,204,45,3,7,75,4,0,595
Barton,,,43,49,27,0,0,20,7,0,146
Belvidere,,,13,3,4,0,0,1,0,0,21
Bennington,-,"Bennington 2-1",340,283,61,20,9,11,41,0,765
Bennington,-,"Bennington 2-2",200,239,39,9,5,3,18,0,513
Benson,,,25,37,3,0,0,1,0,0,66
Berkshire,,,30,40,3,1,0,5,2,0,81
Berlin,,,134,95,21,4,0,23,6,0,283
Bethel,,,114,114,15,2,0,8,3,0,256
Bloomfield,,,5,17,1,1,0,0,1,0,25
Bolton,,,86,65,7,1,1,1,3,0,164
Bradford,,,107,97,19,1,0,6,7,0,237
Braintree,,,52,55,5,2,0,2,3,0,119
Brandon,,,203,126,36,0,0,4,5,0,374
Brattleboro,-,"Windham 2-1",245,262,44,3,0,8,2,0,564
Brattleboro,-,"Windham 2-2",261,220,75,3,2,1,7,0,569
Brattleboro,-,"Windham 2-3",316,239,82,6,1,3,1,0,648
Bridgewater,,,37,66,5,0,2,4,1,1,116
Bridport,,,50,44,12,0,1,11,0,3,121
Brighton,,,21,23,13,2,0,4,1,0,64
Bristol,,,264,163,35,3,2,8,10,0,485
Brookfield,,,98,56,26,0,2,2,0,0,184
Brookline,,,19,38,21,1,0,0,1,0,80
Brownington,,,14,18,11,0,0,8,4,0,55
Brunswick,,,4,5,0,0,0,2,0,0,11
Burke,,,40,37,21,1,1,3,1,0,104
Burlington,-,"Chittenden 6-1",811,444,64,5,8,8,24,1,"1,365"
Burlington,-,"Chittenden 6-2",510,284,41,1,2,0,13,0,851
Burlington,-,"Chittenden 6-3",543,392,77,5,3,2,29,0,"1,051"
Burlington,-,"Chittenden 6-4",486,227,39,3,2,2,22,2,783
Burlington,-,"Chittenden 6-5","1,167",503,99,7,4,7,29,0,"1,816"
Burlington,-,"Chittenden 6-6",159,85,19,2,0,1,7,0,273
Burlington,-,"Chittenden 6-7",21,16,2,1,0,0,0,0,40
Cabot,,,88,78,17,1,4,3,6,0,197
Calais,,,223,109,56,1,1,4,1,0,395
Cambridge,,,161,116,32,4,0,13,6,0,332
Canaan,,,11,20,3,0,0,0,2,0,36
Castleton,,,111,93,33,7,1,4,7,0,256
Cavendish,,,37,77,11,7,0,2,5,1,140
Charleston,,,25,31,19,0,0,2,0,0,77
Charlotte,,,480,203,41,2,0,2,14,0,742
Chelsea,,,48,49,12,1,0,8,2,0,120
Chester,,,144,219,56,15,1,9,24,0,468
Chittenden,,,72,45,14,1,1,0,4,0,137
Clarendon,,,71,49,17,1,0,1,6,0,145
