City/Town,Ward,Pct,"Phil Scott","Bruce M. Lisman",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Addison,,,124,71,0,1,1,197
Albany,,,77,29,0,0,0,106
Alburgh,,,81,57,0,0,0,138
Andover,,,22,44,0,1,0,67
Arlington,,,58,86,0,0,0,144
Athens,,,14,5,0,0,0,19
Bakersfield,,,53,31,2,1,0,87
Baltimore,,,7,12,0,0,0,19
Barnard,,,34,33,0,1,0,68
Barnet,,,135,44,0,1,0,180
"Barre City",,,571,133,3,8,0,715
"Barre Town",,,"1,004",216,1,4,4,"1,229"
Barton,,,116,66,1,5,0,188
Belvidere,,,25,8,0,1,0,34
Bennington,-,"Bennington 2-1",84,132,1,4,0,221
Bennington,-,"Bennington 2-2",102,93,3,10,0,208
Benson,,,48,31,0,2,0,81
Berkshire,,,59,48,1,2,0,110
Berlin,,,341,52,0,4,0,397
Bethel,,,103,45,0,2,0,150
Bloomfield,,,10,3,0,0,1,14
Bolton,,,86,34,0,0,0,120
Bradford,,,107,41,2,0,0,150
Braintree,,,84,31,0,3,0,118
Brandon,,,207,128,0,1,0,336
Brattleboro,-,"Windham 2-1",61,38,0,0,0,99
Brattleboro,-,"Windham 2-2",28,27,0,1,0,56
Brattleboro,-,"Windham 2-3",34,36,0,0,0,70
Bridgewater,,,35,28,1,0,0,64
Bridport,,,97,36,0,2,0,135
Brighton,,,68,53,0,1,0,122
Bristol,,,150,135,0,0,0,285
Brookfield,,,118,36,0,1,0,155
Brookline,,,12,14,0,0,0,26
Brownington,,,34,21,0,1,0,56
Brunswick,,,11,6,0,0,0,17
Burke,,,94,42,0,4,0,140
Burlington,-,"Chittenden 6-1",312,249,0,2,0,563
Burlington,-,"Chittenden 6-2",97,93,1,0,0,191
Burlington,-,"Chittenden 6-3",42,50,1,1,0,94
Burlington,-,"Chittenden 6-4",40,36,0,0,1,77
Burlington,-,"Chittenden 6-5",169,162,2,1,1,335
Burlington,-,"Chittenden 6-6",21,25,0,0,0,46
Burlington,-,"Chittenden 6-7",1,2,0,0,0,3
Cabot,,,104,31,0,2,0,137
Calais,,,127,27,0,0,0,154
Cambridge,,,223,78,3,0,0,304
Canaan,,,37,27,1,0,0,65
Castleton,,,218,162,0,0,0,380
Cavendish,,,48,59,0,0,0,107
Charleston,,,53,34,0,1,0,88
Charlotte,,,127,252,0,0,0,379
Chelsea,,,93,51,2,3,3,152
Chester,,,82,98,1,1,0,182
Chittenden,,,67,86,0,0,0,153
Clarendon,,,115,141,1,0,0,257
Colchester,-,"Chittenden 9-1",246,212,1,1,0,460
Colchester,-,"Chittenden 9-2",409,323,1,2,0,735
Concord,,,87,49,0,1,0,137
Corinth,,,67,31,0,0,0,98
Cornwall,,,74,37,0,1,0,112
Coventry,,,58,51,1,3,0,113
Craftsbury,,,77,21,0,1,2,101
Danby,,,51,88,1,1,0,141
Danville,,,205,54,0,1,0,260
