City/Town,Ward,Pct,"David Zuckerman","Shap Smith","Kesha Ram",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,
Addison,,,45,42,14,2,4,0,107
Albany,,,49,22,15,0,5,0,91
Alburgh,,,89,52,16,2,9,0,168
Andover,,,35,25,12,0,6,0,78
Arlington,,,55,79,60,0,19,0,213
Athens,,,18,5,7,0,4,0,34
Bakersfield,,,59,46,15,4,3,0,127
Baltimore,,,16,6,3,0,1,0,26
Barnard,,,62,41,37,0,10,0,150
Barnet,,,82,60,31,1,5,0,179
"Barre City",,,289,244,75,2,20,0,630
"Barre Town",,,246,244,78,9,18,0,595
Barton,,,62,59,14,6,5,0,146
Belvidere,,,9,8,3,1,0,0,21
Bennington,-,"Bennington 2-1",210,320,153,1,81,0,765
Bennington,-,"Bennington 2-2",163,198,116,1,35,0,513
Benson,,,32,19,12,1,2,0,66
Berkshire,,,32,29,17,2,1,0,81
Berlin,,,133,105,28,0,17,0,283
Bethel,,,135,83,27,1,9,1,256
Bloomfield,,,8,11,5,0,1,0,25
Bolton,,,93,41,26,0,4,0,164
Bradford,,,77,115,31,1,13,0,237
Braintree,,,54,49,16,0,0,0,119
Brandon,,,177,138,49,1,9,0,374
Brattleboro,-,"Windham 2-1",237,197,112,0,18,0,564
Brattleboro,-,"Windham 2-2",231,207,110,1,20,0,569
Brattleboro,-,"Windham 2-3",287,230,107,1,23,0,648
Bridgewater,,,41,40,24,1,10,0,116
Bridport,,,46,46,20,1,8,0,121
Brighton,,,38,11,6,0,9,0,64
Bristol,,,240,167,63,1,14,0,485
Brookfield,,,66,90,24,1,3,0,184
Brookline,,,42,24,11,0,3,0,80
Brownington,,,28,13,7,1,6,0,55
Brunswick,,,4,7,0,0,0,0,11
Burke,,,49,38,10,0,7,0,104
Burlington,-,"Chittenden 6-1",583,400,353,0,28,1,"1,365"
Burlington,-,"Chittenden 6-2",441,223,176,0,11,0,851
Burlington,-,"Chittenden 6-3",553,193,269,3,33,0,"1,051"
Burlington,-,"Chittenden 6-4",332,178,253,0,20,0,783
Burlington,-,"Chittenden 6-5",769,539,475,1,32,0,"1,816"
Burlington,-,"Chittenden 6-6",108,88,72,0,5,0,273
Burlington,-,"Chittenden 6-7",26,3,9,0,2,0,40
Cabot,,,117,51,21,0,8,0,197
Calais,,,202,145,41,1,6,0,395
Cambridge,,,143,140,43,0,6,0,332
Canaan,,,13,16,2,0,5,0,36
Castleton,,,104,94,47,0,11,0,256
