City/Town,Ward,Pct,"David Zuckerman","Boots Wardinski",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Arlington,,,0,0,0,1,0,1
Bakersfield,,,2,1,2,0,0,5
"Barre City",,,1,2,0,0,0,3
"Barre Town",,,4,0,2,0,0,6
Barton,,,1,0,0,0,0,1
Belvidere,,,0,0,0,1,0,1
Bennington,-,"Bennington 2-1",2,3,0,4,0,9
Bennington,-,"Bennington 2-2",2,2,0,2,0,6
Benson,,,0,1,0,0,0,1
Berlin,,,4,1,0,1,0,6
Bethel,,,4,0,0,2,0,6
Bolton,,,0,0,0,1,0,1
Bradford,,,0,1,0,0,0,1
Braintree,,,0,0,1,1,0,2
Brandon,,,0,1,0,0,0,1
Brattleboro,-,"Windham 2-1",0,1,0,0,1
Brattleboro,-,"Windham 2-2",2,1,0,0,0,3
Brattleboro,-,"Windham 2-3",7,3,0,1,0,11
Bridgewater,,,0,0,0,1,0,1
Bridport,,,0,0,0,3,0,3
Bristol,,,0,1,0,0,0,1
Brookfield,,,0,1,0,1,0,2
Burke,,,0,0,0,0,1,1
Burlington,-,"Chittenden 6-1",2,1,0,0,3
Burlington,-,"Chittenden 6-2",11,1,0,1,0,13
Burlington,-,"Chittenden 6-3",13,3,1,1,0,18
Burlington,-,"Chittenden 6-4",7,0,0,1,0,8
Burlington,-,"Chittenden 6-5",9,2,0,0,0,11
Burlington,-,"Chittenden 6-6",2,0,0,0,2
Burlington,-,"Chittenden 6-7",0,0,0,0,0
Cabot,,,2,0,0,0,0,2
Calais,,,4,0,0,0,0,4
Cambridge,,,0,0,2,2,0,4
Canaan,,,0,0,0,1,0,1
Castleton,,,0,2,0,3,0,5
Cavendish,,,0,1,0,0,0,1
Charleston,,,1,3,0,0,0,4
Charlotte,,,2,0,0,2,0,4
Chester,,,0,1,0,1,0,2
Clarendon,,,0,1,0,2,0,3
Colchester,-,"Chittenden 9-1",2,1,0,1,1,5
Colchester,-,"Chittenden 9-2",2,0,1,0,0,3
Corinth,,,0,2,0,0,0,2
Coventry,,,0,0,1,1,0,2
Craftsbury,,,1,0,0,0,0,1
Danby,,,0,1,0,1,0,2
Derby,,,1,0,0,1,0,2
Dorset,,,0,1,0,4,0,5
Dover,,,0,1,0,0,0,1
Dummerston,,,0,3,0,1,0,4
Duxbury,,,0,0,1,0,0,1
"E. Montpelier",,,0,1,0,0,0,1
Eden,,,1,0,2,0,0,3
Elmore,,,0,0,0,1,0,1
Enosburgh,,,10,0,2,1,0,13
Essex,-,"Chittenden 8-1",0,0,1,0,1
Essex,-,"Chittenden 8-2",0,1,1,0,3
Essex,-,"Chittenden 8-3",0,0,0,0,0
"Fair Haven",,,2,0,0,0,0,2
Fairfax,,,0,1,0,0,0,1
Fairfield,,,0,0,1,0,0,1
Fairlee,,,0,1,0,0,0,1
Fayston,,,0,1,1,0,0,2
Ferrisburgh,,,1,2,0,0,0,3
Fletcher,,,2,0,0,0,0,2
Franklin,,,3,1,1,1,0,6
Georgia,,,1,0,1,0,0,2
Glover,,,0,1,0,1,0,2
Goshen,,,0,1,0,0,0,1
"Grand Isle",,,3,0,0,1,0,4
Groton,,,0,1,0,3,0,4
Guilford,,,5,0,0,1,0,6
