City/Town,Ward,Pct,"Randy Brock","David Zuckerman",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Addison,,,173,2,1,21,0,197
Albany,,,89,1,0,16,0,106
Alburgh,,,120,1,3,14,0,138
Andover,,,56,0,0,11,0,67
Arlington,,,116,0,1,27,0,144
Athens,,,16,0,0,3,0,19
Bakersfield,,,71,1,8,7,0,87
Baltimore,,,17,0,1,1,0,19
Barnard,,,58,0,1,9,0,68
Barnet,,,151,3,0,26,0,180
"Barre City",,,555,9,25,126,0,715
"Barre Town",,,"1,005",38,59,124,3,"1,229"
Barton,,,142,5,10,31,0,188
Belvidere,,,24,1,1,8,0,34
Bennington,-,"Bennington 2-1",167,2,52,0,221
Bennington,-,"Bennington 2-2",146,0,62,0,208
Benson,,,68,0,1,12,0,81
Berkshire,,,98,2,2,8,0,110
Berlin,,,293,13,12,78,1,397
Bethel,,,130,1,5,14,0,150
Bloomfield,,,10,0,0,3,1,14
Bolton,,,96,0,2,22,0,120
Bradford,,,114,6,8,21,1,150
Braintree,,,97,2,1,18,0,118
Brandon,,,284,8,3,41,0,336
Brattleboro,-,"Windham 2-1",79,1,19,0,99
Brattleboro,-,"Windham 2-2",50,1,4,0,56
Brattleboro,-,"Windham 2-3",57,2,11,0,70
Bridgewater,,,54,1,3,6,0,64
Bridport,,,119,1,2,13,0,135
Brighton,,,101,0,6,15,0,122
Bristol,,,247,3,5,30,0,285
Brookfield,,,125,1,4,25,0,155
Brookline,,,20,0,0,6,0,26
Brownington,,,46,0,2,8,0,56
Brunswick,,,9,1,0,7,0,17
Burke,,,101,2,1,36,0,140
Burlington,-,"Chittenden 6-1",447,4,9,102,1,563
Burlington,-,"Chittenden 6-2",152,7,32,0,191
Burlington,-,"Chittenden 6-3",63,1,1,29,0,94
Burlington,-,"Chittenden 6-4",66,1,1,9,0,77
Burlington,-,"Chittenden 6-5",255,1,7,72,0,335
Burlington,-,"Chittenden 6-6",37,1,8,0,46
Burlington,-,"Chittenden 6-7",3,0,0,0,3
Cabot,,,99,0,6,32,0,137
Calais,,,126,1,1,26,0,154
Cambridge,,,222,5,15,62,0,304
Canaan,,,51,3,0,11,0,65
Castleton,,,326,1,6,47,0,380
Cavendish,,,90,0,1,16,0,107
Charleston,,,72,2,1,12,1,88
Charlotte,,,280,3,3,92,1,379
Chelsea,,,124,6,5,16,1,152
Chester,,,156,3,2,21,0,182
Chittenden,,,124,0,1,28,0,153
Clarendon,,,213,0,4,40,0,257
Colchester,-,"Chittenden 9-1",363,2,6,88,1,460
Colchester,-,"Chittenden 9-2",589,2,7,136,1,735
Concord,,,114,2,3,17,1,137
Corinth,,,76,3,4,15,0,98
Cornwall,,,93,4,2,13,0,112
Coventry,,,87,5,3,18,0,113
Craftsbury,,,63,1,5,32,0,101
Danby,,,117,2,5,17,0,141
Danville,,,207,1,2,50,0,260
Derby,,,333,2,13,47,0,395
Dorset,,,145,0,0,47,0,192
Dover,,,75,0,0,18,0,93
Dummerston,,,80,1,0,13,0,94
Duxbury,,,112,5,7,28,0,152
"E. Haven",,,30,1,0,5,0,36
"E. Montpelier",,,217,2,7,41,0,267
Eden,,,77,5,10,14,0,106
Elmore,,,57,1,9,18,0,85
Enosburgh,,,152,0,2,20,0,174
Essex,-,"Chittenden 8-1",516,3,14,102,0,635
Essex,-,"Chittenden 8-2",604,1,6,118,0,729
Essex,-,"Chittenden 8-3",168,3,35,0,206
"Fair Haven",,,185,2,6,37,0,230
Fairfax,,,406,2,2,49,0,459
Fairfield,,,141,1,1,18,1,162
Fairlee,,,51,1,2,13,0,67
Fayston,,,100,3,3,21,0,127
Ferrisburgh,,,252,0,2,47,1,302
Fletcher,,,88,1,2,24,1,116
Franklin,,,110,4,4,11,0,129
Georgia,,,415,2,4,53,1,475
Glover,,,81,8,4,15,0,108
Goshen,,,21,0,1,4,0,26
Grafton,,,37,0,0,5,0,42
Granby,,,13,0,2,4,0,19
"Grand Isle",,,173,3,4,25,0,205
Granville,,,16,0,4,5,0,25
Greensboro,,,29,1,1,17,1,49
Groton,,,96,0,0,26,0,122
Guildhall,,,28,0,0,8,0,36
Guilford,,,58,1,2,14,0,75
Halifax,,,78,0,1,14,0,93
Hancock,,,15,2,0,5,0,22
Hardwick,,,179,4,4,55,0,242
Hartford,-,"Windsor 4-1",91,2,2,21,0,116
Hartford,-,"Windsor 4-2",243,2,7,42,2,296
Hartland,,,167,0,2,22,0,191
Highgate,,,243,6,8,15,1,273
Hinesburg,-,"Chittenden 4-1",2,0,1,0,3
Hinesburg,-,"Chittenden 4-2",228,1,60,3,294
Holland,,,58,2,1,14,0,75
Hubbardton,,,52,0,0,16,0,68
Huntington,,,80,0,2,30,0,112
"Hyde Park",,,278,8,22,51,1,360
Ira,,,41,1,2,6,0,50
Irasburg,,,90,8,6,14,0,118
"Isle La Motte",,,43,1,1,6,0,51
Jamaica,,,31,0,9,13,0,53
Jay,,,28,0,1,8,0,37
Jericho,,,413,1,5,58,1,478
Johnson,,,137,2,2,34,0,175
Killington,,,82,0,0,27,0,109
Kirby,,,70,2,1,14,0,87
Landgrove,,,16,0,0,2,0,18
Leicester,,,71,0,0,13,0,84
Lemington,,,4,0,0,3,0,7
Lincoln,,,92,0,1,21,0,114
Londonderry,,,75,2,6,14,0,97
Lowell,,,84,0,7,18,0,109
Ludlow,,,134,0,2,28,0,164
Lunenburg,,,70,0,4,14,0,88
Lyndon,,,318,3,4,44,1,370
Maidstone,,,22,0,0,6,0,28
Manchester,,,293,1,3,56,0,353
Marlboro,,,23,0,0,4,0,27
Marshfield,,,106,0,3,31,1,141
Mendon,,,136,0,1,19,0,156
Middlebury,,,305,0,4,35,0,344
Middlesex,,,154,0,2,35,0,191
"Middletown Springs",,,63,0,0,19,0,82
Milton,-,"Chittenden 10",732,8,127,0,873
Milton,-,"Grand Isle-Chittenden",142,0,26,0,168
Monkton,,,149,2,5,26,0,182
Montgomery,,,70,0,3,11,0,84
Montpelier,,,377,0,8,124,0,509
Moretown,,,132,3,4,51,0,190
Morgan,,,73,0,4,17,0,94
Morristown,,,370,14,60,85,1,530
"Mount Holly",,,104,1,1,19,0,125
"Mount Tabor",,,12,0,0,1,0,13
"New Haven",,,148,2,4,30,0,184
Newark,,,53,0,0,7,0,60
Newbury,,,139,3,1,37,1,181
Newfane,,,83,0,0,27,0,110
"Newport City",,,245,3,3,45,0,296
"Newport Town",,,89,5,5,17,1,117
"N. Hero",,,91,0,0,22,0,113
Northfield,,,403,0,9,109,0,521
Norton,,,13,1,0,4,0,18
Norwich,,,61,0,1,13,0,75
Orange,,,113,4,5,26,1,149
Orwell,,,135,0,5,21,0,161
Panton,,,63,2,1,10,0,76
Pawlet,,,81,0,1,25,0,107
Peacham,,,67,1,2,21,2,93
Peru,,,21,1,0,4,0,26
Pittsfield,,,43,0,0,13,0,56
Pittsford,,,225,10,1,50,0,286
Plainfield,,,73,4,2,18,0,97
Plymouth,,,66,0,0,9,0,75
Pomfret,,,59,0,1,10,1,71
Poultney,,,140,0,0,29,0,169
Pownal,,,87,0,0,28,0,115
Proctor,,,111,0,3,25,1,140
Putney,,,51,0,2,8,0,61
Randolph,,,311,2,4,68,2,387
Reading,,,36,0,0,4,0,40
Readsboro,,,24,0,0,11,0,35
Richford,,,110,1,0,12,0,123
Richmond,,,262,2,1,61,0,326
Ripton,,,19,1,1,8,0,29
Rochester,,,72,0,4,13,3,92
Rockingham,,,102,0,3,28,1,134
Roxbury,,,55,1,1,21,0,78
Royalton,,,122,0,1,13,0,136
Rupert,,,46,0,0,4,0,50
"Rutland City",-,"Rutland 5-1",331,0,94,15,440
"Rutland City",-,"Rutland 5-2",240,2,3,58,5,308
"Rutland City",-,"Rutland 5-3",120,0,28,4,152
"Rutland City",-,"Rutland 5-4",206,6,4,46,0,262
"Rutland Town",,,426,1,3,93,0,523
Ryegate,,,82,1,2,18,2,105
Salisbury,,,60,1,3,14,0,78
Sandgate,,,25,0,0,7,0,32
Searsburg,,,10,0,0,0,0,10
Shaftsbury,,,122,2,3,26,0,153
Sharon,,,54,3,2,9,0,68
Sheffield,,,41,1,2,9,0,53
Shelburne,-,"Chittenden 5-1",338,4,85,0,429
Shelburne,-,"Chittenden 5-2",281,5,59,0,345
Sheldon,,,121,5,5,21,0,152
Shoreham,,,68,0,0,15,0,83
Shrewsbury,,,89,1,2,25,0,117
"S. Burlington",-,"Chittenden 7-1",296,2,6,53,2,359
"S. Burlington",-,"Chittenden 7-2",366,3,2,81,0,452
"S. Burlington",-,"Chittenden 7-3",194,1,4,52,2,253
"S. Burlington",-,"Chittenden 7-4",281,4,71,0,356
"S. Hero",,,217,2,3,53,0,275
Springfield,-,"Windsor 3-1",16,0,3,0,19
Springfield,-,"Windsor 3-2",371,7,51,1,433
"St. Albans City",,,368,4,10,0,39,421
"St. Albans Town",-,"Franklin 3-1",183,1,1,13,0,198
"St. Albans Town",-,"Franklin 3-2",407,9,7,38,1,462
"St. George",,,37,1,1,5,1,45
"St. Johnsbury",,,424,6,6,70,1,507
Stamford,,,26,0,0,4,0,30
Stannard,,,6,0,2,1,0,9
Starksboro,,,129,0,0,30,1,160
Stockbridge,,,56,5,1,7,1,70
Stowe,,,342,4,12,63,0,421
Strafford,,,40,2,1,9,1,53
Stratton,,,23,0,0,1,0,24
Sudbury,,,47,0,4,5,0,56
Sunderland,-,"Bennington 3",6,0,3,0,9
Sunderland,-,"Bennington 4",34,1,7,0,42
Sutton,,,62,3,1,9,0,75
Swanton,,,505,5,8,21,0,539
Thetford,,,93,3,3,28,0,127
Tinmouth,-,"Rutland 2",6,0,0,0,6
Tinmouth,-,Rutland-Bennington,21,0,4,0,25
Topsham,,,79,0,2,32,1,114
Townshend,,,43,2,0,9,1,55
Troy,-,"Orleans 2",22,0,2,0,24
Troy,-,Orleans-Lamoille,49,2,12,0,63
Tunbridge,,,111,8,3,9,0,131
Underhill,,,270,0,3,44,0,317
Vergennes,,,149,2,4,31,0,186
Vernon,,,212,0,13,71,0,296
Vershire,,,45,0,1,10,1,57
Victory,,,13,4,2,3,1,23
Waitsfield,,,143,2,2,43,0,190
Walden,,,82,2,1,22,0,107
Wallingford,,,142,0,0,19,0,161
Waltham,,,32,2,3,12,0,49
Wardsboro,,,39,0,0,5,0,44
Warren,,,97,3,2,19,1,122
Washington,,,78,0,6,32,0,116
Waterbury,,,340,1,8,98,3,450
Waterford,,,128,0,2,0,17,147
Waterville,,,50,0,2,22,0,74
Weathersfield,,,197,0,2,29,0,228
Wells,,,72,0,0,15,0,87
"W. Fairlee",,,22,0,2,9,0,33
"W. Haven",,,15,1,0,2,0,18
"W. Rutland",,,152,2,0,32,0,186
"W. Windsor",,,65,1,1,13,0,80
Westfield,,,46,1,1,8,0,56
Westford,,,159,1,2,28,0,190
Westminster,-,"Windham 3",7,0,0,0,7
Westminster,-,"Windham 4",82,2,16,1,102
Westmore,,,36,0,0,8,0,44
Weston,,,41,2,1,6,0,50
Weybridge,,,65,0,0,7,0,72
Wheelock,,,69,2,1,11,2,85
Whiting,,,20,0,2,7,0,29
Whitingham,-,"Windham 6",48,1,7,0,56
Whitingham,-,Windham-Bennington,3,0,1,0,4
Williamstown,,,274,21,30,34,0,359
Williston,,,701,2,11,144,4,862
Wilmington,,,70,1,0,24,0,95
Windham,,,11,0,0,4,0,15
Windsor,,,101,1,1,17,0,120
Winhall,,,62,1,3,15,1,82
Winooski,,,172,0,0,47,0,219
Wolcott,,,91,1,12,27,0,131
Woodbury,,,89,4,1,25,0,119
Woodford,,,10,0,0,1,0,11
Woodstock,,,148,0,1,35,0,184
Worcester,,,59,1,6,28,0,94
TOTALS,,,"37,361",472,922,"7,488",151,"46,394"
