City/Town,Ward,Pct,"Bernie Sanders","Hillary Clinton","Martin J. O'Malley","Roque De La Fuente",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,,
Addison,,,251,40,0,0,0,0,0,291
Albany,,,139,16,0,1,0,0,0,156
Alburgh,,,315,31,2,0,3,0,0,351
Andover,,,100,14,1,0,0,0,0,115
Arlington,,,398,84,0,0,0,0,3,485
Athens,,,57,5,0,0,0,0,0,62
Bakersfield,,,243,22,0,0,0,0,0,265
Baltimore,,,43,1,0,0,0,0,0,44
Barnard,,,214,46,0,0,0,3,0,263
Barnet,,,309,31,0,1,0,0,0,341
"Barre City",,,"1,058",141,3,0,1,10,0,"1,213"
"Barre Town",,,"1,087",149,3,0,0,0,0,"1,239"
Barton,,,318,25,0,0,0,0,0,343
Belvidere,,,46,3,0,0,0,0,0,49
Bennington,,,"2,121",400,9,2,2,68,0,"2,602"
Benson,,,159,19,0,0,0,0,0,178
Berkshire,,,181,11,1,0,0,0,2,195
Berlin,,,469,53,0,0,0,3,0,525
Bethel,,,376,43,0,0,2,0,1,422
Bloomfield,,,42,6,0,0,1,0,0,49
Bolton,,,293,33,0,0,1,0,1,328
Bradford,,,418,57,1,0,0,1,0,477
Braintree,,,221,18,0,0,0,0,0,239
Brandon,,,668,103,4,0,0,0,5,780
Brattleboro,,,"2,916",422,3,1,4,7,5,"3,358"
Bridgewater,,,165,24,0,0,0,2,0,191
Bridport,,,189,26,2,0,0,0,0,217
Brighton,,,188,35,0,0,0,0,0,223
Bristol,,,822,76,1,0,1,0,2,902
Brookfield,,,275,36,1,0,0,0,1,313
Brookline,,,129,15,1,0,0,0,0,145
Brownington,,,103,7,1,0,0,0,0,111
Brunswick,,,20,4,0,0,0,0,0,24
Burke,,,280,37,0,0,0,0,0,317
Burlington,,,"9,105","1,471",22,2,33,3,0,"10,636"
Cabot,,,320,36,2,0,0,2,2,362
Calais,,,491,44,0,0,0,0,0,535
Cambridge,,,696,59,1,1,0,1,0,758
Canaan,,,132,21,0,0,0,1,0,154
Castleton,,,546,103,4,0,0,1,1,655
Cavendish,,,250,29,1,1,0,0,0,281
Charleston,,,117,14,2,0,0,0,0,133
Charlotte,,,"1,002",268,1,1,0,1,0,"1,273"
Chelsea,,,185,20,0,0,0,0,1,206
Chester,,,592,78,0,0,1,2,1,674
Chittenden,,,254,27,0,0,0,0,0,281
Clarendon,,,317,37,0,0,3,0,1,358
Colchester,,,"2,695",432,7,2,0,0,10,"3,146"
Concord,,,168,21,3,1,2,0,3,198
Corinth,,,254,29,0,1,0,0,0,284
Cornwall,,,290,78,0,1,0,0,0,369
Coventry,,,182,16,0,0,0,1,0,199
Craftsbury,,,252,24,1,0,2,0,0,279
Danby,,,223,38,0,1,2,0,11,275
Danville,,,371,55,0,7,0,1,1,435
Derby,,,613,118,3,1,0,1,2,738
Dorset,,,404,104,1,0,0,1,2,512
Dover,,,244,34,0,0,2,0,0,280
Dummerston,,,549,76,1,0,4,0,0,630
Duxbury,,,346,27,0,0,1,9,0,383
"E. Haven",,,66,6,0,0,0,0,0,72
"E. Montpelier",,,732,108,5,0,1,0,0,846
Eden,,,153,13,1,0,0,2,0,169
Elmore,,,234,33,0,0,0,0,0,267
Enosburgh,,,296,28,0,0,1,0,0,325
Essex,,,"3,626",550,8,2,6,12,0,"4,204"
"Fair Haven",,,358,42,0,0,1,4,0,405
Fairfax,,,819,95,2,0,0,1,1,918
Fairfield,,,330,47,1,1,1,0,0,380
Fairlee,,,261,20,0,0,0,0,1,282
Fayston,,,283,42,0,0,0,0,0,325
Ferrisburgh,,,622,90,1,0,1,0,1,715
Fletcher,,,256,21,1,0,1,1,0,280
Franklin,,,173,16,0,0,0,1,0,190
Georgia,,,734,68,1,0,1,0,1,805
Glover,,,200,22,0,0,0,0,1,223
Goshen,,,55,14,0,0,0,0,0,69
Grafton,,,169,26,0,0,1,0,0,196
Granby,,,13,2,0,0,0,1,0,16
"Grand Isle",,,426,68,2,1,0,1,1,499
Granville,,,86,5,0,0,0,0,0,91
Greensboro,,,143,31,0,0,0,0,0,174
Groton,,,145,18,1,0,0,0,0,164
Guildhall,,,50,6,0,0,0,1,0,57
Guilford,,,565,57,3,0,1,1,0,627
