City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Addison,,,99,1,7,0,107
Albany,,,75,1,15,0,91
Alburgh,,,149,2,17,0,168
Andover,,,74,0,4,0,78
Arlington,,,201,1,11,0,213
Athens,,,26,1,7,0,34
Bakersfield,,,121,1,5,0,127
Baltimore,,,25,0,1,0,26
Barnard,,,137,1,12,0,150
Barnet,,,167,0,12,0,179
"Barre City",,,576,3,51,0,630
"Barre Town",,,558,2,35,0,595
Barton,,,135,1,10,0,146
Belvidere,,,20,0,0,1,21
Bennington,-,"Bennington 2-1",656,3,106,0,765
Bennington,-,"Bennington 2-2",464,1,48,0,513
Benson,,,61,1,3,1,66
Berkshire,,,79,0,2,0,81
Berlin,,,259,0,24,0,283
Bethel,,,245,0,11,0,256
Bloomfield,,,21,0,4,0,25
Bolton,,,153,1,9,1,164
Bradford,,,225,0,12,0,237
Braintree,,,112,0,7,0,119
Brandon,,,349,1,22,2,374
Brattleboro,-,"Windham 2-1",513,6,45,0,564
Brattleboro,-,"Windham 2-2",517,4,47,1,569
Brattleboro,-,"Windham 2-3",594,1,53,0,648
Bridgewater,,,113,0,3,0,116
Bridport,,,110,0,11,0,121
Brighton,,,59,0,5,0,64
Bristol,,,457,2,26,0,485
Brookfield,,,177,0,7,0,184
Brookline,,,74,0,6,0,80
Brownington,,,49,1,5,0,55
Brunswick,,,11,0,0,0,11
Burke,,,95,0,9,0,104
Burlington,-,"Chittenden 6-1","1,277",15,72,1,"1,365"
Burlington,-,"Chittenden 6-2",791,5,55,0,851
Burlington,-,"Chittenden 6-3",907,10,134,0,"1,051"
Burlington,-,"Chittenden 6-4",701,9,72,1,783
Burlington,-,"Chittenden 6-5","1,645",13,158,0,"1,816"
Burlington,-,"Chittenden 6-6",243,2,28,0,273
Burlington,-,"Chittenden 6-7",34,0,6,0,40
Cabot,,,178,3,16,0,197
Calais,,,356,1,38,0,395
Cambridge,,,301,4,27,0,332
Canaan,,,33,0,3,0,36
Castleton,,,236,2,18,0,256
Cavendish,,,128,0,11,1,140
Charleston,,,72,1,4,0,77
Charlotte,,,684,2,55,1,742
Chelsea,,,110,1,9,0,120
Chester,,,419,3,46,0,468
Chittenden,,,130,0,7,0,137
Clarendon,,,134,0,11,0,145
Colchester,-,"Chittenden 9-1",490,1,33,0,524
Colchester,-,"Chittenden 9-2",757,1,52,3,813
Concord,,,70,1,7,0,78
Corinth,,,157,0,13,0,170
Cornwall,,,231,1,10,0,242
Coventry,,,56,0,4,0,60
Craftsbury,,,153,2,14,0,169
Danby,,,112,0,11,0,123
Danville,,,249,1,19,0,269
Derby,,,295,0,21,0,316
Dorset,,,258,0,22,0,280
Dover,,,104,0,13,0,117
Dummerston,,,360,0,24,1,385
Duxbury,,,190,4,22,0,216
"E. Haven",,,27,0,1,0,28
"E. Montpelier",,,566,7,51,0,624
Eden,,,73,1,9,0,83
Elmore,,,171,3,16,0,190
Enosburgh,,,155,0,15,0,170
Essex,-,"Chittenden 8-1",758,9,49,1,817
Essex,-,"Chittenden 8-2",881,8,50,0,939
Essex,-,"Chittenden 8-3",279,0,18,0,297
"Fair Haven",,,121,2,14,0,137
Fairfax,,,298,0,18,0,316
Fairfield,,,164,2,9,0,175
Fairlee,,,111,1,6,0,118
Fayston,,,175,1,13,0,189
Ferrisburgh,,,323,2,16,1,342
Fletcher,,,142,0,6,0,148
Franklin,,,75,0,4,0,79
Georgia,,,236,1,10,1,248
Glover,,,118,0,11,0,129
Goshen,,,37,0,3,0,40
Grafton,,,95,0,33,0,128
Granby,,,4,0,0,0,4
"Grand Isle",,,281,5,21,0,307
Granville,,,46,0,0,2,48
Greensboro,,,127,0,11,1,139
Groton,,,68,0,8,0,76
Guildhall,,,26,0,3,1,30
Guilford,,,310,1,26,0,337
Halifax,,,150,0,30,0,180
Hancock,,,40,0,2,0,42
Hardwick,,,240,3,18,0,261
Hartford,-,"Windsor 4-1",235,0,18,0,253
Hartford,-,"Windsor 4-2",945,6,62,0,"1,013"
Hartland,,,667,4,45,0,716
Highgate,,,167,0,13,0,180
Hinesburg,-,"Chittenden 4-1",7,0,1,0,8
Hinesburg,-,"Chittenden 4-2",717,7,39,0,763
Holland,,,29,0,3,0,32
Hubbardton,,,47,0,5,0,52
Huntington,,,361,0,24,1,386
"Hyde Park",,,317,2,38,0,357
Ira,,,40,0,3,0,43
Irasburg,,,71,1,10,0,82
"Isle La Motte",,,70,3,10,0,83
Jamaica,,,120,0,8,0,128
Jay,,,35,0,1,0,36
Jericho,,,799,0,32,1,832
Johnson,,,225,0,21,0,246
Killington,,,89,0,8,0,97
Kirby,,,67,0,7,0,74
Landgrove,,,39,0,3,0,42
Leicester,,,81,0,2,0,83
Lemington,,,3,0,0,0,3
Lincoln,,,282,1,11,0,294
Londonderry,,,155,4,18,1,178
Lowell,,,49,1,11,0,61
Ludlow,,,206,0,32,0,238
Lunenburg,,,51,0,7,0,58
Lyndon,,,182,0,14,1,197
Maidstone,,,23,1,2,0,26
Manchester,,,345,0,34,0,379
Marlboro,,,225,0,22,2,249
Marshfield,,,176,0,23,2,201
Mendon,,,87,0,8,0,95
Middlebury,,,"1,197",6,73,0,"1,276"
Middlesex,,,409,3,36,0,448
"Middletown Springs",,,97,0,8,1,106
Milton,-,"Chittenden 10",483,3,39,0,525
Milton,-,"Grand Isle-Chittenden",106,0,7,0,113
Monkton,,,273,3,23,0,299
Montgomery,,,122,0,15,0,137
Montpelier,,,"1,921",3,182,0,"2,106"
Moretown,,,248,0,27,0,275
Morgan,,,34,1,2,0,37
Morristown,,,698,3,68,4,773
"Mount Holly",,,134,0,12,0,146
"Mount Tabor",,,12,0,0,0,12
"New Haven",,,233,2,19,1,255
Newark,,,57,0,11,0,68
Newbury,,,212,1,11,1,225
Newfane,,,362,0,41,0,403
"Newport City",,,234,1,18,0,253
"Newport Town",,,71,0,10,0,81
"N. Hero",,,165,1,22,0,188
Northfield,,,355,5,25,1,386
Norton,,,8,0,4,0,12
Norwich,,,928,1,42,0,971
Orange,,,76,2,4,0,82
Orwell,,,97,0,4,1,102
Panton,,,60,0,2,0,62
Pawlet,,,148,1,11,0,160
Peacham,,,141,0,12,0,153
Peru,,,49,0,2,0,51
Pittsfield,,,54,0,7,0,61
Pittsford,,,195,0,23,0,218
Plainfield,,,218,1,17,1,237
Plymouth,,,64,1,8,0,73
Pomfret,,,198,1,6,1,206
Poultney,,,173,0,15,0,188
Pownal,,,169,0,18,0,187
