City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Addison,,,5,14,178,0,197
Albany,,,4,3,99,0,106
Alburgh,,,20,11,107,0,138
Andover,,,0,1,66,0,67
Arlington,,,2,1,139,2,144
Athens,,,0,1,18,0,19
Bakersfield,,,21,7,59,0,87
Baltimore,,,1,0,17,1,19
Barnard,,,2,2,64,0,68
Barnet,,,4,1,175,0,180
"Barre City",,,45,29,641,0,715
"Barre Town",,,148,33,"1,048",0,"1,229"
Barton,,,15,5,166,2,188
Belvidere,,,1,2,31,0,34
Bennington,-,"Bennington 2-1",7,9,205,0,221
Bennington,-,"Bennington 2-2",8,5,195,0,208
Benson,,,2,0,79,0,81
Berkshire,,,13,2,95,0,110
Berlin,,,32,7,358,0,397
Bethel,,,7,6,137,0,150
Bloomfield,,,0,0,11,3,14
Bolton,,,1,3,116,0,120
Bradford,,,12,2,133,0,147
Braintree,,,6,13,98,1,118
Brandon,,,12,7,316,1,336
Brattleboro,-,"Windham 2-1",3,3,93,0,99
Brattleboro,-,"Windham 2-2",4,2,50,0,56
Brattleboro,-,"Windham 2-3",9,0,61,0,70
Bridgewater,,,5,2,57,0,64
Bridport,,,4,11,120,0,135
Brighton,,,0,10,112,0,122
Bristol,,,13,13,259,0,285
Brookfield,,,7,8,140,0,155
Brookline,,,0,0,26,0,26
Brownington,,,5,2,48,1,56
Brunswick,,,3,0,14,0,17
Burke,,,5,1,134,0,140
Burlington,-,"Chittenden 6-1",14,16,533,0,563
Burlington,-,"Chittenden 6-2",3,4,184,0,191
Burlington,-,"Chittenden 6-3",1,5,88,0,94
Burlington,-,"Chittenden 6-4",2,3,72,0,77
Burlington,-,"Chittenden 6-5",8,9,318,0,335
Burlington,-,"Chittenden 6-6",4,42,0,46
Burlington,-,"Chittenden 6-7",0,3,0,3
Cabot,,,2,3,132,0,137
Calais,,,9,6,139,0,154
Cambridge,,,0,25,279,0,304
Canaan,,,3,2,60,0,65
Castleton,,,12,10,357,1,380
Cavendish,,,0,2,104,1,107
Charleston,,,4,4,80,0,88
Charlotte,,,5,9,364,1,379
Chelsea,,,20,12,118,2,152
Chester,,,8,6,168,0,182
Chittenden,,,2,5,146,0,153
Clarendon,,,0,17,240,0,257
Colchester,-,"Chittenden 9-1",15,13,432,0,460
Colchester,-,"Chittenden 9-2",13,14,704,4,735
Concord,,,8,2,127,0,137
Corinth,,,5,1,92,0,98
Cornwall,,,7,2,103,0,112
Coventry,,,7,0,106,0,113
Craftsbury,,,9,3,88,1,101
Danby,,,9,5,127,0,141
Danville,,,6,10,244,0,260
Derby,,,24,10,361,0,395
