City/Town,Ward,Pct,"Scott Milne",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Addison,,,168,4,24,1,197
Albany,,,94,1,11,0,106
Alburgh,,,115,7,16,0,138
Andover,,,52,0,15,0,67
Arlington,,,115,4,25,0,144
Athens,,,18,0,1,0,19
Bakersfield,,,66,12,9,0,87
Baltimore,,,16,2,1,0,19
Barnard,,,63,0,5,0,68
Barnet,,,144,1,35,0,180
"Barre City",,,604,24,87,0,715
"Barre Town",,,"1,072",68,89,0,"1,229"
Barton,,,159,10,19,0,188
Belvidere,,,27,0,7,0,34
Bennington,-,"Bennington 2-1",160,6,55,0,221
Bennington,-,"Bennington 2-2",156,3,49,0,208
Benson,,,72,0,9,0,81
Berkshire,,,90,9,11,0,110
Berlin,,,310,16,71,0,397
Bethel,,,132,7,11,0,150
Bloomfield,,,10,0,2,2,14
Bolton,,,105,2,13,0,120
Bradford,,,129,3,18,0,150
Braintree,,,100,2,16,0,118
Brandon,,,290,7,37,2,336
Brattleboro,-,"Windham 2-1",77,5,17,0,99
Brattleboro,-,"Windham 2-2",49,1,6,0,56
Brattleboro,-,"Windham 2-3",54,2,14,0,70
Bridgewater,,,54,2,8,0,64
Bridport,,,110,2,23,0,135
Brighton,,,105,2,15,0,122
Bristol,,,249,10,26,0,285
Brookfield,,,127,3,25,0,155
Brookline,,,20,0,6,0,26
Brownington,,,48,0,8,0,56
Brunswick,,,10,1,6,0,17
Burke,,,106,4,30,0,140
Burlington,-,"Chittenden 6-1",440,16,106,1,563
Burlington,-,"Chittenden 6-2",149,5,37,0,191
Burlington,-,"Chittenden 6-3",66,3,25,0,94
Burlington,-,"Chittenden 6-4",62,2,13,0,77
Burlington,-,"Chittenden 6-5",259,10,66,0,335
Burlington,-,"Chittenden 6-6",33,1,12,0,46
Burlington,-,"Chittenden 6-7",2,1,0,0,3
Cabot,,,114,2,21,0,137
Calais,,,126,3,25,0,154
Cambridge,,,239,14,51,0,304
Canaan,,,49,3,13,0,65
Castleton,,,320,7,53,0,380
Cavendish,,,87,1,19,0,107
Charleston,,,75,2,10,1,88
Charlotte,,,290,5,83,1,379
Chelsea,,,125,9,17,1,152
Chester,,,163,5,14,0,182
Chittenden,,,132,1,20,0,153
Clarendon,,,220,4,33,0,257
Colchester,-,"Chittenden 9-1",344,14,99,3,460
Colchester,-,"Chittenden 9-2",584,16,134,1,735
Concord,,,110,7,20,0,137
Corinth,,,79,3,16,0,98
Cornwall,,,93,5,13,1,112
Coventry,,,90,4,19,0,113
Craftsbury,,,74,2,25,0,101
Danby,,,118,3,20,0,141
Danville,,,214,3,43,0,260
Derby,,,332,12,51,0,395
Dorset,,,135,3,54,0,192
Dover,,,76,2,15,0,93
Dummerston,,,79,0,15,0,94
Duxbury,,,111,12,29,0,152
"E. Haven",,,34,0,2,0,36
"E. Montpelier",,,223,4,40,0,267
Eden,,,76,8,22,0,106
Elmore,,,57,6,22,0,85
Enosburgh,,,144,4,26,0,174
Essex,-,"Chittenden 8-1",506,14,114,1,635
Essex,-,"Chittenden 8-2",594,11,124,0,729
Essex,-,"Chittenden 8-3",169,6,31,0,206
"Fair Haven",,,195,6,29,0,230
Fairfax,,,378,7,73,1,459
Fairfield,,,113,10,39,0,162
Fairlee,,,57,1,9,0,67
Fayston,,,101,7,19,0,127
Ferrisburgh,,,251,2,48,1,302
Fletcher,,,86,4,26,0,116
Franklin,,,105,10,14,0,129
Georgia,,,391,6,78,0,475
Glover,,,93,4,10,1,108
Goshen,,,23,2,1,0,26
Grafton,,,37,0,5,0,42
Granby,,,16,0,3,0,19
"Grand Isle",,,176,7,22,0,205
Granville,,,18,4,3,0,25
Greensboro,,,35,0,14,0,49
Groton,,,97,0,25,0,122
Guildhall,,,31,0,5,0,36
Guilford,,,60,2,13,0,75
Halifax,,,78,0,15,0,93
Hancock,,,16,1,5,0,22
Hardwick,,,200,2,40,0,242
Hartford,-,"Windsor 4-1",101,3,11,1,116
Hartford,-,"Windsor 4-2",265,4,23,4,296
Hartland,,,169,1,21,0,191
Highgate,,,220,22,30,1,273
Hinesburg,-,"Chittenden 4-1",2,0,1,0,3
Hinesburg,-,"Chittenden 4-2",232,6,55,1,294
Holland,,,55,3,17,0,75
Hubbardton,,,58,0,10,0,68
Huntington,,,89,2,21,0,112
"Hyde Park",,,290,19,50,1,360
Ira,,,42,4,4,0,50
Irasburg,,,90,10,18,0,118
"Isle La Motte",,,41,1,9,0,51
Jamaica,,,37,6,10,0,53
Jay,,,27,2,8,0,37
Jericho,,,419,5,54,0,478
Johnson,,,141,0,34,0,175
Killington,,,89,1,19,0,109
Kirby,,,71,2,14,0,87
Landgrove,,,14,0,4,0,18
Leicester,,,71,0,13,0,84
Lemington,,,4,1,2,0,7
Lincoln,,,92,1,21,0,114
Londonderry,,,77,5,15,0,97
Lowell,,,84,4,21,0,109
Ludlow,,,137,2,25,0,164
Lunenburg,,,73,5,10,0,88
Lyndon,,,319,13,37,1,370
Maidstone,,,24,0,4,0,28
Manchester,,,289,2,62,0,353
Marlboro,,,24,1,2,0,27
Marshfield,,,116,5,20,0,141
Mendon,,,128,2,26,0,156
Middlebury,,,282,4,58,0,344
Middlesex,,,153,5,32,1,191
"Middletown Springs",,,62,0,20,0,82
Milton,-,"Chittenden 10",732,11,130,0,873
Milton,-,"Grand Isle-Chittenden",143,0,25,0,168
Monkton,,,154,4,24,0,182
Montgomery,,,66,6,12,0,84
Montpelier,,,358,12,138,1,509
Moretown,,,140,4,46,0,190
Morgan,,,77,4,13,0,94
Morristown,,,403,33,92,2,530
"Mount Holly",,,99,0,26,0,125
"Mount Tabor",,,13,0,0,0,13
"New Haven",,,146,3,35,0,184
Newark,,,52,0,8,0,60
Newbury,,,160,1,20,0,181
Newfane,,,88,4,18,0,110
"Newport City",,,238,5,52,1,296
"Newport Town",,,99,6,12,0,117
"N. Hero",,,90,6,17,0,113
Northfield,,,429,13,79,0,521
Norton,,,13,1,4,0,18
Norwich,,,63,3,9,0,75
Orange,,,134,4,11,0,149
Orwell,,,131,7,23,0,161
Panton,,,64,3,9,0,76
Pawlet,,,88,0,19,0,107
Peacham,,,70,1,21,1,93
Peru,,,21,0,5,0,26
Pittsfield,,,42,3,11,0,56
Pittsford,,,236,7,43,0,286
Plainfield,,,85,1,11,0,97
Plymouth,,,68,1,6,0,75
Pomfret,,,61,2,8,0,71
Poultney,,,139,0,30,0,169
Pownal,,,90,3,22,0,115
Proctor,,,114,5,21,0,140
Putney,,,51,0,10,0,61
Randolph,,,322,5,56,4,387
Reading,,,33,0,7,0,40
Readsboro,,,25,2,8,0,35
Richford,,,103,4,16,0,123
Richmond,,,270,3,50,3,326
Ripton,,,20,0,9,0,29
Rochester,,,70,7,13,2,92
Rockingham,,,96,4,34,0,134
Roxbury,,,62,0,16,0,78
Royalton,,,127,1,8,0,136
Rupert,,,45,1,4,0,50
"Rutland City",-,"Rutland 5-1",346,0,85,9,440
"Rutland City",-,"Rutland 5-2",253,0,52,3,308
"Rutland City",-,"Rutland 5-3",120,0,29,3,152
"Rutland City",-,"Rutland 5-4",202,6,54,0,262
"Rutland Town",,,425,4,94,0,523
Ryegate,,,83,3,18,1,105
Salisbury,,,71,1,6,0,78
Sandgate,,,29,0,3,0,32
Searsburg,,,10,0,0,0,10
Shaftsbury,,,113,6,34,0,153
Sharon,,,60,1,7,0,68
