City/Town,Ward,Pct,"Jim Condos",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Addison,,,92,0,15,0,107
Albany,,,70,0,21,0,91
Alburgh,,,131,0,37,0,168
Andover,,,67,0,11,0,78
Arlington,,,186,0,27,0,213
Athens,,,18,0,16,0,34
Bakersfield,,,101,1,23,2,127
Baltimore,,,24,0,2,0,26
Barnard,,,117,1,31,1,150
Barnet,,,146,0,33,0,179
"Barre City",,,535,2,93,0,630
"Barre Town",,,532,2,61,0,595
Barton,,,126,0,20,0,146
Belvidere,,,18,1,2,0,21
Bennington,-,"Bennington 2-1",559,4,202,0,765
Bennington,-,"Bennington 2-2",416,0,97,0,513
Benson,,,53,1,12,0,66
Berkshire,,,71,0,10,0,81
Berlin,,,239,2,42,0,283
Bethel,,,217,0,38,1,256
Bloomfield,,,17,0,8,0,25
Bolton,,,141,0,23,0,164
Bradford,,,197,1,39,0,237
Braintree,,,105,0,14,0,119
Brandon,,,298,0,75,1,374
Brattleboro,-,"Windham 2-1",415,2,147,0,564
Brattleboro,-,"Windham 2-2",423,3,143,0,569
Brattleboro,-,"Windham 2-3",501,0,147,0,648
Bridgewater,,,97,0,19,0,116
Bridport,,,97,0,24,0,121
Brighton,,,50,0,14,0,64
Bristol,,,410,0,75,0,485
Brookfield,,,165,1,18,0,184
Brookline,,,69,0,10,1,80
Brownington,,,47,0,8,0,55
Brunswick,,,9,0,2,0,11
Burke,,,79,0,25,0,104
Burlington,-,"Chittenden 6-1","1,152",10,201,2,"1,365"
Burlington,-,"Chittenden 6-2",702,2,147,0,851
Burlington,-,"Chittenden 6-3",788,10,252,1,"1,051"
Burlington,-,"Chittenden 6-4",608,7,168,0,783
Burlington,-,"Chittenden 6-5","1,459",7,350,0,"1,816"
Burlington,-,"Chittenden 6-6",215,1,57,0,273
Burlington,-,"Chittenden 6-7",30,0,10,0,40
Cabot,,,153,3,41,0,197
Calais,,,303,3,89,0,395
Cambridge,,,262,0,70,0,332
Canaan,,,30,0,6,0,36
Castleton,,,200,0,56,0,256
Cavendish,,,116,0,23,1,140
Charleston,,,63,1,13,0,77
Charlotte,,,608,2,132,0,742
Chelsea,,,100,4,16,0,120
Chester,,,381,1,86,0,468
Chittenden,,,104,1,32,0,137
Clarendon,,,122,0,23,0,145
Colchester,-,"Chittenden 9-1",475,2,47,0,524
