City/Town,Ward,Pct,"Jim Condos",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Addison,,,1,12,184,0,197
Albany,,,5,1,100,0,106
Alburgh,,,22,3,113,0,138
Andover,,,1,0,65,1,67
Arlington,,,2,1,139,2,144
Athens,,,0,1,18,0,19
Bakersfield,,,21,1,65,0,87
Baltimore,,,1,0,17,1,19
Barnard,,,1,0,67,0,68
Barnet,,,3,1,176,0,180
"Barre City",,,41,10,664,0,715
"Barre Town",,,138,23,"1,068",0,"1,229"
Barton,,,23,2,163,0,188
Belvidere,,,0,0,34,0,34
Bennington,-,"Bennington 2-1",6,3,212,0,221
Bennington,-,"Bennington 2-2",3,2,203,0,208
Benson,,,0,0,80,1,81
Berkshire,,,10,3,97,0,110
Berlin,,,26,2,369,0,397
Bethel,,,5,3,141,1,150
Bloomfield,,,0,0,13,1,14
Bolton,,,0,0,120,0,120
Bradford,,,7,2,141,0,150
Braintree,,,5,2,111,0,118
Brandon,,,10,2,323,1,336
Brattleboro,-,"Windham 2-1",1,2,96,0,99
Brattleboro,-,"Windham 2-2",4,2,50,0,56
Brattleboro,-,"Windham 2-3",7,0,63,0,70
Bridgewater,,,6,1,57,0,64
Bridport,,,5,4,126,0,135
Brighton,,,0,6,116,0,122
Bristol,,,14,2,269,0,285
Brookfield,,,6,4,145,0,155
Brookline,,,0,0,26,0,26
Brownington,,,6,1,48,1,56
Brunswick,,,2,0,15,0,17
Burke,,,3,0,136,1,140
Burlington,-,"Chittenden 6-1",13,11,539,0,563
Burlington,-,"Chittenden 6-2",3,5,183,0,191
Burlington,-,"Chittenden 6-3",2,3,89,0,94
Burlington,-,"Chittenden 6-4",1,2,74,0,77
Burlington,-,"Chittenden 6-5",4,4,327,0,335
Burlington,-,"Chittenden 6-6",3,43,0,46
Burlington,-,"Chittenden 6-7",0,3,0,3
Cabot,,,2,1,134,0,137
Calais,,,9,1,144,0,154
Cambridge,,,12,9,282,1,304
Canaan,,,3,2,60,0,65
Castleton,,,4,1,375,0,380
Cavendish,,,1,4,102,0,107
Charleston,,,5,3,80,0,88
Charlotte,,,5,2,370,2,379
Chelsea,,,18,1,130,3,152
Chester,,,7,4,171,0,182
Chittenden,,,1,1,150,1,153
Clarendon,,,0,10,247,0,257
Colchester,-,"Chittenden 9-1",12,6,439,3,460
Colchester,-,"Chittenden 9-2",17,7,710,1,735
Concord,,,8,1,128,0,137
