City/Town,Ward,Pct,"Dick Sears","Brian Campion",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Arlington,,,180,148,0,98,0,426
Bennington,-,"Bennington 2-1",630,601,4,295,0,"1,530"
Bennington,-,"Bennington 2-2",429,385,1,211,0,"1,026"
Dorset,,,213,147,1,199,0,560
Landgrove,,,29,26,0,29,0,84
Manchester,,,276,232,2,248,0,758
Peru,,,44,34,0,24,0,102
Pownal,,,161,121,0,92,0,374
Readsboro,,,49,29,0,44,0,122
Rupert,,,68,50,0,76,0,194
Sandgate,,,40,30,0,28,0,98
Searsburg,,,2,1,0,3,0,6
Shaftsbury,,,237,221,3,117,0,578
Stamford,,,46,21,2,45,0,114
Sunderland,-,"Bennington 3",13,14,0,5,0,32
Sunderland,-,"Bennington 4",41,33,0,34,0,108
Wilmington,,,116,94,0,150,0,360
Winhall,,,72,47,1,84,0,204
Woodford,,,24,19,0,19,0,62
TOTALS,,,"2,670","2,253",14,"1,801",0,"6,738"
