City/Town,Ward,Pct,"Tim Ashe","Virginia Lyons","Michael Sirotkin","Phil Baruth","Christopher A. Pearson","Debbie Ingram","David Scherr","Faisal Gill","Dawn Ellis","Nick Cook","Louis Meyers",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,,,,,,,,,
Bolton,,,108,113,72,71,76,66,45,51,60,59,21,0,242,0,984
Burlington,-,"Chittenden 6-1","1,023",790,617,803,658,446,560,483,592,124,113,15,"1,960",6,"8,190"
Burlington,-,"Chittenden 6-2",652,499,353,475,461,288,370,271,429,66,55,10,"1,177",0,"5,106"
Burlington,-,"Chittenden 6-3",716,513,400,458,597,361,441,318,424,87,64,18,"1,909",0,"6,306"
Burlington,-,"Chittenden 6-4",524,442,313,367,506,258,287,249,299,48,44,3,"1,358",0,"4,698"
Burlington,-,"Chittenden 6-5","1,292","1,044",867,930,910,540,865,656,621,125,117,16,"2,913",0,"10,896"
Burlington,-,"Chittenden 6-6",179,144,109,142,161,93,115,104,97,20,17,1,456,0,"1,638"
Burlington,-,"Chittenden 6-7",30,23,13,22,24,17,21,12,17,3,0,0,58,0,240
Charlotte,,,463,482,448,401,263,264,270,232,190,73,58,0,"1,296",12,"4,452"
Essex,-,"Chittenden 8-1",523,546,462,305,261,337,234,271,298,200,149,6,"1,310",0,"4,902"
Essex,-,"Chittenden 8-2",665,602,528,435,353,361,290,369,330,151,144,14,"1,392",0,"5,634"
Essex,-,"Chittenden 8-3",202,206,178,146,93,87,75,91,102,82,47,0,473,0,"1,782"
Hinesburg,-,"Chittenden 4-1",5,5,4,4,5,5,2,1,4,3,0,0,10,0,48
Hinesburg,-,"Chittenden 4-2",517,526,468,385,331,338,220,215,177,98,85,9,"1,208",1,"4,578"
Jericho,,,553,552,449,397,335,304,234,250,227,357,94,7,"1,227",6,"4,992"
Milton,-,"Chittenden 10",351,336,234,186,194,216,141,161,198,121,80,13,919,0,"3,150"
Milton,-,"Grand Isle-Chittenden",70,75,48,41,35,40,32,30,34,23,13,1,236,0,678
Richmond,,,595,620,466,405,338,369,227,240,315,220,91,0,"1,434",2,"5,322"
Shelburne,-,"Chittenden 5-1",620,632,602,447,393,360,390,343,250,96,115,4,"1,288",4,"5,544"
Shelburne,-,"Chittenden 5-2",350,362,322,255,187,177,223,196,126,51,78,5,854,0,"3,186"
"S. Burlington",-,"Chittenden 7-1",541,516,578,419,312,297,319,280,242,66,106,0,"1,315",1,"4,992"
"S. Burlington",-,"Chittenden 7-2",509,480,555,350,268,267,325,282,198,76,138,3,"1,222",7,"4,680"
"S. Burlington",-,"Chittenden 7-3",436,406,443,306,259,269,251,224,226,73,76,4,954,3,"3,930"
"S. Burlington",-,"Chittenden 7-4",420,385,432,248,219,274,202,230,221,96,96,1,962,12,"3,798"
"St. George",,,42,60,38,30,16,38,27,13,23,8,13,0,124,6,438
Underhill,,,329,339,329,275,216,184,137,161,116,184,40,3,800,1,"3,114"
Westford,,,155,146,120,98,78,82,44,76,90,66,40,0,349,0,"1,344"
Williston,,,789,925,645,508,395,780,427,338,299,155,405,8,"1,556",6,"7,236"
Winooski,,,516,416,378,329,381,268,235,498,283,99,85,12,"1,666",6,"5,172"
TOTALS,,,"13,175","12,185","10,471","9,238","8,325","7,386","7,009","6,645","6,488","2,830","2,384",153,"30,668",73,"117,030"
