City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Bolton,,,-,0,6,0,6
Burlington,-,"Chittenden 6-1",-,7,11,0,18
Burlington,-,"Chittenden 6-2",-,18,60,0,78
Burlington,-,"Chittenden 6-3",-,47,61,0,108
Burlington,-,"Chittenden 6-4",-,12,36,0,48
Burlington,-,"Chittenden 6-5",-,12,54,0,66
Burlington,-,"Chittenden 6-6",-,2,10,0,12
Burlington,-,"Chittenden 6-7",-,0,0,0,0
Charlotte,,,-,4,20,0,24
Essex,-,"Chittenden 8-1",-,1,5,0,6
Essex,-,"Chittenden 8-2",-,7,11,0,18
Essex,-,"Chittenden 8-3",-,0,0,0,0
Hinesburg,-,"Chittenden 4-1",-,0,0,0,0
Hinesburg,-,"Chittenden 4-2",-,1,5,0,6
Jericho,,,-,7,5,0,12
Milton,-,"Chittenden 10",-,21,9,0,30
Milton,-,"Grand Isle-Chittenden",-,0,0,0,0
Richmond,,,-,0,24,0,24
Shelburne,-,"Chittenden 5-1",-,7,23,0,30
Shelburne,-,"Chittenden 5-2",-,6,0,0,6
"S. Burlington",-,"Chittenden 7-1",-,0,6,6,12
"S. Burlington",-,"Chittenden 7-2",-,2,4,0,6
"S. Burlington",-,"Chittenden 7-3",-,8,25,3,36
"S. Burlington",-,"Chittenden 7-4",-,3,21,0,24
Underhill,,,-,8,22,0,30
Westford,,,-,1,11,0,12
Williston,,,-,4,20,0,24
Winooski,,,-,8,64,0,72
TOTALS,,,-,186,513,9,708
