City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Barton,,,-,1,1,0,2
Canaan,,,-,0,2,0,2
Charleston,,,-,1,7,0,8
Coventry,,,-,2,2,0,4
Craftsbury,,,-,2,0,0,2
Derby,,,-,1,3,0,4
Glover,,,-,2,2,0,4
Irasburg,,,-,0,2,0,2
Lowell,,,-,2,0,0,2
Lunenburg,,,-,0,2,0,2
Montgomery,,,-,6,8,0,14
Morgan,,,-,0,2,0,2
"Newport City",,,-,2,2,0,4
"Newport Town",,,-,4,2,0,6
Richford,,,-,6,2,0,8
Troy,-,"Orleans 2",-,3,1,0,4
Troy,-,Orleans-Lamoille,-,0,4,0,4
Wolcott,,,-,2,2,0,4
TOTALS,,,-,34,44,0,78
