City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Benson,,,-,0,3,0,3
Brandon,,,-,0,3,0,3
Castleton,,,-,1,14,0,15
Clarendon,,,-,0,9,0,9
Danby,,,-,1,5,0,6
"Fair Haven",,,-,2,4,0,6
"Middletown Springs",,,-,1,14,0,15
Pittsfield,,,-,3,0,0,3
Pittsford,,,-,3,9,0,12
Proctor,,,-,0,3,0,3
"Rutland City",-,"Rutland 5-1",-,0,0,0,0
"Rutland City",-,"Rutland 5-2",-,0,0,3,3
"Rutland City",-,"Rutland 5-3",-,3,0,0,3
"Rutland City",-,"Rutland 5-4",-,0,3,3,6
"Rutland Town",,,-,1,17,0,18
Sudbury,,,-,0,0,3,3
Tinmouth,-,"Rutland 2",-,0,0,0,0
Tinmouth,-,Rutland-Bennington,-,0,6,0,6
Wallingford,,,-,6,3,0,9
Wells,,,-,1,5,0,6
"W. Rutland",,,-,5,1,0,6
TOTALS,,,-,27,99,9,135
