City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
"Barre City",,,-,1,8,0,9
"Barre Town",,,-,8,10,0,18
Berlin,,,-,2,16,0,18
Cabot,,,-,1,5,0,6
Calais,,,-,4,8,0,12
Duxbury,,,-,1,2,0,3
"E. Montpelier",,,-,0,3,0,3
Fayston,,,-,1,5,0,6
Marshfield,,,-,6,12,0,18
Middlesex,,,-,3,12,0,15
Montpelier,,,-,9,27,0,36
Moretown,,,-,3,6,0,9
Northfield,,,-,10,14,0,24
Plainfield,,,-,9,3,0,12
Waitsfield,,,-,2,1,0,3
Warren,,,-,1,2,0,3
Waterbury,,,-,3,3,0,6
Worcester,,,-,2,13,0,15
TOTALS,,,-,66,150,0,216
