City/Town,Ward,Pct,"John C. Gifford",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Bolton,,,85,5,630,0,720
Burlington,-,"Chittenden 6-1",350,74,"2,948",6,"3,378"
Burlington,-,"Chittenden 6-2",122,18,"1,006",0,"1,146"
Burlington,-,"Chittenden 6-3",58,12,494,0,564
Burlington,-,"Chittenden 6-4",50,7,405,0,462
Burlington,-,"Chittenden 6-5",207,21,"1,782",0,"2,010"
Burlington,-,"Chittenden 6-6",28,5,243,0,276
Burlington,-,"Chittenden 6-7",1,0,17,0,18
Charlotte,,,216,14,"2,043",1,"2,274"
Essex,-,"Chittenden 8-1",451,73,"3,286",0,"3,810"
Essex,-,"Chittenden 8-2",495,78,"3,801",0,"4,374"
Essex,-,"Chittenden 8-3",131,7,"1,098",0,"1,236"
Hinesburg,-,"Chittenden 4-1",1,0,17,0,18
Hinesburg,-,"Chittenden 4-2",184,11,"1,569",0,"1,764"
Jericho,,,352,28,"2,488",0,"2,868"
Milton,-,"Chittenden 10",668,37,"4,533",0,"5,238"
Milton,-,"Grand Isle-Chittenden",138,3,867,0,"1,008"
Richmond,,,225,15,"1,716",0,"1,956"
Shelburne,-,"Chittenden 5-1",274,37,"2,263",0,"2,574"
Shelburne,-,"Chittenden 5-2",222,53,"1,795",0,"2,070"
"S. Burlington",-,"Chittenden 7-1",242,28,"1,877",7,"2,154"
"S. Burlington",-,"Chittenden 7-2",301,30,"2,374",7,"2,712"
"S. Burlington",-,"Chittenden 7-3",166,20,"1,324",8,"1,518"
"S. Burlington",-,"Chittenden 7-4",240,21,"1,875",0,"2,136"
"St. George",,,32,11,221,6,270
Underhill,,,226,14,"1,662",0,"1,902"
Westford,,,132,7,"1,001",0,"1,140"
Williston,,,577,57,"4,527",11,"5,172"
Winooski,,,136,12,"1,166",0,"1,314"
TOTALS,,,"6,310",698,"49,028",46,"56,082"
