City/Town,Ward,Pct,"Peg Flory","Brian P. Collamore","Kevin J. Mullin",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,
Benson,,,54,47,62,0,80,0,243
Brandon,,,282,207,217,5,297,0,"1,008"
Castleton,,,291,281,296,1,271,0,"1,140"
Chittenden,,,113,106,107,0,130,3,459
Clarendon,,,186,189,200,1,195,0,771
Danby,,,96,91,100,1,135,0,423
"Fair Haven",,,167,167,162,8,186,0,690
Hubbardton,,,52,44,46,0,62,0,204
Ira,,,37,37,36,2,38,0,150
Killington,,,77,76,77,0,97,0,327
Mendon,,,115,120,121,2,110,0,468
"Middletown Springs",,,52,43,47,1,103,0,246
"Mount Tabor",,,7,7,9,0,16,0,39
Pawlet,,,76,68,80,0,97,0,321
Pittsfield,,,35,31,38,0,64,0,168
Pittsford,,,248,217,196,2,195,0,858
Poultney,,,127,115,123,0,139,3,507
Proctor,,,105,101,103,1,110,0,420
"Rutland City",-,"Rutland 5-1",330,342,323,0,314,11,"1,320"
"Rutland City",-,"Rutland 5-2",223,232,215,0,245,9,924
"Rutland City",-,"Rutland 5-3",104,117,99,0,129,7,456
"Rutland City",-,"Rutland 5-4",200,209,197,0,173,7,786
"Rutland Town",,,385,418,401,6,359,0,"1,569"
Shrewsbury,,,78,88,74,1,110,0,351
Sudbury,,,42,38,38,0,50,0,168
Tinmouth,-,"Rutland 2",4,2,3,0,9,0,18
Tinmouth,-,Rutland-Bennington,16,17,19,0,23,0,75
Wallingford,,,116,118,126,0,123,0,483
Wells,,,48,41,63,1,108,0,261
"W. Haven",,,16,14,14,0,10,0,54
"W. Rutland",,,142,145,136,2,133,0,558
TOTALS,,,"3,824","3,728","3,728",34,"4,111",40,"15,465"
